 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-21-04-684298-ae05936d49c6-1
trials-all-1  | [nurse-4] [INFO] [1698531680.232556420] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698531680.240176740] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698531680.248031069] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531680.252210244] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531680.289911824] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531680.299384221] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531680.309781657] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531680.322229178] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531680.335770746] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531680.344257102] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531680.357337650] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531680.365739002] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531680.374685377] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531680.392521124] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531680.401067483] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531680.409830850] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531680.423912440] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531680.433895858] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.444474302] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531680.453957699] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.463710108] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531680.473082501] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.482076878] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.491310265] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.501165678] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531680.510732079] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531680.519856461] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.529112849] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.538511243] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.547965639] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531680.561025186] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531680.567765469] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531680.569754552] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531680.577715886] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531680.582089069] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698531680.586818267] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698531680.592409502] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531680.595245621] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531680.599617804] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531680.608566179] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698531680.610815273] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531680.596059655] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698531680.599766810] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531680.609762229] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531680.596928691] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531680.603631972] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531680.615012449] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531680.616057493] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531680.613654392] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531680.625866904] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531680.624167833] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531680.628883030] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531680.634335259] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531680.644451683] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531680.651562981] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531680.661362391] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698531680.662966459] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698531680.672510859] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531680.679283143] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531680.680142179] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698531680.693901755] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531680.701005053] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531680.708011347] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531680.715058642] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531680.723077978] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531680.728943224] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531680.738786636] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531680.744282867] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531680.745224906] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531680.753686261] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531680.757745431] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531680.753454251] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531680.757568423] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531680.754347288] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531680.758151448] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531680.769318916] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531680.769744934] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531680.778519302] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698531680.782556471] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531680.785903611] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698531680.792116871] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531680.792446885] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531680.799451179] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531680.805865448] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531680.807269506] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531680.810202629] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531680.812634731] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531680.813521768] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531680.817921953] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698531680.820666068] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531680.828460395] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531680.840729909] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531680.841470940] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531680.846867166] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531680.847178179] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531680.857938630] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531680.858424650] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698531680.862868837] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531680.863125847] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531680.866015968] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531680.868089055] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531680.873629288] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531680.880393571] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531680.880872591] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698531680.885459783] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531680.886584831] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531680.898352324] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531680.903349533] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531680.911937893] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531680.914035981] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531680.920482251] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531680.924445417] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531680.929717638] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531680.934153824] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531680.939681056] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531680.937735974] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531680.941866147] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531680.945840314] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531680.947444381] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531680.957322795] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698531680.957519803] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531680.973519474] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531680.984178921] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531680.996525438] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.008002919] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698531681.009403977] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.013024128] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531681.016748284] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.017465314] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.028800788] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531681.029263807] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.035175054] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531681.038829207] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.039880251] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698531681.046294519] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.050887711] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531681.054422858] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.055454901] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531681.061142139] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531681.060707121] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531681.068497446] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531681.069873504] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.074307689] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.077724832] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698531681.082197019] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.086763210] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531681.090855381] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.094078515] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531681.098512701] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.098610705] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698531681.103712918] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531681.108852133] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531681.117797506] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531681.118465534] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698531681.122611708] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531681.124374781] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531681.125197816] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531681.130078020] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531681.131324072] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531681.133130147] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531681.134510205] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531681.140524456] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531681.148208777] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698531681.153202986] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.159960268] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531681.164588462] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.168912642] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.174905893] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.183976272] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.194153697] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531681.197151822] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.198761889] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531681.202677053] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.203341081] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531681.208295288] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531681.215764600] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531681.219629761] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531681.221152825] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.222964901] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531681.230020196] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531681.234590387] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.237403504] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531681.238782562] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531681.244022781] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698531681.249142995] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.253478176] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.255265250] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.260343463] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.272253960] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531681.273600017] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.277334173] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531681.284955491] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531681.288248629] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.297545017] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531681.298277048] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531681.302740234] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531681.306490391] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531681.313310676] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531681.321160004] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.325111169] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698531681.322059041] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.325845200] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.337720696] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698531681.340740822] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698531681.341802866] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.346548065] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531681.346941081] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531681.354575400] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.359187593] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.369240013] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.374173219] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531681.381208513] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531681.385715701] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531681.391583947] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.396040133] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.402748413] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531681.403925462] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698531681.407485611] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.410071719] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531681.418209059] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.428199476] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698531681.430259563] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531681.434542742] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.438251897] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.437072847] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531681.442360068] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531681.454383571] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.459187771] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.471480285] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531681.474819424] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531681.479457618] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531681.489431035] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531681.493823219] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.498220402] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.505647713] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.510157901] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.515180111] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531681.520114317] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531681.531232782] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.538446083] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531681.542716262] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531681.546564422] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.552147656] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531681.557507880] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531681.565043194] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698531681.579316791] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531681.582837938] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698531681.585659056] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531681.591221288] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531681.597038531] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531681.599763645] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698531681.613153205] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531681.617037367] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531681.603870817] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531681.609947071] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
