 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-41-08-306333-b703d598c7bc-1
trials-all-1  | [coordinator-2] [INFO] [1698532884.337571466] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698532884.340473431] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698532884.634409844] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698532884.644223724] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698532884.667052445] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698532884.671800387] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698532884.675715340] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698532884.693460123] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532884.698029067] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698532884.719971800] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532884.724611743] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698532884.742407526] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698532884.747194467] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532884.762396282] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698532884.767264222] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532884.782076042] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532884.791793923] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698532884.796726863] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.802805789] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698532884.808059725] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.811903678] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532884.829220466] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.833776411] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.847521243] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.852251185] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532884.870431963] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532884.874564913] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.878553864] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.893275685] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532884.898018627] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698532884.919553364] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698532884.929823239] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532884.930140235] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532884.930220234] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532884.937672143] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698532884.942092089] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532884.938494133] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698532884.954984932] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532884.955270928] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698532884.961029858] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532884.962381841] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532884.966438792] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698532884.963214831] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532884.969574754] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532884.973484706] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532884.969979749] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532884.973034711] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532884.976884664] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698532884.986153551] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532884.995646435] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532885.001877359] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532885.012369231] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532885.020157136] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532885.026336061] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532885.032605984] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.040905883] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532885.054216720] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532885.062113624] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.071995503] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.078466424] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532885.084915345] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.091348267] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.098469180] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532885.102480131] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532885.103387120] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698532885.108554056] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532885.113726993] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.119888918] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532885.127969819] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.133930746] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.141279657] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532885.146468593] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532885.152442520] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532885.162477398] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698532885.174166255] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.179948184] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532885.186193108] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.192792028] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532885.199122950] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.204853880] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.209670821] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532885.210629810] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.213940769] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.224181644] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532885.228760588] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532885.229245582] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532885.233585529] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.234385520] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.245980378] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.249880330] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532885.246754368] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698532885.248021353] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.264355153] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.269801087] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.273742039] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532885.279939963] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.290178838] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.295255776] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.295821769] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532885.300385713] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.303850671] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.315682527] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.317717502] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.322067449] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532885.333492309] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.345713160] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532885.350755098] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.353850060] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.363135947] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.367986888] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.368154886] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532885.373908815] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532885.380779731] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698532885.381042728] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532885.385211677] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.385712671] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.389674623] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.407984399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532885.409486381] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.413421333] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.414052325] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532885.426097178] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.430795121] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.430929119] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698532885.433098092] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532885.442250981] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.444840949] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.458299785] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.462189737] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.462683731] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532885.462683731] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.475195578] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532885.478446538] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.482421490] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.482914484] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532885.486035446] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.500991263] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532885.503312235] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698532885.514129103] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532885.520229028] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532885.524250979] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698532885.522155005] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532885.526597950] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.522394002] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532885.526217955] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.539237796] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532885.544703729] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532885.552090639] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.556170589] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532885.563651498] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.567489451] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532885.564103492] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.573150382] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.579819300] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.583935250] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532885.585170235] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.598538072] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.601010041] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.607695960] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.609949932] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.614086882] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532885.617960834] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.613296891] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532885.617100845] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.629529693] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532885.633956639] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.637974590] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532885.635288623] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698532885.639519571] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.636086613] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532885.641970541] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.646742483] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.652814409] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.662526290] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532885.670871188] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532885.681020064] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.674813140] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532885.675578131] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532885.690981943] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.686165001] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.700237829] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.701107819] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532885.705785762] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532885.709788713] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.723874541] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532885.724128538] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698532885.728050490] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532885.732432436] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532885.737656372] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.739668348] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.749857223] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532885.751396205] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532885.752562190] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698532885.754344169] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.757728127] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532885.766085025] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532885.770278974] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532885.783689810] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.784297803] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532885.789141744] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532885.794870674] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.806265534] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532885.812607457] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.817401398] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698532885.822431337] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532885.825942294] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.834192193] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698532885.842011098] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532885.844330070] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698532885.844542067] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.849073012] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532885.849417007] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532885.853594956] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532885.854756942] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.865534811] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532885.874391702] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532885.877425665] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532885.878106657] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532885.891251496] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.893584468] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532885.895159449] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532885.900376385] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532885.903955341] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.907274301] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532885.916740185] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532885.919012157] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698532885.924194094] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.925502078] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532885.928982036] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532885.929885025] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.938661917] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532885.943699856] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532885.951479761] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698532885.952069754] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532885.956132704] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532885.956801696] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.959864658] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532885.961217642] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532885.967677563] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532885.975336469] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532885.979301421] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532885.982955376] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532885.991064277] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532885.998298189] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532886.002798134] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532886.003087130] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532886.010266043] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698532886.011431028] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.017590953] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532886.026179848] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532886.032297773] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532886.039054691] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532886.043309639] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532886.047339589] [robot]: Doing a_deposit
