 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-23-22-747727-28902531713a-1
trials-all-1  | [coordinator-2] [INFO] [1698535418.792158143] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698535418.808715566] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698535418.820640871] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698535418.827200039] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698535418.855669767] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698535418.876485299] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698535418.886579557] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698535418.897071825] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535418.906741073] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698535418.916886332] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535418.925614555] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698535418.934470782] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698535418.944910049] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535418.954101284] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698535418.962926509] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535418.971937740] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698535418.988319159] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698535418.998854428] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.008855683] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698535419.017952915] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.027120149] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698535419.036837397] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.046028631] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.056025886] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.066194145] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698535419.075673386] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698535419.085746643] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.095576894] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.106027160] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.115411399] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698535419.129692763] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698535419.138445986] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698535419.157799480] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535419.155452420] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535419.165978688] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698535419.170884813] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698535419.163054614] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698535419.167929738] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698535419.171531830] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535419.165526677] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698535419.169457777] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535419.166032690] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535419.170578805] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698535419.178223000] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535419.179868042] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535419.183047123] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698535419.184303155] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698535419.190081302] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535419.197159483] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.210241816] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.215944962] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.212787881] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535419.220403075] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535419.225075194] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698535419.221297098] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698535419.229819315] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535419.234120425] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535419.239417560] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535419.244138680] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535419.248501791] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535419.258337042] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.274816462] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.286818768] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.292388910] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535419.296932026] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698535419.305640248] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.310315367] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.318816584] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.323668707] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.337207052] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.341821170] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535419.346467288] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.350693396] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.360174638] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.365136764] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.379523131] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.383615235] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535419.388270354] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.392454461] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.401924702] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.406379815] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.419630153] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.426590331] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535419.427507354] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698535419.440845694] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.442657740] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698535419.445114803] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698535419.446900848] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535419.448897899] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.460170186] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698535419.460429193] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698535419.465452321] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535419.465780329] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535419.474364548] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698535419.484804814] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.488830917] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535419.486263852] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.491630988] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.493447035] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.507935404] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.515814605] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698535419.520397722] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535419.522409773] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.535042095] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.540967246] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535419.546718392] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.552564541] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.561024757] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.567113912] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.577718183] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.584487355] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535419.590636512] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.597162678] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.605665895] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.612635072] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.623387347] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.629759509] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535419.636774688] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.642782841] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.652958100] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.658524242] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.669304517] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.676321696] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535419.682433852] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.688705011] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.695949196] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.701813345] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.710817575] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.714940680] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535419.715301689] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698535419.722460872] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535419.723129889] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698535419.727034988] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535419.724046912] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.728178017] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535419.732931139] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535419.734811187] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535419.738780288] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535419.739387303] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535419.748312531] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535419.753131653] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.758286785] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535419.766092984] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.774861207] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535419.780095341] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.780611354] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535419.787254523] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535419.789256574] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535419.793720688] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535419.803273931] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535419.812988179] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698535419.817104284] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535419.817872304] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535419.825772505] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535419.829806608] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.829570602] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535419.836010766] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535419.852295181] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.852602189] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535419.858292334] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535419.862246435] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535419.860931401] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535419.865967529] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535419.868327590] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535419.874836755] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535419.877323819] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.886104043] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535419.886829061] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535419.899983396] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535419.902117451] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535419.903633489] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698535419.907169580] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535419.909963651] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535419.926365069] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535419.928872133] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535419.932372222] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535419.941444453] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535419.942749486] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698535419.946562584] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698535419.955803819] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535419.961536965] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535419.962013977] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698535419.968637146] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535419.973816278] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535419.974155287] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535419.977297367] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535419.982758506] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698535419.983842534] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535419.984680555] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535419.994896816] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698535419.994896816] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535420.006206104] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535420.013179281] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535420.017782398] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535420.019255435] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535420.031642750] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698535420.036374870] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535420.037758905] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535420.038463923] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698535420.049283198] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535420.050331225] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535420.054941342] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535420.061191500] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535420.062889544] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698535420.065691615] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535420.077863924] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535420.081677021] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535420.082537043] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535420.093568323] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698535420.100633502] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535420.106513652] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535420.107315672] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535420.112074793] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535420.112636807] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698535420.117799939] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535420.117913941] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535420.122217051] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535420.127847194] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535420.133340333] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698535420.141401538] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698535420.146181660] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698535420.146420666] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535420.152488820] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535420.153050834] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535420.157405945] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698535420.157467946] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535420.158657977] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698535420.171833311] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535420.173131344] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535420.182747589] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698535420.184420631] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535420.186514684] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535420.189093750] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535420.195224906] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535420.200713045] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535420.210742300] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535420.213846379] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535420.233603881] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535420.238044993] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535420.235500929] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698535420.240903066] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535420.241966093] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535420.245514183] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535420.247162225] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535420.267151733] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535420.272879878] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535420.281542098] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535420.283339144] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535420.291236345] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535420.291695356] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535420.303633660] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535420.306459731] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535420.309893819] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535420.320075077] [arm]: Action result: False
