 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-22-44-165396-aea2c98f4279-1
trials-all-1  | [coordinator-2] [INFO] [1698531780.881172987] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.885673151] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.889924307] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.903332797] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531780.907890963] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531780.921840473] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.926840656] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.943529266] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.956174728] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531780.975923450] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531780.983277719] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698531780.987372869] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698531780.986507837] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531780.987391869] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531780.991961036] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698531780.991961036] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531780.996719210] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698531781.000593352] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531781.004195483] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.008681647] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531781.005897546] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531781.005975549] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531781.009891691] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531781.013161811] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531781.229694701] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698531781.229753703] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698531781.241283123] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531781.248092371] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531781.254281597] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698531781.260131810] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.265637011] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531781.271030207] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531781.275704377] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531781.283176650] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531781.289028863] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531781.293996044] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531781.299404241] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531781.304565429] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531781.312896733] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.320343004] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.331653416] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.339982720] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.348458029] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.355641290] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.363013559] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.366955703] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531781.370781842] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531781.375631019] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.380354191] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.385102364] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.389714532] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.396669785] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.401018944] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.409804264] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.413909414] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.418706588] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.422967744] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.429649987] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.433470126] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.444130515] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.448384670] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.452627824] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.457005984] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.463981238] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.468291395] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.479641809] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.483893964] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.488057116] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.492177266] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.498488496] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.502694649] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.513610047] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.521968351] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.527366548] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.532795746] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.539308983] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.543726144] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.553740509] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.557805657] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.562207818] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.566358969] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.572663199] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.576831350] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.586571705] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.594394990] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.600877227] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531781.605403392] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531781.606237422] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531781.614991741] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531781.620480941] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531781.624496087] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531781.630813317] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531781.630925322] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.635256479] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531781.642978761] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531781.645139840] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.650238025] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531781.654144168] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531781.654835193] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.658216316] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.664452543] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531781.670373759] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531781.678768065] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.682695208] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531781.679121078] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531781.683332231] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531781.692679572] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531781.698391780] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531781.699297813] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531781.704478002] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531781.712399290] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.712803305] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531781.716191429] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.718554515] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531781.722761668] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531781.722844671] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.729295906] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.733353054] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531781.735336126] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531781.741904366] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698531781.749825654] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698531781.751903730] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.756248888] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531781.760369038] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.763900167] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.764430186] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531781.768827347] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531781.769303364] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698531781.777586666] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531781.778309692] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531781.782155832] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531781.782290837] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531781.786136977] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531781.798904443] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531781.804502647] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531781.812129925] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531781.825747421] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.829483557] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531781.827678491] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531781.830630599] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531781.835090761] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531781.840050942] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531781.848244241] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.854469467] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531781.860016670] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531781.862375756] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531781.872093110] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531781.864446831] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531781.867985960] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531781.866929921] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531781.871488088] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531781.868315972] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698531781.882806500] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.891903832] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531781.892341847] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531781.900189133] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531781.903128241] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531781.905812338] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698531781.906569366] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531781.908753446] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531781.916265719] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.921672916] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.928778175] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531781.930320231] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531781.933273339] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531781.942015658] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531781.944712756] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531781.957638227] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531781.959682301] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698531781.961926383] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531781.966344544] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531781.969271651] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531781.974296834] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531781.977816962] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698531781.984429203] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531781.987746324] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531781.988761361] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531781.992999515] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531782.002407858] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531782.005609975] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531782.008833092] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.012614229] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.015389330] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531782.017987424] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531782.019259471] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.027678776] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531782.029348837] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698531782.033366983] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531782.036753106] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531782.037626138] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531782.038795180] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531782.046264452] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531782.047114482] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531782.049706577] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.051366637] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.053531716] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531782.060136956] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.068788270] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531782.069658301] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531782.074111463] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531782.074654483] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531782.075482513] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698531782.082065752] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531782.086347908] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531782.093022150] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531782.097766322] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531782.102151482] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.102466493] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531782.106700647] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698531782.110716793] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531782.113176882] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531782.120254139] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531782.126556368] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531782.129186464] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531782.130539513] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698531782.137298759] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531782.138575805] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531782.145073041] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531782.147073114] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531782.149854215] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531782.153909362] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531782.154071368] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531782.158962546] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531782.163808722] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531782.168350887] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531782.177224209] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531782.177938235] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531782.181364359] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531782.189255646] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531782.190966708] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531782.195121859] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531782.198764991] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531782.203760173] [nurse]: not ready
