 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-28-24-541385-6b40cc44147c-1
trials-all-1  | [nurse-4] [INFO] [1698535720.703385329] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698535720.709094379] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698535720.718808464] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698535720.722619498] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698535720.761921842] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698535720.770860920] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698535720.788871078] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698535720.798627164] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535720.807210239] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698535720.816900324] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535720.825991403] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698535720.834411477] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698535720.843580557] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535720.852091632] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698535720.861763717] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535720.870087790] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698535720.883642908] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698535720.888984955] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535720.906694110] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698535720.911434152] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535720.930498319] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698535720.934675356] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535720.939336396] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535720.956820550] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535720.961402590] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698535720.965865629] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698535720.983119780] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535720.987953822] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535720.992690864] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535721.005466976] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698535721.020885110] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698535721.031073199] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698535721.035664239] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698535721.042548299] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698535721.054589404] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535721.062034469] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698535721.071408550] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698535721.073669570] [nurse]: Nurse's actions:
trials-all-1  | [environment-3] [INFO] [1698535721.078144609] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535721.078144609] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698535721.081658640] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535721.085535673] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698535721.086667683] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.089478708] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698535721.095996765] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535721.097381777] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698535721.099323794] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.102176818] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535721.106063852] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535721.107079861] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535721.119327968] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535721.120703980] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535721.125237019] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535721.130426065] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535721.134949104] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535721.138537135] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535721.142634171] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698535721.152439256] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.159108314] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.172863434] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.178720485] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.184658537] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.190304586] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.197497649] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.201227681] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.211241769] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698535721.212417779] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698535721.222094863] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.228159916] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.233003958] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.242157038] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.248684095] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.258406180] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.264064229] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.269432276] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.274521320] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.280834375] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.284573408] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.296952516] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.302605565] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.314640670] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.318997708] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.326133770] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.330916811] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.342425912] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.348767967] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.354144014] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.359384060] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.367077127] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.372347172] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.385201284] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.390382330] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.396259381] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.401522427] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.408429487] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.413707533] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.425137632] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.429836673] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.435318721] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.440023762] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535721.445194807] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698535721.446973823] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.451444862] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.462283956] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.470403027] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.479082102] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.487725178] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535721.488543185] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698535721.499087277] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.503569316] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.512361392] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.515836423] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.519984459] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.524787501] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.533393576] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.539797631] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.548884711] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.553562751] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.558103791] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.562861832] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.569141887] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.576508951] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.584620022] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.588926060] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.592652092] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.597627135] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.604052191] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.608362229] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.618007313] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.623607362] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.628641406] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.633801451] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.639775503] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.643617536] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.653644623] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.659120671] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.664622719] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.669633763] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.678806843] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.684776895] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.695728990] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.702407048] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.709187107] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.715493162] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.722842226] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.728980280] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.739307370] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535721.746227430] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535721.752284483] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.757934532] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.765805601] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535721.771615651] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535721.775404684] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698535721.785933776] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535721.791511825] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698535721.791760827] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535721.796624869] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535721.797089873] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.802297919] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698535721.805776949] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698535721.813198014] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698535721.823878107] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698535721.828519147] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698535721.834408199] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535721.842421268] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698535721.842541269] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698535721.846528304] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698535721.847062309] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535721.850401338] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535721.854907377] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.859075413] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535721.864475461] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535721.868536496] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698535721.868981500] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535721.876567566] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535721.877044570] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698535721.878993587] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535721.882900621] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535721.883027622] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535721.897847751] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535721.900263772] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698535721.905266816] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535721.905672819] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698535721.909903856] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698535721.914025892] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698535721.915571906] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535721.933468062] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698535721.933698064] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698535721.935285077] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535721.937868100] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698535721.949284199] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535721.951140216] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535721.962438314] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535721.964833335] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698535721.966242347] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535721.970469384] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535721.979175460] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535721.988768543] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535721.993019581] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535721.991489567] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698535721.997008615] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.004951685] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698535722.005077686] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535722.009048720] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.012791753] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535722.008742717] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535722.012646751] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535722.016888788] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535722.017079790] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535722.035207947] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.036187955] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698535722.045690038] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698535722.055396122] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535722.055549123] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535722.056933135] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535722.060400165] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698535722.063934196] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535722.064383200] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535722.069037240] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698535722.071119258] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.087259398] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535722.094232458] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.097569487] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535722.105759558] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535722.111926612] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535722.111942612] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535722.116474651] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535722.116893655] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535722.120597687] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535722.131501781] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535722.131556782] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698535722.134824810] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535722.141024864] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535722.141067864] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535722.144847897] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535722.148734931] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535722.150184943] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698535722.160483032] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535722.161858044] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698535722.171412127] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535722.172610137] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535722.178499188] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.182474223] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535722.185414248] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535722.188949279] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.199007366] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535722.202371395] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535722.209874460] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698535722.216252516] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535722.216370517] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535722.216559518] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535722.219100540] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535722.229035626] [robot]: not ready
