 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-53-18-962162-b2c4388174ec-1
trials-all-1  | [nurse-4] [INFO] [1698530014.978119297] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698530014.984796375] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698530014.998542535] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698530015.011504687] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698530015.034690956] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698530015.052729166] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698530015.074891423] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.083511523] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698530015.092260625] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.107688804] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.126387021] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.134770119] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698530015.149988295] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698530015.155159355] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.174721583] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.180169646] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.198262856] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698530015.210496998] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698530015.218833095] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.222801141] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530015.242914375] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.251354473] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530015.259900572] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.268347670] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.276691767] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.285089864] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530015.292628952] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530015.303007073] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.312014177] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.321393286] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.330882396] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530015.343355541] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698530015.351024630] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530015.355936687] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698530015.359524729] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530015.361611753] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530015.364819790] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530015.366336808] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530015.369354843] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530015.373160887] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698530015.375353913] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530015.377096933] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698530015.381537985] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698530015.381698987] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530015.386679044] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698530015.388357064] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530015.392878116] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530015.394496135] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530015.395377145] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530015.397594171] [nurse]: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530015.403356238] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698530015.420698439] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530015.425501495] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698530015.430170549] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530015.430998559] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530015.442094688] [robot]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530015.445091723] [coordinator]: Updating planner state
trials-all-1  | [robot-6] [INFO] [1698530015.452786812] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530015.458925883] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698530015.458983884] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530015.463752940] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530015.468793998] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698530015.468985000] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530015.477643101] [robot]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698530015.480464134] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [robot-6] [INFO] [1698530015.482051152] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698530015.485081187] [planner]: door_closed
trials-all-1  | [arm-1] [INFO] [1698530015.489984244] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530015.499354353] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530015.501061373] [coordinator]: Planner state updated
trials-all-1  | [environment-3] [INFO] [1698530015.502927395] [environment]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698530015.505319422] [coordinator]: Planing
trials-all-1  | [arm-1] [INFO] [1698530015.510566483] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530015.494331295] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530015.516172548] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530015.519964592] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530015.531119722] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698530015.521526611] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698530015.535808776] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530015.541847847] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.545374888] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [nurse-4] [INFO] [1698530015.553210979] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530015.553448981] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698530015.559672054] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [arm-1] [INFO] [1698530015.570840183] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530015.577693263] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530015.578708275] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530015.582922324] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530015.583199327] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698530015.585003348] [planner]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530015.589923405] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [planner-5] [INFO] [1698530015.592494435] [planner]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698530015.594417457] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530015.598789508] [arm]: Action: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698530015.601472539] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530015.602371550] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530015.606726600] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698530015.614531691] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698530015.615003696] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698530015.615624703] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530015.620554761] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698530015.624700809] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530015.632253897] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698530015.631332886] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530015.641663006] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698530015.643643029] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530015.648037080] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698530015.648367084] [planner]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698530015.636688948] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530015.652984137] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698530015.656843182] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698530015.657084185] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698530015.663244257] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698530015.667853310] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530015.672530364] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530015.672995370] [robot]: Action: a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698530015.675702401] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698530015.676767414] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530015.677326420] [robot]: Doing a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698530015.684939509] [planner]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698530015.684987509] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530015.685646517] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530015.691725587] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698530015.694482619] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698530015.703276721] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698530015.704135731] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530015.707843775] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530015.707933776] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.712397827] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530015.717186883] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.721470933] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698530015.718751901] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530015.731658051] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.735357094] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698530015.736216104] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530015.739011137] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530015.739551143] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.744151196] [coordinator]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698530015.750884274] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530015.754847320] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530015.755673330] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530015.759650376] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530015.766845460] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698530015.769309488] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530015.773165533] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530015.774151545] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530015.778857599] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530015.780327616] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530015.780216615] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698530015.782083637] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698530015.785224673] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530015.785319674] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698530015.787963705] [environment]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530015.789805726] [coordinator]: a_open_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698530015.791859750] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698530015.796096800] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530015.799058834] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.802091869] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530015.809863959] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698530015.814532014] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530015.823849122] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698530015.827901169] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698530015.818423059] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698530015.820897088] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698530015.821401093] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530015.825321139] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698530015.828726179] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530015.831820214] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698530015.831920216] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530015.836190265] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530015.839472303] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530015.843753353] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530015.848480408] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530015.846817389] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530015.850367430] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530015.871344674] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530015.875598723] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530015.850635433] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698530015.853689468] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530015.858288522] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530015.863234579] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530015.874089705] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530015.877631747] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530015.856539502] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530015.860151544] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530015.870318662] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698530015.881381790] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530015.886071845] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698530015.882854807] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530015.898496989] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530015.882956808] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530015.887813865] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530015.895817958] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698530015.900974018] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698530015.904809062] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530015.906198078] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530015.918590222] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530015.923335277] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530015.924185287] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530015.927670328] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530015.930936366] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530015.935816422] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698530015.939054460] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530015.946034541] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530015.948008564] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530015.950481593] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698530015.954254636] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [coordinator-2] [INFO] [1698530015.970457825] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698530015.954559640] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530015.960925714] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530015.963098739] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698530015.967050785] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530015.966841783] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530015.970724828] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530015.979679932] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530015.980549942] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530015.980988947] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530015.984739991] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698530015.989283043] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530015.990966063] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530015.996560128] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530015.996561128] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530015.999253159] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530016.000380172] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530016.001425184] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530016.005525232] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530016.010905294] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698530016.017270367] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530016.021592417] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698530016.025654464] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530016.029524509] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530016.029725511] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530016.034946571] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530016.045464692] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.049151735] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530016.054427796] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698530016.057729834] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530016.060568867] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530016.062141885] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530016.067251944] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530016.069546970] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530016.069791973] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698530016.079208082] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698530016.079775088] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530016.087551178] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530016.098228301] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530016.101134334] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530016.113900482] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.118772538] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530016.120736561] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698530016.129165658] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530016.136716745] [arm]: Action: a_pick_up_sample
