 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-30-05-345289-c2a8ceac0ff3-1
trials-all-1  | [coordinator-2] [INFO] [1698532221.005112263] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698532221.007023297] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698532221.010909367] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698532221.019418519] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698532221.024041602] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698532221.054213143] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698532221.058037211] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698532221.062914299] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698532221.081346629] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532221.085966712] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698532221.102320005] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532221.106367077] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698532221.110472151] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698532221.128212469] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532221.133707567] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698532221.138480653] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532221.142618727] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532221.160105040] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698532221.164141113] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.177487352] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698532221.195568676] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.200237759] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532221.214358012] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.219435103] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.237937435] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.242387515] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532221.247212601] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532221.264133904] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.269131994] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.284810275] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.289479358] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698532221.307037673] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698532221.314621809] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698532221.319018888] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698532221.317824866] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532221.320951922] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532221.325434003] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698532221.325863010] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532221.329971084] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532221.334682168] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.336568202] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698532221.338677240] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532221.341023282] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698532221.342561309] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532221.353541506] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698532221.368361772] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698532221.375152893] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698532221.380019981] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532221.382268021] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532221.396476275] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698532221.397326291] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698532221.401753370] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532221.413072573] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.417501652] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532221.420307702] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532221.424952786] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.423277756] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532221.430568886] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698532221.430702889] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698532221.438830034] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698532221.438814034] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532221.447729194] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532221.453742302] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698532221.455875340] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532221.462220453] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.470401600] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532221.484640855] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532221.488379922] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.495404048] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532221.501472157] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532221.502097168] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.512204349] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532221.519531480] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532221.524719573] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532221.531830701] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532221.536129778] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532221.533557732] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532221.543500910] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532221.547064974] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532221.544671931] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532221.551566054] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698532221.552454070] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532221.558432177] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.566323319] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532221.570327390] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532221.562564251] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532221.566742326] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698532221.568377356] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532221.574874472] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532221.579060547] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532221.582812614] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532221.578092530] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532221.581432589] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532221.588681719] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.593731810] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698532221.597460877] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532221.604837009] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.606482038] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532221.612494146] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.621471307] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532221.625535380] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532221.620308286] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698532221.624065353] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698532221.636214571] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698532221.624632363] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532221.628097426] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532221.634926548] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532221.633043514] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532221.636913584] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532221.649409807] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.649710813] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532221.658686974] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532221.660244002] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.664541079] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.669984176] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532221.675482275] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532221.678740333] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532221.689905533] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532221.690836550] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532221.694177610] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532221.695387631] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698532221.703040768] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.707057840] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532221.719163057] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532221.720358079] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532221.722454116] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698532221.727982215] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532221.732404295] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532221.732504296] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532221.743747498] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532221.746982556] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532221.751174631] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532221.754710694] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.759993789] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.765326884] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532221.770886984] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.779031130] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532221.786051256] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698532221.792213366] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.796883450] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532221.801290529] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532221.813443747] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.814138759] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532221.818387835] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532221.819890862] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.825254958] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532221.827339996] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.829973043] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698532221.839804219] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698532221.846445338] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.848008366] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698532221.851018420] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532221.866006688] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532221.868937741] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532221.874028832] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532221.880862955] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532221.886392054] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532221.891664148] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532221.903243356] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.907513432] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532221.908323447] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532221.912653524] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532221.916048585] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532221.920565666] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532221.921053675] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532221.930900851] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532221.932330877] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532221.936639954] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698532221.937888976] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532221.945801118] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532221.949600186] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532221.957282324] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698532221.957430326] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532221.962875424] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532221.965093464] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532221.975226645] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532221.975694654] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532221.981388756] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532221.981812763] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532221.992118948] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532221.993801978] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532221.998004053] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.002625136] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.006624208] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.011658298] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698532222.019406436] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532222.026637565] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532222.033981696] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.039529795] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532222.036498741] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532222.050204985] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532222.053031036] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532222.058751138] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532222.063142216] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.064042232] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.072677387] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532222.077108466] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532222.083686583] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532222.086821639] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698532222.089606689] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532222.090906712] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532222.095653797] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532222.101587902] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.103694940] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532222.107400006] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698532222.110588063] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532222.124687315] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532222.130524419] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532222.136912533] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.140316594] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532222.138523562] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532222.144546669] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532222.155307861] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.159463935] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532222.156178877] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532222.159603938] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532222.164583027] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698532222.169709118] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532222.167514079] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532222.171237145] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.184644385] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532222.190055481] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698532222.201759690] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698532222.206414773] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532222.202624706] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.206522775] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532222.210376844] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532222.213907907] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532222.218768994] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.231231216] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.237233323] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532222.237578329] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532222.242446416] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532222.254910639] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698532222.255056641] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.266824851] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.270686920] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532222.276702028] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698532222.268960889] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.288491238] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532222.299521435] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532222.303313502] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532222.302569489] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532222.306731563] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.311449648] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532222.326604918] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532222.326796921] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532222.333317038] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532222.337336110] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532222.337718116] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532222.343304216] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698532222.356474451] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698532222.357140463] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532222.367639650] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698532222.370680705] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532222.379356859] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532222.389686044] [arm]: Doing a_pick_up_sample
