 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-12-04-479763-8880973b0b01-1
trials-all-1  | [nurse-4] [INFO] [1698534740.228736702] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698534740.229891681] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698534740.241164473] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698534740.248470339] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698534740.259067144] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698534740.278447788] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698534740.282742709] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698534740.286579638] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698534740.302003355] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534740.314051133] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698534740.326465905] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534740.337070710] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698534740.348393502] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698534740.358842309] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534740.369868107] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698534740.380555910] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534740.391150715] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534740.406583431] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698534740.417376233] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.430735987] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698534740.441353792] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.451853599] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698534740.460298444] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.465608346] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.470244261] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.474876175] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534740.479850084] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534740.484689995] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.488357928] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.492879844] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534740.497982751] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534740.514680443] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698534740.517357394] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534740.529415172] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534740.532630113] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698534740.535929053] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534740.540135975] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698534740.536348045] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698534740.540643966] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698534740.538922998] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534740.545269881] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698534740.549353806] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534740.556550673] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698534740.550226790] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698534740.556550673] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534740.557202661] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534740.561795577] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534740.563260550] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.566803485] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.572521380] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534740.575279329] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.579785246] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534740.585264145] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534740.591108038] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534740.596971930] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534740.602895821] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534740.610083689] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534740.617511552] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534740.627736364] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534740.633193264] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698534740.637748180] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534740.634482240] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534740.642541092] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534740.653235895] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698534740.657328820] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534740.658786793] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534740.668175621] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534740.672933533] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534740.676667464] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698534740.677655446] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534740.683797333] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534740.687397267] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534740.692525173] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534740.701324011] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698534740.703618969] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534740.713183793] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534740.713633785] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.718852689] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534740.722112629] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534740.728169517] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.735290386] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534740.735321386] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698534740.740227296] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534740.750153113] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698534740.752047078] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534740.757106985] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534740.762526886] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534740.767722790] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.774088673] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534740.779776568] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534740.788265412] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534740.793129323] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534740.797404244] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534740.801831163] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.808775035] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534740.811878978] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534740.814528929] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534740.827250695] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698534740.831581616] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534740.828677669] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534740.832444600] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534740.837754502] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534740.843836390] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534740.845274364] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534740.849632284] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534740.851535249] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534740.867368957] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534740.876823784] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698534740.877469772] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534740.877581770] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534740.881317701] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534740.881954689] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534740.889378553] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534740.893286481] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534740.891726510] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534740.897659400] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534740.899792361] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534740.903101300] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534740.904290278] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534740.909841176] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698534740.916301058] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698534740.920785975] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698534740.921897955] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534740.925417890] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534740.931270782] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.935460705] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534740.936949678] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534740.942269580] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534740.949405449] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534740.963763185] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534740.971912035] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534740.976026959] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534740.983757817] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534740.988812724] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534740.989493712] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534740.989733707] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.006904391] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.011378309] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534741.016342218] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534741.021040131] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.025967041] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534741.030231962] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534741.032479921] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534741.038397812] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534741.038580809] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534741.043067726] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.045446683] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534741.049785603] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534741.059911417] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534741.062817363] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534741.064896325] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698534741.065464314] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534741.069692237] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534741.069861234] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534741.074116155] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534741.078065083] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698534741.080764033] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534741.086933920] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534741.089924865] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.099388691] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534741.104294600] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534741.106103567] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534741.115503394] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.120761298] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.124536228] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534741.129193142] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534741.129941129] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534741.133583062] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534741.136837002] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534741.141061924] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534741.143983870] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698534741.152329717] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534741.154319680] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534741.155117666] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534741.161988539] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534741.163993503] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534741.166758452] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698534741.180757194] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534741.183524143] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698534741.186901081] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698534741.188476052] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534741.193668957] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534741.198079876] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.204266762] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534741.205094747] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534741.208685681] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534741.209892658] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.210871640] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534741.215466556] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534741.224228395] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534741.225315375] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534741.227408336] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534741.229047306] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534741.235838181] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534741.237327154] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.243602039] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534741.243871034] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534741.245421005] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534741.247609965] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534741.248042957] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534741.254080846] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534741.258129771] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.262420692] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534741.265586634] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [environment-3] [INFO] [1698534741.269028571] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534741.275606450] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534741.276629431] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.280282364] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.288263217] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698534741.289961186] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534741.292245144] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534741.299950002] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534741.300204998] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698534741.301726970] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698534741.307094871] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698534741.309983818] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698534741.310599806] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534741.314306738] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534741.319291647] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534741.329477459] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534741.333751381] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534741.333741381] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698534741.334545366] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534741.339217280] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534741.346116153] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534741.346520146] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534741.350259077] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534741.356631960] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534741.358838919] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534741.360802883] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534741.363050842] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534741.365278801] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534741.367096767] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698534741.371231691] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698534741.371376689] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534741.375080621] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698534741.385483429] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534741.390002346] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534741.394151270] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534741.397058216] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.405784056] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534741.410016978] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.416124866] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698534741.421625765] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698534741.424181718] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698534741.426555674] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698534741.428854632] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534741.428854632] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534741.432998555] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698534741.434121535] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534741.437476473] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534741.441248404] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534741.441602397] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534741.446301311] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534741.450679230] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534741.455161148] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534741.457799099] [nurse]: Doing a_deposit
