 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-35-04-786638-967c52b70515-1
trials-all-1  | [coordinator-2] [INFO] [1698528920.496044166] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528921.366477378] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528921.405551924] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528921.415649065] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528921.430768276] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698528921.432442300] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698528921.444222464] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698528921.485288038] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698528921.497129203] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698528921.513445431] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698528921.523821576] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698528921.534816730] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698528921.545705882] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528921.555623021] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698528921.566582174] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528921.577685329] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698528921.588826485] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698528921.598922626] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528921.609200769] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698528921.619316911] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528921.629781057] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528921.646795294] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698528921.652710377] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.657515444] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698528921.675149691] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.679712754] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528921.684306819] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.701994066] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.707025136] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.723490366] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528921.728338434] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528921.749105724] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.754025793] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.759365867] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528921.764817943] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698528921.790345300] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698528921.790542303] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698528921.795200368] [robot]: Robot's actions:
trials-all-1  | [coordinator-2] [INFO] [1698528921.801267453] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698528921.807180535] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528921.811592597] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698528921.809125562] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528921.815773655] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698528921.817497679] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528921.822078743] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528921.828402832] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698528921.828632835] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528921.833799907] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528921.838725976] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698528921.833888908] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698528921.839879992] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528921.842925035] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698528921.844242053] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528921.846900090] [robot]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698528921.848076107] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528921.851228151] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528921.851363152] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698528921.858323250] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528921.862261305] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528921.865601351] [robot]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528921.867300375] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528921.871024427] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528921.876007497] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528921.885841634] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528921.890354697] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528921.901352851] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698528921.903437880] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528921.906718926] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528921.907728940] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528921.911634995] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528921.914395033] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698528921.914543035] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528921.918993097] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528921.919166100] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528921.924647176] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528921.933725303] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528921.938363368] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528921.940585399] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698528921.957342633] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528921.959401662] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528921.966924767] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528921.969735806] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528921.976404899] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528921.977761918] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698528921.981180966] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528921.988544069] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528921.993061132] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.008998355] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.017556473] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528922.022859547] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528922.029599640] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528922.035826727] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528922.036563737] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528922.040820796] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528922.041307803] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528922.057539028] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698528922.061630085] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.066228148] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528922.066912158] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528922.071954228] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528922.075058271] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.075281274] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528922.076897296] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528922.081057354] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528922.081092355] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.090527485] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528922.095698557] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528922.103259662] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698528922.110345760] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.115127827] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528922.119909893] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528922.120299898] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.125238967] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.127897004] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528922.132779071] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528922.135641111] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698528922.152526345] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528922.143535221] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.151289328] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528922.145974254] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528922.150310315] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528922.157147409] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528922.158319426] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.168438566] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528922.176149673] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528922.176901683] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.179534720] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.179547720] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528922.184368787] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528922.189039852] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698528922.186175812] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528922.189772862] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.195611943] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528922.196479955] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528922.199730000] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528922.204467066] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528922.208084116] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528922.220991295] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.226020365] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528922.234110477] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698528922.234478482] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.238617539] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698528922.250035698] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528922.250215700] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698528922.251688721] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.259358827] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528922.262963877] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528922.267267937] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.265435911] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.265609914] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [environment-3] [INFO] [1698528922.269392966] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.269796972] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528922.275221047] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528922.277752082] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.280187116] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528922.283701165] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528922.291173268] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528922.292227283] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528922.299446383] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528922.300761401] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528922.304933459] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528922.305906473] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.308197505] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698528922.313050572] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528922.318706650] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.325790749] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528922.326951765] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528922.329799804] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698528922.334029863] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.345431021] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.349583079] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.349989084] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528922.350475091] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.354800151] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698528922.354910152] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528922.356425173] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.370439368] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698528922.370743372] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528922.374418423] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528922.376655454] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528922.380097502] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528922.386168586] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.386415589] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528922.387228601] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528922.389729635] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528922.392515674] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528922.393776692] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528922.402342810] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.410152919] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528922.414611981] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698528922.414735982] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528922.421526076] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.424155113] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528922.436428283] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.443091376] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.444863400] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528922.445810413] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528922.446380421] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.453356518] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528922.459061597] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528922.468169723] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698528922.470801760] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528922.469654744] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528922.473523798] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.489267016] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528922.497302128] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528922.502049193] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528922.509822301] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528922.512308336] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528922.517488407] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528922.517666410] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698528922.520834454] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528922.533320627] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.538045693] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528922.538456698] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698528922.540003720] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528922.544618784] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528922.547226820] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528922.553257904] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528922.562806036] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528922.577016233] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528922.586558366] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698528922.592736451] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698528922.595226486] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.605339626] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528922.609624685] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698528922.614908759] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.620563837] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528922.631880994] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528922.637179068] [robot]: Doing a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528922.640263110] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528922.646071191] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528922.647020204] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528922.649823243] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.663413432] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528922.666707477] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528922.672538558] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698528922.675560600] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528922.682924702] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.690052801] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528922.693045843] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698528922.696176886] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528922.704651003] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698528922.706172025] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.717536182] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528922.719120204] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528922.726049300] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698528922.726868312] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.739897492] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698528922.741944521] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528922.745274567] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528922.749019619] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528922.753009674] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528922.764269830] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528922.769878908] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528922.777415013] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528922.778841033] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528922.782568084] [environment]: Action: monitor
