 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-56-09-451920-bc4340349d33-1
trials-all-1  | [nurse-4] [INFO] [1698530185.173818664] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698530185.175349672] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698530185.190565753] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698530185.201972813] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698530185.210612859] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698530185.236096994] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698530185.255735098] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698530185.264768146] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698530185.273306191] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530185.292953295] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698530185.301656341] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530185.321691447] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698530185.330487494] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698530185.348641590] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530185.356765633] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698530185.365995682] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530185.385265784] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698530185.401321869] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698530185.405858893] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.420098969] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530185.424458992] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.428179011] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530185.450062127] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.458368171] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.476361267] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.484735311] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530185.503829412] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530185.512795460] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.522191509] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.541595612] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530185.549947656] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698530185.570749767] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698530185.580652819] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530185.581938826] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698530185.590541871] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698530185.599342918] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530185.603559940] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530185.612735989] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530185.613403992] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698530185.618811021] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698530185.621889037] [nurse]: Nurse's actions:
trials-all-1  | [environment-3] [INFO] [1698530185.626151060] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698530185.631422088] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530185.640971138] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530185.643581152] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530185.645350162] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530185.653734206] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530185.658984234] [robot]: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698530185.660535242] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530185.670972297] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530185.674496316] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698530185.675880323] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530185.682672359] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530185.683686365] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530185.687273384] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530185.693122415] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698530185.698543443] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530185.701510459] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530185.704762476] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698530185.707466491] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698530185.708782498] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530185.718709550] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530185.726812593] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530185.731871620] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530185.735008636] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530185.743187680] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530185.751754725] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530185.755530745] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530185.762331781] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530185.767636809] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530185.770967827] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530185.776876858] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530185.787080912] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530185.791024933] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530185.803439999] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530185.806189013] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530185.813927054] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530185.814070055] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530185.820777091] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530185.829349136] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530185.832857155] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530185.831037145] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698530185.835070166] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530185.837753181] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530185.850837250] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530185.854970272] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530185.853971267] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530185.857851287] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530185.860551301] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530185.866837335] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530185.873591370] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698530185.876831388] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530185.881626413] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530185.878922399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530185.883697424] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530185.898095500] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530185.902882526] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530185.900678514] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530185.904409534] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530185.909602561] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530185.914549587] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530185.934984696] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530185.945861753] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530185.949380772] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530185.960049828] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530185.971023887] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530185.974942907] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530185.968821875] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698530185.973387899] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698530185.977524921] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530185.970705885] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530185.974768906] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530185.985061961] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530185.984861960] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530185.989008982] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530185.996709023] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.004066061] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530185.997568027] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530186.004769065] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530186.015298120] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530186.019657143] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530186.021902155] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530186.037619237] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530186.029209193] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530186.033607216] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530186.031430205] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.035548226] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.045903280] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.056721337] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698530186.061698363] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530186.066030385] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530186.054937327] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.078508451] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530186.080133459] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530186.087462498] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530186.088374502] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530186.098507555] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.108352607] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.119089663] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.123441686] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530186.127085705] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.125027694] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530186.128826714] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530186.138402764] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698530186.145619802] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530186.152270836] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530186.160399879] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530186.164242899] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530186.161155883] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698530186.164734902] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530186.178417973] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530186.178583974] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530186.182087992] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.195681063] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.205702116] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530186.208886132] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530186.210907143] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.214611162] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530186.223047206] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530186.229094238] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530186.231594251] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.239008290] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530186.246924331] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.251352354] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530186.253431365] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530186.261841409] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530186.262311412] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698530186.264797425] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.274016473] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530186.281286511] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530186.286937540] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530186.305528638] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.314351684] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530186.320595716] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.331047771] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530186.336030797] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530186.338230809] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.342997834] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530186.348435862] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.351025876] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.361282929] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530186.364648947] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.365391951] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530186.369705973] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698530186.371923985] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530186.373673994] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530186.386725062] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530186.394227101] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530186.398621124] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530186.405592161] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.416684219] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530186.419770235] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530186.428314280] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.433496307] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.436997325] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530186.438002330] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.443588359] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698530186.453665412] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530186.456437427] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530186.461809455] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530186.469864497] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530186.478425542] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530186.483362567] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698530186.488499594] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.488880596] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530186.498692648] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.504218676] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530186.508020696] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.517825748] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.527865800] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.531888821] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.533031827] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698530186.541920874] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.546776899] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.553214933] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530186.558906962] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698530186.561019973] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.570424023] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.573261037] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530186.596820161] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530186.600279179] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.604056198] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530186.613236246] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698530186.618426274] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530186.613951250] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.620155283] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530186.637682374] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698530186.648306430] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530186.652151450] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698530186.648787432] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.652548452] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.662179502] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.665955522] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530186.667877532] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698530186.673085559] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698530186.685591625] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.689285644] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530186.691970658] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530186.704703725] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530186.710407754] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530186.716818788] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530186.728012847] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530186.729520854] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698530186.734591881] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530186.738333900] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698530186.737459896] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.741327916] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530186.751241968] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530186.755861992] [robot]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530186.764380037] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530186.765745044] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530186.778079108] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530186.781472126] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698530186.787708159] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698530186.791236177] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530186.799445220] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530186.806681258] [robot]: not ready
