 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-48-04-334236-616f893efcdb-1
trials-all-1  | [nurse-4] [INFO] [1698540500.049797315] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698540500.057328393] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698540500.076416591] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698540500.083695667] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698540500.088019712] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698540500.118752031] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698540500.128836135] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698540500.139527246] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698540500.150333359] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540500.161037470] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698540500.172653590] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540500.183398702] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698540500.193550807] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698540500.202159897] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540500.209054968] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698540500.215989040] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540500.223402117] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698540500.233099218] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698540500.238827277] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.243550326] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698540500.260574503] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.265758557] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540500.269788599] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.284818755] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.289137800] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.308906005] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540500.314055058] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540500.319214112] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.323532157] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.327196195] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540500.331129236] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540500.348331414] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698540500.352223455] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540500.352223455] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540500.355206486] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698540500.357805513] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698540500.368963628] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540500.372662667] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540500.372344663] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698540500.380360747] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540500.382926773] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698540500.387972826] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540500.395333902] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698540500.393318881] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698540500.397364923] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540500.393517883] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540500.396422913] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540500.400948960] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540500.416454121] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.421651175] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698540500.418351141] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540500.426896230] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540500.428794250] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540500.437929344] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.438388349] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540500.448438453] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540500.453683508] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540500.458888562] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540500.464215617] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540500.469971677] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540500.473952718] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540500.480767789] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540500.485151835] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.493665923] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.498238970] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698540500.498429972] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540500.502708017] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540500.507314065] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.517517171] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540500.523652234] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.532046321] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.534207344] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698540500.536665369] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540500.538353387] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698540500.543106436] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540500.547695484] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540500.558157593] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698540500.558867600] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540500.565869673] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540500.566474679] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.577437793] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540500.581795838] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540500.578242801] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.582215842] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540500.586012882] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.593037955] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540500.599314020] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.599683024] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.605832088] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540500.609637127] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540500.607432104] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540500.612148153] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.607925109] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.614346176] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540500.623118267] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540500.621479250] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.625428291] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540500.627144309] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540500.638426426] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540500.643968483] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.642562469] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540500.647787523] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.657942628] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698540500.662037671] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540500.658881638] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540500.662635677] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.660698657] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.668718740] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540500.672623781] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540500.670727761] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.677106827] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540500.677620833] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540500.683275892] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540500.687076931] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540500.688260943] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540500.694527008] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.696154025] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.708746156] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.712768198] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540500.718804260] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540500.719921272] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540500.725415329] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540500.733704415] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540500.744150523] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.750832593] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540500.753445620] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540500.757684664] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698540500.754420630] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540500.758680674] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698540500.764677737] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540500.765761748] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540500.771851811] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.772222815] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540500.777463869] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540500.780319899] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.780782904] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540500.784571943] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698540500.789265992] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540500.794519046] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540500.795317055] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540500.797421077] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540500.799091094] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540500.800575109] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540500.804596151] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698540500.801035114] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.804249147] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540500.814994259] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.826206375] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540500.827291387] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540500.835700474] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540500.845329574] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540500.835934476] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540500.845009571] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540500.836213479] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540500.845610577] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540500.844291563] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.853525659] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540500.853967664] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698540500.858009706] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540500.868898819] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540500.873063862] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540500.879510929] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540500.887666013] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540500.893667076] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.899657138] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698540500.900592148] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540500.905358197] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.907804222] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540500.912915276] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540500.912496271] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540500.916344311] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540500.917329321] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540500.921796368] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540500.923769388] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540500.923822389] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540500.927811430] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540500.937181527] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.948478645] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540500.951056672] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540500.952075682] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540500.956581729] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540500.963709803] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540500.966866836] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540500.969445862] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698540500.969647865] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540500.976519936] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540500.982277996] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540500.982036993] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540500.982833001] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698540500.984831022] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698540500.989220068] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540500.989955075] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540500.993112108] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540501.000851188] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540501.003905220] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540501.007463257] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540501.019164378] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540501.019210379] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540501.024888437] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.025033439] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540501.019558382] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540501.035012542] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540501.035529547] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540501.037316566] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.039762591] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540501.040628600] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540501.044263638] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698540501.051464712] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540501.051918717] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.053262731] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540501.064212844] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.069429898] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.080231010] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698540501.080374012] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540501.082979038] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540501.086625076] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.089372105] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540501.097800192] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540501.099082205] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.099059205] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.110804326] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540501.115196372] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540501.119873420] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540501.123585459] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540501.127528499] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540501.128996515] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.130193527] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540501.136651594] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698540501.140779637] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540501.145992691] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.154745781] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698540501.162414860] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540501.168649925] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540501.169781937] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698540501.177502017] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698540501.177538017] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540501.177796020] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698540501.182699070] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698540501.183255076] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540501.183683081] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540501.190858155] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540501.197941228] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.201782268] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540501.202025270] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540501.209910352] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540501.211596369] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540501.215154406] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540501.218883445] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698540501.219517451] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [environment-3] [INFO] [1698540501.221136468] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540501.227287532] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698540501.231294573] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540501.237528638] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540501.237649639] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540501.250657774] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540501.251335781] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
