 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-06-50-409312-20bc4ee538dc-1
trials-all-1  | [coordinator-2] [INFO] [1698538026.455926495] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698538026.467481307] [coordinator]: Sending response
trials-all-1  | [planner-5] [INFO] [1698538026.469405275] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698538026.474339195] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [nurse-4] [INFO] [1698538026.486918989] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698538026.502512734] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538026.507162658] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.526728339] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538026.547313003] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.553521901] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.558346823] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.563254742] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698538026.586176368] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698538026.590830292] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.596011207] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.601019126] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.616428874] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698538026.636704543] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698538026.640910474] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.656806215] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538026.661755134] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.666904050] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538026.671825969] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.689560680] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.693951608] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.698551533] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538026.716108246] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538026.720785170] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.737636894] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.742336818] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.746447750] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698538026.770527357] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538026.780899188] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538026.785401114] [robot]: Robot's actions:
trials-all-1  | [coordinator-2] [INFO] [1698538026.788193069] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698538026.789754043] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538026.794119972] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698538026.794265970] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698538026.798753896] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698538026.801687848] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698538026.805514786] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538026.811413689] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538026.815130629] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538026.803027826] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538026.806870764] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538026.803595817] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538026.808181742] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538026.804873796] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538026.808811732] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538026.811056695] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698538026.818436575] [nurse]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538026.821304528] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698538026.826041451] [coordinator]: Updating planner state
trials-all-1  | [robot-6] [INFO] [1698538026.811236692] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538026.834638310] [robot]: a_deposit
trials-all-1  | [planner-5] [INFO] [1698538026.832982337] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [planner-5] [INFO] [1698538026.837923257] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698538026.839435232] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698538026.841949191] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538026.849437068] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698538026.854777981] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698538026.856106960] [robot]: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698538026.858751916] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698538026.863146845] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538026.868765753] [robot]: a_open_drawer
trials-all-1  | [planner-5] [INFO] [1698538026.873103682] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [robot-6] [INFO] [1698538026.873519675] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538026.873899669] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698538026.878784589] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538026.878886588] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698538026.881085552] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698538026.895260320] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538026.900033242] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538026.911642053] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538026.915290993] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538026.906466137] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698538026.910359074] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538026.914103012] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538026.910709068] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538026.915174995] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538026.919067931] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538026.921773887] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698538026.926486810] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538026.922301878] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698538026.927918787] [arm]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698538026.931032736] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538026.935098669] [planner]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538026.937718627] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698538026.940951574] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538026.946080490] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538026.946751479] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538026.950298421] [robot]: Doing a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698538026.950306421] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538026.956679317] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698538026.957245308] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538026.961878232] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538026.962546221] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538026.966749153] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538026.966996149] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.967984132] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538026.973318045] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [planner-5] [INFO] [1698538026.977380979] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698538026.981651909] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698538026.985547846] [planner]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698538026.976340996] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538026.980480928] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538026.983829874] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538026.978901954] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538026.982842890] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698538026.993160721] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698538026.993263720] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538026.997319653] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538026.997358653] [environment]: Action: a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698538027.001652583] [planner]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698538027.009806449] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538027.019294295] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538027.020380277] [arm]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698538027.024859204] [planner]: Sending response
trials-all-1  | [arm-1] [INFO] [1698538027.029442129] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538027.032455080] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538027.040717945] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [arm-1] [INFO] [1698538027.042636914] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538027.048681815] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538027.056196693] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698538027.060573621] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698538027.062154595] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538027.066621523] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538027.068796487] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538027.078492329] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538027.084907224] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698538027.086645196] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538027.089734145] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538027.093665081] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698538027.094279071] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538027.099110993] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538027.104964897] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538027.112733770] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538027.115034733] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698538027.118207681] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538027.124875572] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538027.126020553] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698538027.123110601] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538027.134049423] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698538027.137571365] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538027.141639299] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538027.142708281] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698538027.147190208] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538027.149153176] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538027.153087112] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698538027.156808051] [robot]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538027.159354010] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698538027.165627907] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538027.168755856] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538027.169344847] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538027.179735677] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698538027.179901674] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538027.187865545] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538027.190886495] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698538027.193391454] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538027.196646401] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698538027.202143312] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538027.213837121] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538027.218363047] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538027.225084937] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538027.229048873] [robot]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538027.229489865] [coordinator]: Sending plans
trials-all-1  | [arm-1] [INFO] [1698538027.232737812] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538027.239907695] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698538027.242208658] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698538027.246000596] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538027.248279559] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538027.254295461] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698538027.254960450] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698538027.261141349] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538027.264752290] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538027.264824289] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538027.270695193] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698538027.272998156] [nurse]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538027.273793143] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538027.276499098] [robot]: Robot's actions:
trials-all-1  | [coordinator-2] [INFO] [1698538027.278696063] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538027.280852027] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698538027.281956009] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538027.290994862] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538027.288763898] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698538027.296637770] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538027.301252695] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698538027.301252695] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538027.306362611] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698538027.310663541] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538027.312870505] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538027.315259466] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538027.322654345] [arm]: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698538027.325757295] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698538027.329049241] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538027.330979210] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538027.333888162] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538027.334038160] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538027.338721083] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698538027.342546021] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538027.345142979] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538027.352240863] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538027.362367698] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538027.368811592] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538027.373557515] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538027.379401420] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538027.391143228] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538027.396558140] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538027.403943019] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698538027.405716990] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538027.409306932] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698538027.412377882] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538027.417820793] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538027.425326670] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538027.428575617] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538027.428769614] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538027.444579356] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538027.447843303] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698538027.451654241] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538027.452783222] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698538027.460484097] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538027.466841993] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538027.475005860] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538027.483806716] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538027.489724620] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698538027.497042500] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538027.497146499] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538027.513994224] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698538027.522572084] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698538027.526750016] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538027.531353941] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698538027.537005848] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538027.540405793] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538027.552579594] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538027.557290517] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698538027.557524514] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538027.564230404] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538027.565083390] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538027.570094309] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698538027.570387304] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538027.582939099] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538027.590769971] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538027.595082901] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698538027.595346897] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538027.597994853] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538027.606579713] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538027.605583730] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538027.609237670] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698538027.610685646] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538027.619264506] [nurse]: Doing a_authenticate_nurse
