 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-22-23-127734-58ba0cddc6de-1
trials-all-1  | [nurse-4] [INFO] [1698542558.857180391] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698542558.869617621] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698542558.883410767] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698542558.887670503] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698542558.910589084] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698542558.921903383] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698542558.933163686] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698542558.943967017] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542558.954474366] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698542558.965684672] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542558.976764986] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698542558.987446324] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698542558.998612633] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542559.009834938] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698542559.018663392] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542559.027455849] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542559.043443860] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698542559.050139446] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.067398379] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698542559.073875978] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.091764872] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542559.098093481] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.110572710] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.116526341] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.129801521] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542559.134558226] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698542559.155026961] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.159017714] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.163173457] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542559.178827489] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698542559.193395589] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698542559.194694508] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698542559.197697323] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698542559.204461904] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698542559.199275225] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698542559.204035931] [arm]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698542559.207893692] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698542559.211233486] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542559.215411227] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.219317986] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698542559.223342737] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698542559.226940515] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542559.225439607] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.232221188] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542559.252662924] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542559.256677676] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698542559.263116278] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698542559.275281526] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698542559.279804246] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698542559.276574446] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698542559.278364335] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542559.280109227] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698542559.283731003] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542559.283864995] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542559.290431589] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542559.304156740] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542559.309076436] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542559.315845018] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542559.319350801] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542559.325630413] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.335476804] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698542559.337343688] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.343050335] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542559.343545305] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542559.350601869] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698542559.351470815] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542559.354800609] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698542559.354967599] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698542559.357128465] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.363170091] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542559.367178844] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542559.377115229] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542559.381615951] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698542559.385277725] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542559.392664268] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542559.394648145] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698542559.398074933] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.398441911] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698542559.402702647] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698542559.413177000] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698542559.415730842] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698542559.416234810] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542559.421110509] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542559.422002454] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542559.425384245] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542559.434421686] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542559.441196267] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542559.441196267] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698542559.445690989] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542559.452501568] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542559.461145034] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.464692814] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542559.468023608] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542559.475856124] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.485400534] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542559.489465283] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542559.489557277] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542559.492750080] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542559.494336981] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542559.500998570] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542559.505543289] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542559.501372546] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542559.505415296] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542559.520010394] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698542559.521887278] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542559.528767853] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542559.529603801] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698542559.538623243] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.539031218] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.542895979] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542559.542005034] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542559.545134841] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.551626439] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542559.555762184] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698542559.566639511] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698542559.570814253] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542559.575417968] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698542559.578490778] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542559.583537466] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542559.591520973] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542559.591737959] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542559.596732650] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542559.607296997] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542559.608423927] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542559.608678912] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698542559.616391435] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542559.621280133] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542559.625960843] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542559.625954844] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542559.630121586] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542559.635996223] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542559.643973729] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542559.649720374] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542559.657357902] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698542559.658180851] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542559.656034984] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542559.665046426] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542559.668671202] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542559.672157987] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542559.677889632] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698542559.686326111] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698542559.688163997] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542559.698767342] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542559.701767156] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542559.704294000] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542559.713162451] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542559.720333008] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542559.721596930] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.725380696] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698542559.735668060] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542559.737950919] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542559.742258652] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.755442837] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542559.757040739] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.761596457] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542559.770639898] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542559.777210491] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698542559.782350174] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542559.783415108] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542559.787225872] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542559.788890769] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542559.799918087] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542559.805884718] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542559.811133394] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542559.816292075] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542559.816885038] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698542559.822022721] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542559.825843484] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542559.830294209] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542559.831225152] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542559.838518701] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542559.842697442] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542559.851209916] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.857519526] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698542559.862599212] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542559.864825074] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542559.867748893] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542559.873494538] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698542559.869039814] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542559.879079193] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698542559.888590605] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542559.890281500] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698542559.901171827] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542559.901409812] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542559.905346569] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542559.912132149] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542559.901876783] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542559.917498817] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542559.928649128] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542559.931535949] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698542559.941051361] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542559.937563577] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542559.958521281] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542559.965008880] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698542559.965359858] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542559.975692219] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542559.982079824] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542560.001000654] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698542560.001605617] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542560.006417320] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542560.013595877] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542560.017176656] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542560.006907290] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542560.011431010] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542560.016545695] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542560.028229973] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542560.040539213] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542560.040890192] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542560.046244861] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542560.056568224] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542560.063302808] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542560.068512487] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698542560.073539176] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542560.079802790] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698542560.085139460] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542560.087963286] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698542560.097228714] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542560.106228158] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542560.115410591] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542560.119333349] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542560.123492092] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542560.116491525] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698542560.120098302] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698542560.124457033] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698542560.133233491] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542560.141853959] [robot]: door closed
trials-all-1  | [robot-6] [INFO] [1698542560.151824343] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542560.155600110] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542560.154861156] [coordinator]: Receiving sync message: error,door_closed,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542560.159791852] [coordinator]: door_closed
trials-all-1  | [arm-1] [INFO] [1698542560.163442626] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542560.177959730] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542560.187522140] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542560.191688882] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542560.188792061] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542560.192287846] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542560.207294919] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542560.214057502] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542560.226787716] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698542560.230599480] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542560.243239700] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542560.248840354] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542560.253682055] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542560.250923226] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698542560.255112967] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698542560.259043724] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542560.260758619] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542560.264494388] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542560.280924374] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542560.284678142] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542560.294445539] [robot]: door closed
trials-all-1  | [arm-1] [INFO] [1698542560.298565285] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542560.305536854] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542560.313597357] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542560.317405122] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542560.314928275] [coordinator]: Receiving sync message: error,door_closed,Room3
