 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-21-44-433795-e144d49a2162-1
trials-all-1  | [coordinator-2] [INFO] [1698542520.386246674] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698542520.391425562] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698542520.401892335] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698542520.414619059] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698542520.419604951] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698542520.427669776] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698542520.432597670] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698542520.452196245] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698542520.466921926] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698542520.485835516] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698542520.490992404] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542520.503317137] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698542520.508677021] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542520.513029926] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698542520.534889453] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698542520.539950343] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542520.553566048] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698542520.557857955] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542520.562013865] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542520.585278361] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698542520.589818262] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.606225907] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698542520.610967804] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.614943718] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542520.629294407] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.633493316] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.650184954] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.654636857] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542520.659422754] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698542520.675869397] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.680570295] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.684340214] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542520.699940875] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698542520.717988484] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698542520.731652188] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698542520.736781077] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698542520.738271045] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542520.741581973] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698542520.742908944] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698542520.753516714] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542520.757933619] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542520.765128463] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542520.774465260] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698542520.776083225] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698542520.780979119] [nurse]: Nurse's actions:
trials-all-1  | [environment-3] [INFO] [1698542520.781455109] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542520.785459022] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542520.796388785] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542520.800341699] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542520.803751626] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698542520.805551587] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698542520.821562240] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698542520.823414199] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542520.826236138] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698542520.840837822] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698542520.845206727] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542520.845729716] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542520.850943603] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698542520.855537503] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698542520.859669414] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542520.860079405] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542520.863942321] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542520.864047319] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542520.868061232] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542520.869694196] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542520.877597025] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698542520.878219012] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542520.883414899] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542520.885450855] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698542520.889378770] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698542520.889889759] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542520.897312598] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542520.903021474] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542520.912752263] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542520.913398249] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542520.919251122] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542520.920838088] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542520.925040997] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542520.929406902] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542520.937713722] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542520.948542487] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542520.950777439] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698542520.951787417] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542520.955571335] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542520.956289320] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542520.956780309] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542520.967928067] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542520.986226671] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542520.989417602] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542520.992174542] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542520.992778529] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542520.995203476] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698542521.000633358] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542521.004570273] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698542521.005852245] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542521.007585208] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542521.011575122] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.023811857] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542521.032405670] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.034387628] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542521.039952507] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542521.040919486] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542521.046995354] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542521.047263349] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542521.048739317] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698542521.051100266] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.066935923] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542521.068213895] [robot]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698542521.069141875] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698542521.072363805] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542521.073245786] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.074093768] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698542521.078717668] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542521.086863491] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542521.091732386] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542521.092546368] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542521.097066270] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.103691127] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698542521.106566065] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542521.115139879] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542521.120890754] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542521.126825626] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542521.131260530] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698542521.132402505] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542521.134457461] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.135836431] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698542521.151273096] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.158278945] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542521.163944822] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542521.164415812] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542521.167984735] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.169399704] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.169758696] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542521.173114623] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542521.183758393] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542521.187580310] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698542521.190631244] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542521.193496182] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542521.198672070] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542521.202735982] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542521.203722961] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698542521.204546943] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.210008825] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.221274581] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542521.225428491] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542521.229219409] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542521.235152280] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542521.242413123] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542521.244822071] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542521.250676944] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698542521.258898766] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542521.261572708] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542521.270879506] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542521.281403279] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.282709250] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.284725207] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698542521.288318129] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542521.288381127] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542521.293080026] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542521.302100830] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542521.305332760] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542521.308646689] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542521.314185569] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698542521.316631516] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542521.321265415] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542521.321928401] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.322886380] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542521.326241308] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542521.327703276] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542521.330396218] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542521.333207157] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542521.336596083] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542521.338872034] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.341441978] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542521.346690865] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698542521.355306678] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698542521.359431589] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698542521.366053446] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542521.369971361] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542521.370845342] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698542521.372283311] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.373649281] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542521.376750214] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542521.381219117] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542521.381481111] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.388784953] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542521.401886670] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542521.407517548] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542521.408977516] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542521.413130426] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698542521.416499353] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.419373291] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.420022277] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542521.428340097] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542521.436560919] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542521.442955780] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542521.457695461] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542521.459086431] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542521.460444402] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542521.475485076] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542521.477000043] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698542521.480829960] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542521.490117759] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698542521.491320733] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542521.495807636] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698542521.504430449] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.506199411] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.516359191] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542521.518513144] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.526534970] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.530726880] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542521.537595731] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542521.540798662] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.544763576] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.539334693] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542521.543706599] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542521.544621579] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698542521.549021483] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542521.553152394] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698542521.552832401] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542521.556829314] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542521.560509235] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542521.560449236] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698542521.566944095] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.573737948] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542521.580014812] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542521.580248807] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542521.583801730] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.592028552] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.595943467] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698542521.603319308] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542521.598079421] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698542521.599243396] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.614576064] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542521.616790016] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.617622998] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.621134922] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698542521.621723909] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542521.627233790] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542521.629601739] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698542521.635785605] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542521.639246530] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698542521.647632348] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542521.649788301] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698542521.651210271] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542521.658115121] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542521.659814084] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542521.665774955] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542521.676078732] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542521.682384596] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542521.683678568] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542521.691243404] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542521.691495398] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542521.698233252] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542521.702719155] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698542521.704787110] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542521.716139865] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542521.723763700] [robot]: not ready
