 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-09-48-174654-df94de9fc9f3-1
trials-all-1  | [coordinator-2] [INFO] [1698534603.370651978] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534604.481028805] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534604.518503854] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534604.529354579] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534604.543228227] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698534604.544304200] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698534604.549142077] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698534604.556500890] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698534604.560380792] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698534604.583187213] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698534604.592671973] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698534604.603447699] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698534604.612657466] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534604.622170224] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698534604.631433989] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534604.641443736] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698534604.649706526] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698534604.658710298] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534604.667453076] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698534604.675949860] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534604.685818610] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534604.701515212] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698534604.711586956] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.721130714] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698534604.730382480] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.739437250] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698534604.747971033] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.758171775] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.767148547] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.775781328] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534604.784873097] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534604.793710873] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.802709645] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.811776415] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534604.822240150] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534604.834266845] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698534604.843482611] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534604.844650581] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534604.845163568] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534604.850835424] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698534604.857939244] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534604.857433257] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698534604.860806171] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534604.861832145] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698534604.866734021] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534604.872166883] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534604.873699844] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698534604.874148833] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534604.884713565] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698534604.885762538] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534604.888453470] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534604.898944204] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534604.904625060] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534604.908941950] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534604.915935773] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534604.922611604] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534604.928773447] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534604.935901267] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534604.941118134] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534604.946946986] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534604.952598843] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534604.961810609] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534604.967015477] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534604.975823254] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698534604.981837101] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534604.985781001] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534604.993035817] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534604.998230686] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.004900516] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.012009336] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.024335024] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.028838909] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.039807631] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.043265544] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534605.029923882] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698534605.039169648] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698534605.043033550] [coordinator]: Updating planner state
trials-all-1  | [planner-5] [INFO] [1698534605.051931324] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [robot-6] [INFO] [1698534605.063585029] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698534605.064313010] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698534605.069136888] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534605.069395881] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698534605.072774796] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698534605.074874742] [coordinator]: Planner state updated
trials-all-1  | [environment-3] [INFO] [1698534605.076733695] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534605.088470398] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698534605.088470398] [coordinator]: Planing
trials-all-1  | [environment-3] [INFO] [1698534605.097360172] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698534605.098394146] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698534605.101974055] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.106085951] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698534605.106093951] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [arm-1] [INFO] [1698534605.109478865] [arm]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698534605.109857856] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [arm-1] [INFO] [1698534605.118969625] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534605.119351615] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698534605.124784477] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534605.125646455] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698534605.127072419] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698534605.133421258] [planner]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698534605.140922068] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698534605.145046963] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698534605.148337880] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698534605.152470775] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698534605.155833690] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698534605.156178681] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534605.158433624] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534605.164208478] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.167289400] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534605.169193351] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [planner-5] [INFO] [1698534605.173212249] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534605.177195148] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [planner-5] [INFO] [1698534605.180800057] [planner]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534605.175472192] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534605.180156073] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698534605.177980129] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534605.182771007] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.187805879] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534605.194549708] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534605.198767602] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534605.202733501] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698534605.196435661] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698534605.199908573] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534605.203638478] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534605.199617580] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.204741450] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698534605.207440382] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698534605.215284183] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.222215007] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534605.229538821] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698534605.224223956] [planner]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698534605.230682792] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534605.234375699] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698534605.238552593] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698534605.238879585] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534605.242821485] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534605.249035327] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534605.254945177] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534605.243310472] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.249344319] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.255992151] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.259720056] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534605.250918279] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698534605.254918178] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534605.258749081] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534605.261394014] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698534605.265155918] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698534605.268548832] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698534605.278507580] [coordinator]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698534605.279940544] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534605.286203385] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534605.286986365] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534605.296562122] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534605.302582970] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698534605.307064856] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534605.307977833] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534605.312658714] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534605.320292521] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698534605.321176498] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.321620487] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534605.326649360] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698534605.333954174] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534605.335414137] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534605.341722977] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534605.349099790] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534605.358496552] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698534605.362394453] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.366217356] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.364329404] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534605.368264305] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698534605.372964185] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534605.373573170] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534605.375875112] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534605.379527019] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534605.381904959] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698534605.391516715] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534605.383637915] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698534605.387793809] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534605.401398465] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534605.386456843] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698534605.391046727] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534605.395278620] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.401424464] [robot]: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534605.387671813] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534605.391543714] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534605.408752278] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534605.413103168] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534605.417140065] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534605.417917046] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534605.421894945] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698534605.419230012] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534605.421579953] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698534605.425047865] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534605.426267834] [robot]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534605.428572776] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698534605.430176735] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534605.434804618] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534605.440160482] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534605.448666266] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534605.453373147] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.453542143] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534605.461776934] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534605.466828806] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698534605.471935676] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.477299540] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534605.479494485] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534605.494234111] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534605.490999193] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534605.495973067] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698534605.507393777] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534605.510479699] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534605.517696516] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.521380423] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534605.532296146] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698534605.544874827] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534605.551478660] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698534605.552477634] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.560098441] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.565573302] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.573810094] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534605.575521050] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698534605.578354978] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534605.579562948] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698534605.594292574] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.600870408] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.609030201] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.617280992] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.627177741] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.634689550] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.649698170] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.658501947] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.666291749] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.679130424] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.695002021] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.700982870] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.710367632] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.715994489] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.721413352] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.726937212] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.733348049] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534605.737380947] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.745969729] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534605.750390617] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534605.755392490] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534605.760394363] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534605.767672179] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698534605.771659078] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534605.775592978] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534605.787126686] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534605.792918539] [robot]: Action result: True
