 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-25-29-215140-1185b0a6f952-1
trials-all-1  | [nurse-4] [INFO] [1698539144.941081654] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698539144.951626489] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698539144.969536208] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698539144.978131074] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698539145.003078683] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698539145.025075339] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698539145.034321195] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698539145.043157057] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539145.064995715] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698539145.069366647] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539145.086347381] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698539145.091163306] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698539145.109578018] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539145.114114947] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698539145.129615705] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539145.133952637] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698539145.146075447] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698539145.153545330] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.162192195] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698539145.169434082] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.176579970] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698539145.183083868] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.189621766] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.196327661] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.203031557] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698539145.211187429] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698539145.215188366] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.218877309] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.229148148] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539145.235883043] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698539145.245907886] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698539145.255955729] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698539145.258312692] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698539145.260639656] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539145.265650577] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539145.261265646] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698539145.266111570] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698539145.262723623] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698539145.266388566] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.266132570] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698539145.271442487] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698539145.276235412] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698539145.280496345] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539145.281805325] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698539145.287222240] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698539145.292631155] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539145.293233146] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539145.296937088] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539145.297414081] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539145.300730029] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539145.302241005] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539145.309025899] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698539145.309471892] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.315082804] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539145.320188724] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698539145.324308660] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539145.328264598] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539145.332525532] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539145.336438470] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698539145.336458470] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.354278191] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.358740122] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.368015977] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.376290847] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539145.380765777] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539145.382439751] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698539145.384589717] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539145.387277675] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698539145.390550624] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698539145.391432610] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539145.401219457] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539145.409093334] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698539145.409477328] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.413502265] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539145.412717278] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698539145.417128209] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698539145.429911009] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.432050975] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698539145.432885962] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698539145.434141942] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539145.445109771] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539145.445536764] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.448921711] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539145.454198629] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539145.455561608] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698539145.455353611] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539145.459281549] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698539145.461091521] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.467719417] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539145.472265346] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698539145.473009335] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539145.484549154] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.488007100] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539145.488963085] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539145.495068990] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.495208988] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698539145.504934835] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539145.508462780] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.513222706] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.522531560] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539145.524239534] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698539145.526326501] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539145.528418468] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698539145.533149394] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.535039365] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.539122301] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.539958288] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539145.540923273] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698539145.549471139] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.551778103] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539145.557391015] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539145.565666886] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539145.569550825] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.570194815] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698539145.571241799] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698539145.581883632] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.602846304] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539145.605196268] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.610427186] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.614798117] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539145.619002052] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.622841992] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539145.622866991] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539145.624181971] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698539145.626749931] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539145.631005864] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539145.632837835] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539145.637599761] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.641912693] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.651455544] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.655158486] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539145.659350421] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.662002379] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698539145.663072363] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.668005285] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539145.674856178] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698539145.676856147] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.684063034] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539145.680642088] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.684493028] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539145.693464887] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539145.697579823] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539145.693660884] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539145.697880818] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539145.694157876] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.699191798] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539145.708814647] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698539145.710229625] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698539145.718093502] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.722532433] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698539145.724101408] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539145.731451293] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698539145.736245218] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539145.744435090] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.748247031] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539145.741373138] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539145.744835084] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.749013019] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539145.745403075] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698539145.757142892] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.766086752] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539145.757532885] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539145.766887739] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539145.765850755] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539145.768041721] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.771389669] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539145.772227656] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539145.775623603] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.783926473] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698539145.790864364] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.793503323] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698539145.811108048] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539145.817768943] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698539145.824633836] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539145.826152812] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539145.828611774] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539145.830614743] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539145.831586727] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.838382621] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698539145.845086516] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539145.846537494] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698539145.851119422] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539145.856842332] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698539145.863719225] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539145.867712162] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698539145.857802317] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539145.869817130] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.870126125] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539145.878172999] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.887114859] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539145.894090750] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698539145.897963689] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.902063625] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539145.906658553] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539145.913686444] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539145.909142515] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.911084484] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539145.915474416] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539145.925270262] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539145.931493165] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698539145.931640163] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539145.940029032] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539145.943765973] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.941204013] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539145.947787910] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539145.951458853] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539145.955267793] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698539145.945487946] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698539145.949417885] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539145.953029828] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698539145.951316855] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539145.956069781] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539145.960955704] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539145.972328527] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539145.978572429] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539145.986510305] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539145.999179107] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698539146.005381010] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.013797878] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.015347854] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698539146.017618818] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539146.021606756] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539146.022314745] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698539146.027070671] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539146.031436603] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539146.036758519] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539146.037195513] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.042918423] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539146.045925376] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.051103295] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539146.057449196] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698539146.057920189] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539146.068710020] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698539146.071885971] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.078415869] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539146.079654849] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539146.080022844] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698539146.088865705] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539146.092429650] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539146.091404666] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539146.091634662] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698539146.097011578] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539146.098119561] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698539146.099693536] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698539146.102414494] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698539146.105362448] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539146.110473368] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698539146.117364260] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539146.122181185] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539146.126578116] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539146.130326058] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698539146.131373041] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539146.133943001] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698539146.137639943] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539146.143387854] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698539146.147927783] [environment]: Receiving message: monitor
