 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-40-21-004232-7551cb06f269-1
trials-all-1  | [nurse-4] [INFO] [1698529237.005345466] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698529237.009885606] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698529237.015075766] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698529237.177099770] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529237.182342932] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529237.215486956] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529237.230734427] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529237.241415756] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529237.258914297] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529237.273329742] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529237.310214881] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529237.314768022] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529237.339532787] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529237.343791918] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529237.361715472] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529237.366079607] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529237.369972727] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529237.673797110] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529237.686533503] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.709612216] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529237.719076508] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.740911183] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529237.750832489] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.768494034] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.776891294] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.796877911] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529237.805302171] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529237.815084473] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.824578767] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.832791020] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529237.841836300] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529237.854808700] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698529237.861611910] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698529237.867783101] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529237.871020201] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529237.877014386] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698529237.883195577] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529237.887096697] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529237.895725964] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698529237.898105037] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529237.900542113] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529237.906703303] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529237.922777799] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529237.926659919] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698529237.929686013] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529237.931259061] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529237.937521255] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529237.948507594] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698529237.948705600] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698529237.955443808] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698529237.955601813] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529237.958847913] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529237.963388053] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529237.971558306] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698529237.977190480] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529237.981268606] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529237.986830777] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529237.991882933] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529237.994115002] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529237.993237975] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698529237.998159127] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529238.001794240] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529238.008205437] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529238.009913489] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529238.016578694] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529238.019673790] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698529238.020767823] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529238.025342964] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698529238.030956137] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.035149266] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529238.037702344] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.044439551] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529238.047245638] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529238.050493738] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529238.057996968] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529238.061981091] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.068053278] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529238.078307593] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529238.078380595] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529238.089730944] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.089659942] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529238.097880195] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529238.104095386] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.113026661] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529238.116713774] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698529238.117789807] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529238.121437919] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529238.123422980] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.129275160] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.134035307] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529238.134699327] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.139968489] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.146926703] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529238.148708758] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529238.152104863] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698529238.161678157] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.166646310] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529238.174568553] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529238.179830715] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.189352008] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529238.197370255] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529238.199513321] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529238.201506382] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.205974519] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529238.205974519] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529238.212601723] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698529238.220835976] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.223008043] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529238.226465149] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529238.230957288] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698529238.239042536] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529238.239079537] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529238.252777959] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.255643047] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529238.265798359] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.275999673] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529238.276117677] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529238.284182925] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529238.284206925] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529238.297108322] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529238.307014627] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.311373761] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.309371699] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529238.313859837] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529238.310310728] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529238.316455917] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529238.325027181] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.330604352] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529238.334647477] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529238.339435624] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529238.346564843] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.350417962] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.348300897] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.354765095] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.358776219] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529238.362781342] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529238.349043919] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529238.353605060] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698529238.358808220] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.364288388] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529238.370052566] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.375931746] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529238.376290757] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.387541103] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529238.396733386] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698529238.398456439] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529238.412554873] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698529238.424299234] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.430331419] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.423289203] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529238.427558334] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529238.431518456] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.434436546] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529238.439955715] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529238.441274756] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.443396821] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.456155214] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529238.471433683] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529238.475506809] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529238.484563087] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.488936222] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.490121258] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529238.493194353] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529238.494764401] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529238.498722523] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529238.504992716] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.509821864] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529238.516646074] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698529238.528238430] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529238.533252585] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529238.537494715] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.541612842] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.553801217] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.558113349] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529238.566391604] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.571059747] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529238.578308970] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529238.578706983] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.584598164] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529238.589924328] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529238.597403558] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529238.604595779] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529238.610758968] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529238.609793939] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529238.614276077] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529238.614930097] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.619477237] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.623472359] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529238.628869525] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.632852648] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529238.633634672] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698529238.644382002] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.648951143] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529238.658477436] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.662946573] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.666367679] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529238.670648810] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529238.685607270] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.689975405] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529238.694395541] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.694993559] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.699294691] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529238.706880925] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.712289091] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.719094300] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698529238.729646625] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529238.731012667] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529238.738652902] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.742822030] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698529238.742628024] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529238.758764520] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529238.763591669] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529238.768709826] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529238.773076960] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.780245181] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.783751289] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529238.787616408] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529238.790493496] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.803850907] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.809093068] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529238.805965972] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529238.810110099] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529238.818338352] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.823462510] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529238.829140685] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529238.833247811] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529238.839672009] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698529238.852648408] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.866643838] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.878904215] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.883051343] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529238.891426600] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.906044050] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529238.909999171] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529238.913996294] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529238.921745533] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529238.925526649] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529238.936652991] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.940810119] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529238.941810150] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529238.949873398] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529238.956778610] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529238.963747825] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529238.967736947] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529238.971569065] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529238.966735916] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698529238.974854166] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529238.979771317] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529238.991971693] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529238.995954815] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529239.002296010] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698529239.006518139] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529239.004452076] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529239.008983215] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529239.016130434] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529239.023720666] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529239.024224682] [environment]: Responding
