 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-38-17-897821-dccc777616e5-1
trials-all-1  | [nurse-4] [INFO] [1698532713.960647969] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698532713.967059845] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698532713.975400684] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698532713.979704601] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698532714.007711060] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698532714.024504736] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698532714.033521562] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698532714.052425197] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532714.060841034] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698532714.068681883] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532714.085917550] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698532714.093547402] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698532714.109201100] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532714.114304002] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698532714.130681685] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532714.140212501] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532714.158769143] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698532714.164992023] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.170002926] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698532714.186412609] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.191182517] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532714.210174150] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.214801061] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.228691793] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.233855693] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532714.238407605] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532714.242439527] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.259827191] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.264392103] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.282736749] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698532714.299692422] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698532714.305630307] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532714.308389254] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532714.316221102] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698532714.316280101] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698532714.325929915] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532714.330099834] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698532714.327201890] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.332301792] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532714.327331888] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532714.331684804] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698532714.327768879] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532714.332551787] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532714.334929741] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698532714.335872723] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532714.339170659] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.349035469] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.353303386] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532714.351334424] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532714.361667225] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698532714.366191138] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698532714.374234982] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698532714.376414940] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698532714.381710838] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532714.385975755] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532714.384514784] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532714.389927679] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532714.399405496] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698532714.401456457] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532714.404626395] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532714.416241171] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698532714.423673028] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532714.427493954] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.432805851] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.445371609] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532714.446422588] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698532714.450031519] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.454838426] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.459583334] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.459722331] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698532714.461609295] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532714.467702177] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698532714.472867078] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532714.478195975] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698532714.478588967] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.485014843] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.495179647] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532714.501315528] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.507179415] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532714.513538292] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698532714.514776268] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698532714.516661232] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532714.520771153] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532714.521539138] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.530491965] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.536312852] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.546822649] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.553307524] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.560050394] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.565891281] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.573786129] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.579551017] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.590243811] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.597065679] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.603453556] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.610127427] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.618226271] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.624166156] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.634303960] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.640232846] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.645677741] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.651716624] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.659853467] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.666343341] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.678979097] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.686193958] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.692497836] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.698451721] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.705663582] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.711133477] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.720942287] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.726454181] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.732228069] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532714.732734059] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698532714.736692983] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532714.746574792] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698532714.750364719] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532714.746683790] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.750978707] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.759522542] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.763757460] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532714.763570464] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532714.768409371] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.772793286] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532714.775291238] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532714.776836208] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532714.779971147] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698532714.789017973] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532714.798934781] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.807270620] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532714.809143584] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532714.812164526] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.816150449] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.817905415] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.823995297] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532714.826112256] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532714.830870164] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532714.831190158] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532714.835220080] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532714.836352059] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532714.842741935] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698532714.845288886] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698532714.846820856] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.849512804] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532714.851042775] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698532714.861551572] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532714.865979486] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532714.869918410] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532714.875455303] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532714.879305229] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532714.879781220] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532714.887234076] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.891296998] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.900188826] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.904446744] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532714.909060654] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.911871600] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698532714.912661585] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698532714.914011559] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.922554394] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532714.925329340] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532714.926857311] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532714.937447106] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532714.941660025] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532714.946665928] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.950147861] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532714.954598775] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532714.951839828] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532714.956171745] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698532714.953436798] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532714.955606756] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532714.958737695] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532714.959796675] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532714.966260550] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532714.987804134] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532714.989100109] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532714.990505082] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532714.997354949] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532715.019918514] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532715.028806342] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698532715.037657171] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698532715.039713132] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532715.041710093] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532715.043420060] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698532715.049919935] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532715.051910896] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.060739726] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.065059642] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532715.069529556] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532715.073760474] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698532715.076640419] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698532715.078589381] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532715.085488248] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.093509093] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532715.094252079] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698532715.098322000] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532715.101072947] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532715.118068619] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532715.124808489] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532715.132183346] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.141127174] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532715.142035156] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532715.145359092] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532715.146613068] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532715.150366995] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532715.151412975] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532715.151487974] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532715.160683796] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.160994790] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532715.166627681] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532715.170590605] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532715.170708602] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698532715.173101556] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532715.177770466] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532715.178720448] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532715.194045152] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532715.187094286] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.190723216] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532715.194560142] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532715.190747216] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532715.196648102] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532715.208520872] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532715.215882730] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532715.217272703] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532715.229419469] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698532715.239894267] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698532715.246215145] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698532715.252836017] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532715.256012955] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532715.261735845] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698532715.257081935] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532715.260768864] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698532715.266582751] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532715.268102722] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532715.271074665] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532715.276602558] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532715.284662402] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532715.285939378] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.289852302] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532715.291453271] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532715.296154180] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532715.301623075] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532715.311434885] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532715.315475807] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698532715.325629611] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532715.329919528] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532715.338619360] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532715.345992218] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532715.351110119] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698532715.326621592] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532715.341083313] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532715.338367365] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532715.342401287] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532715.349285155] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532715.355579033] [environment]: Receiving message: monitor
