 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-01-22-831578-92f4898ac57a-1
trials-all-1  | [coordinator-2] [INFO] [1698526898.861028163] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698526898.869712104] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698526898.882806014] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698526898.899093903] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698526898.905629858] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698526898.922525742] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698526898.926856713] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698526898.950673550] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698526898.964437456] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698526898.969333422] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698526898.974167389] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526898.989928281] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698526898.994431250] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526898.998568222] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698526899.006557167] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698526899.014170113] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526899.018314084] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698526899.022082058] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526899.033392978] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698526899.045001896] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698526899.051046854] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.055116825] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698526899.067251740] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.073936693] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698526899.081641639] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.088501591] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.094795546] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.101375500] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698526899.107017460] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698526899.113712413] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.119409373] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.126192325] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.132989278] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698526899.141751216] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698526899.151301149] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698526899.154938123] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698526899.163303064] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698526899.165120052] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698526899.169563020] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698526899.175636978] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698526899.180456944] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698526899.181521936] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526899.190352874] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698526899.195561838] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698526899.201639795] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526899.197129827] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698526899.202028792] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.206787759] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526899.210767731] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698526899.206703759] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526899.210552732] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698526899.208539746] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698526899.213141714] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698526899.218575676] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526899.226096623] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.227025616] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526899.230982588] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698526899.234820561] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698526899.237574542] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526899.242658506] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698526899.244342495] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698526899.257459402] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698526899.265712344] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698526899.269719316] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698526899.272225298] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526899.280733239] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526899.284312213] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526899.290310171] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526899.294705140] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526899.280963237] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698526899.284814210] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698526899.291637162] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.296462128] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526899.310946026] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526899.324756929] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526899.313287010] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526899.320747957] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698526899.326306918] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526899.329266897] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698526899.336577846] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526899.340538818] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.351499741] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.355362714] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526899.360478678] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.356371707] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526899.362723662] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526899.362999660] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698526899.371320601] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.383462516] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.383882513] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698526899.387495488] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526899.392149455] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.398166413] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698526899.401542389] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526899.410242328] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526899.420372257] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698526899.421871246] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698526899.430877183] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.435398151] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698526899.437145139] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.440998111] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698526899.443448094] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698526899.444833084] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526899.453326025] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.456747001] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.470296905] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.480194836] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.487070787] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698526899.490374764] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526899.498353708] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.500507693] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526899.511049619] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.519604559] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526899.526131513] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.533282462] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526899.538353427] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698526899.544751382] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.546827367] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.551488334] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.552929324] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526899.557566292] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698526899.565156238] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698526899.568995211] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698526899.571242195] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.574861170] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.587179083] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526899.588075077] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698526899.588227076] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526899.591722051] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526899.593721037] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526899.602547975] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.612380906] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526899.615278886] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.620963846] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.634703749] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.638529722] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.634892748] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.638744721] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.644007684] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698526899.651419632] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698526899.649311646] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526899.652986621] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526899.659102578] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.663445547] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698526899.680370428] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698526899.688488371] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526899.692329344] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526899.689420364] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698526899.693310337] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698526899.697294309] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.702240274] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526899.706398245] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526899.711800207] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526899.722668130] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698526899.726959100] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698526899.726777102] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.730634074] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.727068100] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698526899.730835073] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.740746003] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.744865974] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526899.741624997] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526899.745605969] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526899.746271964] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698526899.758116881] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.765172832] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526899.771589786] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.776896749] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526899.789266662] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526899.793209634] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526899.801724574] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698526899.805476548] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.790061657] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.793897630] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526899.801132579] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526899.805042551] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526899.819346451] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698526899.825287409] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526899.837101326] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526899.841355296] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526899.845611266] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.841987291] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526899.846072263] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526899.854664202] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698526899.856874187] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526899.867636111] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526899.868868102] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.877273043] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526899.879934024] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698526899.882274008] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526899.886567978] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698526899.892561936] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526899.896333909] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526899.893046932] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.896866905] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.909550816] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.917635759] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.925652703] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526899.930506669] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.930860666] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526899.939034609] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.940389599] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698526899.941925588] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698526899.945810561] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526899.948312544] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526899.957388480] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698526899.957446479] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526899.961049454] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.967549408] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698526899.973040370] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526899.978838329] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698526899.984819287] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526899.989494254] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526899.999339185] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.007195129] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526900.014135078] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526900.021686024] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698526900.027885979] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526900.035380925] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698526900.041799879] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526900.047918834] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526900.058346759] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.070123674] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.074102645] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526900.070550671] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698526900.085631562] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526900.089211536] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526900.104183428] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.105141421] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698526900.115024350] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.118005328] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526900.127252261] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.131166233] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526900.136666193] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526900.142068154] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526900.141556158] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526900.153968068] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526900.157867040] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526900.161505014] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526900.158020039] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698526900.161694012] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526900.165305986] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698526900.167309972] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.171375942] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526900.193629782] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698526900.197632753] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698526900.193780781] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526900.197617753] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526900.202783716] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526900.210616659] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526900.218987599] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526900.222811571] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698526900.239592450] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698526900.245451407] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698526900.250133374] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698526900.253996346] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698526900.264846267] [environment]: Responding
