 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-05-40-823859-f72fc3cdbedd-1
trials-all-1  | [coordinator-2] [INFO] [1698541556.612721326] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698541556.618682299] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698541556.629968248] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698541556.642850189] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698541556.647339168] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698541556.668836070] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698541556.679445021] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698541556.690536971] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541556.702503916] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541556.712645870] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698541556.723474820] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541556.734588769] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698541556.745529719] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698541556.755240675] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541556.766007626] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541556.776724577] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541556.786921530] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541556.803591454] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698541556.811584418] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.820668376] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541556.828246341] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.836196305] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541556.843627271] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.852495231] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.860911192] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.869460153] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541556.877505116] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541556.885209081] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.893287044] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.900191013] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541556.908023977] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541556.918405929] [coordinator]: Plans sent
trials-all-1  | [environment-3] [INFO] [1698541556.933845859] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698541556.939213834] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698541556.939644832] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541556.945033808] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541556.949529787] [robot]: Robot's actions:
trials-all-1  | [coordinator-2] [INFO] [1698541556.953798768] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698541556.958209747] [coordinator]: Updating planner state
trials-all-1  | [nurse-4] [INFO] [1698541556.956909753] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698541556.962915726] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541556.967722704] [arm]: Arm's actions:
trials-all-1  | [planner-5] [INFO] [1698541556.965581714] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [planner-5] [INFO] [1698541556.969887694] [planner]: door_closed
trials-all-1  | [nurse-4] [INFO] [1698541556.965890712] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541556.970758690] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541556.971842685] [arm]: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541556.979033652] [coordinator]: Planner state updated
trials-all-1  | [arm-1] [INFO] [1698541556.984273628] [arm]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541556.993981584] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698541556.994202583] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541556.999611558] [robot]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541557.005439532] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [arm-1] [INFO] [1698541557.006984524] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541557.009931511] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.011080506] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.016123483] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541557.019575467] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541557.023576449] [robot]: a_deposit
trials-all-1  | [planner-5] [INFO] [1698541557.019085469] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698541557.023259450] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [environment-3] [INFO] [1698541557.020604462] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698541557.030596416] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698541557.035136396] [planner]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541557.041265368] [robot]: a_navto
trials-all-1  | [planner-5] [INFO] [1698541557.041416367] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698541557.046783342] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.049945328] [robot]: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698541557.051025323] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541557.056604297] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698541557.061988273] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541557.067218249] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698541557.062243272] [robot]: a_open_drawer
trials-all-1  | [planner-5] [INFO] [1698541557.071624229] [planner]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698541557.073367221] [robot]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541557.077327203] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698541557.082228180] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698541557.082624178] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541557.089926145] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541557.095550119] [planner]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698541557.099682100] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541557.099967099] [planner]: Sending response
trials-all-1  | [environment-3] [INFO] [1698541557.107858063] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541557.109421056] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698541557.111553046] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541557.113489037] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541557.117557019] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698541557.123754990] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698541557.128094970] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541557.128292969] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.141403909] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541557.133875944] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698541557.138488923] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698541557.142299905] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541557.145499891] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541557.148301878] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541557.151811862] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541557.149763871] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541557.153242855] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541557.158331832] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541557.162191814] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541557.167053792] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541557.171062774] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698541557.171099774] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541557.175210755] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541557.179622735] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541557.184016714] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541557.187701698] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541557.187755697] [coordinator]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698541557.187774697] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541557.193901669] [coordinator]: Sending plans
trials-all-1  | [environment-3] [INFO] [1698541557.195924660] [environment]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541557.212711583] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698541557.200995637] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541557.208855601] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541557.201704634] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541557.206461612] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698541557.213672579] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.206197613] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.210133595] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541557.214725574] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.229200508] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541557.232851491] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541557.237076472] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698541557.239972458] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698541557.241248453] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698541557.247620423] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541557.248729418] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698541557.252939399] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.257585378] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541557.256782382] [arm]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541557.264533346] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541557.268527328] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541557.266591337] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.274446301] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541557.268364329] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541557.279170279] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541557.279605277] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.284172256] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.297097197] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541557.301294178] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541557.313243123] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541557.318270100] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541557.329788048] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541557.332133037] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541557.334178027] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541557.356614925] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541557.361377903] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541557.377054831] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541557.378933823] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541557.381220812] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541557.393331757] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541557.393331757] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.399420729] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541557.403290711] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541557.406078698] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541557.406238698] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.410170680] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541557.415111657] [arm]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541557.416855649] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698541557.417760645] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541557.421856626] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541557.423892617] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541557.425929608] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698541557.431442582] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698541557.432767576] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698541557.438331551] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.449539500] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541557.453390482] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698541557.454729476] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.459988452] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.460933447] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541557.469231410] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.473628389] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.483909342] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.490815311] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.496150286] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.501129264] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.508270231] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.514258203] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.525007154] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.532583120] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.537354098] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.541253080] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.547821050] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541557.553522024] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541557.564166975] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541557.567449960] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698541557.572744936] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.577754913] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.582042893] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.587107870] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.597595822] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541557.604155792] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698541557.605296787] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.614854743] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698541557.615660740] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541557.618902725] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.623366704] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.627482685] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.633714657] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.638085637] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.648392590] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.652468571] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.656156554] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.659966537] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.666476507] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.670358489] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.680320444] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.685418420] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.689890400] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.694683378] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.701231348] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.705465329] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.718176270] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.724341242] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.729938217] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.735216193] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.742198161] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.748019134] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.759650081] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.769110037] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541557.773883016] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.778987992] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.786134960] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541557.790912938] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541557.798654902] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541557.809101854] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541557.811096845] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698541557.813199836] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541557.817298817] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541557.818208813] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698541557.821088800] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698541557.824979782] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541557.831114754] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541557.839964713] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541557.840905709] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541557.848326675] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.859129626] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541557.864769600] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541557.870619573] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541557.874778554] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541557.880037530] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541557.884671509] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541557.893718467] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541557.897778449] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541557.899683440] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541557.902101429] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541557.906817407] [arm]: Doing a_pick_up_sample
