 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-19-31-351589-a20c13e0220b-1
trials-all-1  | [coordinator-2] [INFO] [1698542387.525868931] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542387.537783589] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698542387.546055352] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698542387.567815727] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698542387.579902379] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698542387.586408192] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698542387.602319735] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698542387.620231221] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698542387.630125937] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698542387.638832687] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542387.648187418] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698542387.657487151] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542387.666358896] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698542387.674720656] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698542387.683324409] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542387.691325179] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698542387.699845934] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542387.709450658] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542387.724250233] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698542387.732027010] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.752747414] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698542387.761030176] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.768739955] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542387.789842349] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.799780063] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.808004827] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.829294216] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542387.837294986] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698542387.856532433] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.865035189] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.873612943] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542387.882738680] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698542387.894360347] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698542387.903851074] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698542387.904023069] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698542387.905284033] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698542387.919273631] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698542387.925369456] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542387.930649304] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698542387.936786128] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698542387.933338227] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542387.937246115] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698542387.935233173] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698542387.942304969] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542387.946456850] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542387.949142773] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698542387.951752698] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542387.952005691] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698542387.954523618] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542387.959864465] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698542387.966647270] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542387.973966060] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698542387.981212852] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542387.989085626] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542387.998564353] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698542388.006252133] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542388.012798945] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542388.019241760] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542388.025090592] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542388.030973423] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542388.039642175] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542388.046019992] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698542388.047535948] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542388.053543776] [coordinator]: Updating planner state
trials-all-1  | [nurse-4] [INFO] [1698542388.057684657] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698542388.061809539] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [nurse-4] [INFO] [1698542388.061980534] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.068181356] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698542388.069322323] [planner]: door_closed
trials-all-1  | [nurse-4] [INFO] [1698542388.076284123] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542388.082434947] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698542388.086507830] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698542388.088370777] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542388.090523715] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698542388.099148467] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698542388.101277406] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [nurse-4] [INFO] [1698542388.114021041] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.119132894] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.123306774] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698542388.125349716] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698542388.139462311] [planner]: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698542388.140538280] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.148584049] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.152176946] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698542388.155263857] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698542388.164051605] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698542388.169288455] [planner]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698542388.167708500] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.173863324] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698542388.174754298] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698542388.179389165] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542388.185302995] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698542388.186009975] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698542388.190404849] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698542388.194837722] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698542388.196546673] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542388.203724467] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698542388.204785436] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.209361305] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698542388.213058199] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542388.217168081] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698542388.226560812] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542388.231079682] [planner]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698542388.232633637] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542388.240895400] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698542388.240952399] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542388.244984283] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698542388.249430156] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542388.249741147] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698542388.252411070] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698542388.253807030] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698542388.257114935] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.265324699] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542388.270713545] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.271551521] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542388.275101419] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542388.279490293] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542388.288883024] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.293464892] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542388.294541861] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542388.304747568] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698542388.305830537] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542388.310242411] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542388.313169327] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542388.321523087] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698542388.325314978] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542388.327090927] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698542388.331687795] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542388.339500571] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542388.342549484] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.346484371] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.351196236] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542388.346994356] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542388.353571168] [coordinator]: Sending plans
trials-all-1  | [environment-3] [INFO] [1698542388.350914244] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698542388.362332916] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698542388.362908900] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698542388.367295774] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698542388.375321544] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542388.375996524] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698542388.378848442] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542388.382929325] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542388.378811443] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698542388.384519280] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698542388.388720159] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542388.390698102] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698542388.393898011] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698542388.399717844] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542388.400747814] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542388.404850696] [nurse]: a_open_door
trials-all-1  | [arm-1] [INFO] [1698542388.405623674] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698542388.405744671] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698542388.409146573] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698542388.411177515] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542388.419328281] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.425802095] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.432616900] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542388.437888748] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542388.445243537] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542388.451914346] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698542388.457006200] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542388.462550041] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542388.467954886] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542388.474023712] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542388.484230419] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.489688262] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542388.499268987] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542388.499845971] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.505859798] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542388.507281757] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698542388.510340670] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542388.512664603] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542388.515676517] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.521665345] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542388.527129188] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542388.528021162] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542388.534451978] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542388.543728712] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.547682598] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542388.536535918] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542388.542889736] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542388.546627628] [arm]: Doing a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698542388.543031732] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698542388.546949619] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542388.555461375] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698542388.556091357] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.560388234] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.565152097] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542388.566389061] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542388.569079984] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698542388.569239980] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.577904731] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698542388.591796333] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.597815160] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.609172834] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.614226689] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.618949553] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542388.630759215] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.640674930] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698542388.646465764] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542388.656951463] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542388.666172199] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698542388.670543073] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.674738953] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.678910833] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542388.682712724] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.691510472] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.696816319] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.706625038] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.712643865] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.718168707] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542388.723023567] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.729014396] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.735331214] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.746864883] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.752451723] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.759857511] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542388.765879338] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.774539089] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.781149900] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.790906620] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.796564457] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.801654311] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542388.806006187] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542388.812408003] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698542388.812901989] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542388.816477886] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.828490541] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.834515369] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542388.840814188] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542388.847006010] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.853185833] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698542388.854955782] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542388.856907726] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542388.863880526] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698542388.871943295] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698542388.873252257] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542388.876930152] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542388.876314169] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542388.880315054] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542388.885871895] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542388.886355881] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542388.891169743] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698542388.895192628] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698542388.891471734] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542388.891975720] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542388.897178571] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542388.907410277] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542388.912299137] [arm]: Action result: False
