 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-23-24-090827-50bec775da4a-1
trials-all-1  | [nurse-4] [INFO] [1698531819.815942661] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698531819.833411250] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698531819.849361787] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531819.869626470] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531819.897100395] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531819.906146700] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531819.915638019] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531819.937394752] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531819.946793069] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531819.970391864] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531819.978870149] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531819.986576409] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531820.004967029] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531820.013580318] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531820.036952103] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531820.041868268] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531820.062260952] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531820.069919210] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.074665369] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531820.078938512] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.095287061] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531820.099700210] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.116048759] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.120560910] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.135749420] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531820.140455578] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531820.156726124] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.161216275] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.165080405] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531820.179830900] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531820.187382154] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531820.194250384] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531820.198385523] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531820.203047680] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698531820.207358825] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531820.204139716] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698531820.207763838] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.205944777] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531820.211332958] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531820.220310259] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.221305293] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698531820.221844311] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531820.225652439] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698531820.225701440] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531820.227121488] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.231659641] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698531820.234886749] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531820.240947952] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531820.245263097] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698531820.250843285] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698531820.252358336] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.258254534] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698531820.259659581] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531820.264648748] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531820.271311972] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531820.278118201] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531820.280835292] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531820.283489381] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531820.289900596] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531820.290357612] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531820.294123738] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531820.295109771] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531820.305698127] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531820.305975136] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698531820.306331148] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531820.312549357] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531820.321752666] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698531820.324485758] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531820.325802802] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.336482160] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531820.340610299] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531820.349970613] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.358183889] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531820.366488168] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.370650308] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.379667610] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.384154761] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.389387937] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531820.396773185] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.401585346] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531820.405738486] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531820.410612650] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.426603186] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531820.434347447] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531820.438337580] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.438267578] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531820.441960702] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.442250712] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.453266082] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531820.457997241] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531820.467529561] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531820.471627698] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531820.468536595] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531820.472232719] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.468878606] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531820.472454726] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.489535300] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.495136488] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531820.496091520] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531820.499855646] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698531820.501507702] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531820.514598141] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.522667412] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531820.528076594] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.535261835] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.539383973] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.539888990] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.546581215] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.551175369] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531820.551761389] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.556871561] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531820.569832996] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698531820.573921133] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698531820.577633258] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531820.572069071] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531820.572356081] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.576839231] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.578846299] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531820.583962470] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.600037010] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531820.604533161] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531820.608213285] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.609434326] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.619889677] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.623717805] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.628794976] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531820.630213023] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.634072153] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.636719242] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.648742646] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531820.654734847] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.657524940] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.667908289] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531820.671664415] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531820.675395541] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.668460308] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.672189433] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531820.675969560] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531820.681272738] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.692951130] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531820.700121371] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.710887732] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.715276880] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.715671893] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531820.719814032] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.738685666] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698531820.725327217] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531820.731808435] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.729454356] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.733445490] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.744669867] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.746644933] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531820.750675068] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531820.753714170] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.770309728] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531820.772286794] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531820.780319064] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.781252095] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.783225161] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531820.794826551] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.797186630] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.803337837] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531820.807443975] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.804880888] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531820.808371006] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.813608182] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531820.818502346] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531820.822839491] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698531820.822632485] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531820.827344643] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.835850928] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.839607055] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531820.824269539] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.831511783] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531820.835649922] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531820.839553053] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.835392913] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.839398047] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.845076238] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698531820.848136341] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.849535388] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.857891668] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531820.862056808] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698531820.863775866] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.867585994] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.871678131] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531820.875464259] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531820.870531093] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531820.874375222] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531820.882273487] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531820.885938610] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531820.882934509] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531820.888883709] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531820.896474964] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531820.899679072] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.905467266] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531820.911426466] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531820.929696080] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531820.934543242] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.913344531] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531820.919823748] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531820.923696878] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531820.921283797] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531820.925013922] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531820.936446306] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531820.921662810] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531820.936112295] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698531820.945665616] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531820.950187768] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531820.953602882] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531820.959380076] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531820.964336243] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531820.966880328] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531820.969196406] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531820.972684523] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.981068805] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531820.981676825] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531820.985604957] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531820.998008373] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531821.004482591] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531821.005194615] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531821.009314752] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531821.023518228] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531821.023775236] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698531821.034325590] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.034984612] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531821.043212887] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.057686372] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.068251725] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531821.071263826] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531821.072727875] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531821.076675007] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531821.087817380] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.088167392] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531821.097360700] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531821.105602975] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.110904153] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.121778517] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531821.114668279] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.126385671] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698531821.141585180] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.143816254] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531821.156666685] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531821.158952761] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531821.164248938] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.169445112] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531821.171935196] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531821.173399245] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531821.176807359] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698531821.178001399] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531821.182535550] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531821.186857695] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531821.196491018] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531821.201559187] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698531821.221172844] [robot]: Action result: False
