 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-39-40-878442-a129a60a2b4b-1
trials-all-1  | [nurse-4] [INFO] [1698529197.413652839] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698529197.429927276] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698529197.434753406] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698529197.449535803] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529197.461927136] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529197.483291711] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529197.487296818] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529197.503334249] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529197.508456387] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529197.524473817] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529197.528949938] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529197.545142373] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529197.549008477] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529197.553524598] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529197.570528055] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529197.591550620] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529197.596900764] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529197.607478048] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529197.613176201] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.632483720] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529197.637920866] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.643787024] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529197.661361496] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.665533609] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.682139055] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.687634203] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529197.705361679] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529197.709787798] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.714065913] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.728513301] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529197.732660413] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698529197.748559840] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529197.756229046] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698529197.756306048] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698529197.766413320] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529197.766766329] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698529197.770919441] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698529197.777679623] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698529197.781700731] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529197.783692784] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529197.786853869] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529197.787650891] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529197.789258934] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529197.793820056] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529197.796496128] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529197.802974302] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529197.805449369] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698529197.811208524] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529197.816109656] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529197.821890811] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529197.831357065] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529197.835205169] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529197.839808292] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529197.844330414] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529197.848180517] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529197.852590636] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529197.856787749] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529197.860942860] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529197.862591905] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698529197.865329978] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529197.869171082] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529197.872178162] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529197.872688176] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529197.877633309] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529197.888727607] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529197.893027723] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529197.893378732] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529197.897749850] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529197.899081885] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529197.902222970] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529197.903485004] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529197.915957339] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529197.917870390] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529197.922750522] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529197.932628787] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529197.942924064] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529197.946802168] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529197.948683219] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529197.953019335] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529197.953046336] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529197.957295450] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529197.957541457] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529197.971411829] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529197.971677837] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529197.976170957] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529197.981929112] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529197.985521209] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529197.989950328] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529197.994233443] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529197.997615534] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529198.001751645] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529198.005465744] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529198.005601748] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698529198.008604828] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.012956945] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529198.021364170] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529198.026126297] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.030666419] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.032573470] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529198.036994588] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.047895880] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529198.051363972] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529198.052275997] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.059519191] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.068642435] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529198.072441536] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529198.078742705] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529198.073384562] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529198.080144742] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698529198.082941817] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529198.088822975] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529198.088875976] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698529198.094335122] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.096376177] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.104467393] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529198.108055489] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529198.099209252] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698529198.102644344] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529198.104842403] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.112086597] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.117958754] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529198.122824884] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.118698774] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529198.124868939] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529198.126117972] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.131032104] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529198.132106133] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.137214269] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.140225350] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529198.150339620] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529198.155375755] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529198.157581814] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.158644843] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529198.159203858] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529198.172485213] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.175797302] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.187115604] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.191568724] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529198.193072764] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529198.196561857] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529198.201820998] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.207468149] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.211841266] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529198.223862588] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.232241812] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529198.233686850] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.238205971] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.242732092] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.242878096] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529198.250703306] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.251031314] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.255452433] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.257558489] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529198.259290535] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529198.264232668] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.269850818] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.280447101] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.281332125] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529198.284553211] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.285716242] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.293415448] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.295274498] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.298550586] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.301170656] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529198.306016786] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.317844102] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529198.322318222] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.310991919] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.330729447] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.334739554] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.331065456] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.336563603] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529198.344710821] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.345264836] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.349896960] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529198.350090965] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529198.357339159] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529198.361218262] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.361846279] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.370230504] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529198.371687543] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.374517618] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529198.379527752] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529198.385134902] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529198.386821947] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.389224012] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.397738240] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.397920244] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529198.403189385] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529198.405739454] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.408201520] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529198.413755668] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529198.415560716] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.420474848] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529198.425355978] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529198.432744176] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698529198.432948182] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529198.438938342] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529198.443592466] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698529198.450115641] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529198.451805686] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.458225858] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529198.477144364] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529198.477639377] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529198.480041442] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.482380504] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529198.490228714] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.493985815] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.494194820] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529198.504815104] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.504855105] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529198.509040217] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698529198.510960269] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529198.515391387] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529198.515421388] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529198.516784425] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.521489551] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.521395548] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529198.525510658] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529198.534933910] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529198.539079021] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.541992099] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529198.547759253] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698529198.556775495] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.561197613] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529198.572900926] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698529198.581869166] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529198.589107360] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698529198.590099386] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529198.595683536] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529198.596251551] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529198.600514665] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.602988731] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.604479771] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529198.607271846] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529198.614560041] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529198.617295114] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529198.624015294] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.630586469] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529198.625941345] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529198.626956372] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529198.631104483] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698529198.631953506] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529198.636077616] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.637367651] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529198.647358918] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529198.649547977] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698529198.657436188] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529198.661336292] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529198.662214316] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698529198.666135420] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529198.666854440] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529198.672418589] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529198.679057766] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529198.688524019] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529198.692776133] [robot]: not ready
