 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-28-11-415546-465e44f2a2ac-1
trials-all-1  | [nurse-4] [INFO] [1698528507.621855114] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698528507.634798337] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698528507.646287535] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698528507.650270604] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698528507.671610971] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698528507.682703162] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698528507.692818336] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698528507.703280517] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528507.714531710] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698528507.724735886] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528507.734891061] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698528507.745152238] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698528507.754851405] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528507.764035563] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698528507.773199721] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528507.782454880] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528507.797239135] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698528507.801570209] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.806004286] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698528507.810454362] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.814412431] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528507.817927491] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.821732557] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.825752626] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.829682694] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528507.833396757] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528507.846888990] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.850907059] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.854422120] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528507.869095372] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698528507.881084579] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698528507.890747745] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528507.895454826] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698528507.901254926] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528507.899992904] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528507.908113044] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528507.913622139] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528507.918623225] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698528507.922614294] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528507.937552551] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528507.943018645] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698528507.943442653] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528507.960245942] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528507.960872953] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528507.973975179] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528507.976366220] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528507.983028334] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528507.992418496] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528508.089421157] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698528508.249854902] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.327453230] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698528508.339508436] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528508.345238534] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698528508.350104617] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528508.354255688] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.358328758] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528508.369169943] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528508.373670020] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528508.378108096] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528508.382325169] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528508.386943248] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528508.391126319] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528508.395865400] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528508.403207526] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528508.407782604] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.416249749] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528508.420211817] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528508.428024950] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528508.432643029] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528508.434177056] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698528508.436641098] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528508.438567131] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528508.442879205] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528508.442879205] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528508.447653286] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528508.452606371] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698528508.458710475] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528508.458584473] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.461591525] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698528508.462695544] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528508.465669595] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698528508.466051601] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528508.466709612] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528508.470852683] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.477314794] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528508.478775819] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528508.482196877] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.488495985] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698528508.494588089] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528508.495565106] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528508.500195185] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528508.504468258] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.508711331] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528508.513765417] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.517554482] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528508.526926643] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528508.527060645] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528508.531217716] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528508.545977969] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528508.534980780] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528508.539492858] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528508.546430976] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528508.535391787] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528508.539677861] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528508.536554807] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528508.538399839] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528508.543204921] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528508.547149989] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698528508.550278042] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528508.558372181] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528508.562565252] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528508.566898326] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528508.569728375] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.575568475] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528508.576822496] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528508.585956653] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.588786701] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528508.598576868] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698528508.599969892] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528508.602686939] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698528508.603251948] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528508.606223999] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528508.609432054] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.609980064] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528508.618797214] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528508.623529295] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528508.628296377] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528508.632412447] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528508.628972389] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528508.637556535] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698528508.642209615] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528508.645261667] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528508.649743744] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.654026817] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.654587827] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.664521997] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528508.668510065] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528508.670424098] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.671102109] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528508.677191214] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528508.679933260] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528508.684314335] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528508.688769412] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528508.692028467] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528508.692998484] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528508.697279557] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.701909636] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528508.706482715] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528508.710226779] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528508.714203847] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528508.721000963] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528508.723514006] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.725123034] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.729815114] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528508.735570212] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.739998288] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528508.743933355] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528508.751480485] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528508.752348499] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528508.755472553] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528508.757322585] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528508.761708660] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528508.764945715] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528508.768197771] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698528508.776097906] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.780567982] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528508.782381013] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528508.785273063] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528508.787765105] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [environment-3] [INFO] [1698528508.790365150] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528508.792019178] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528508.795775242] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.796033247] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528508.801354338] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698528508.806824431] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528508.811177506] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528508.811227507] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698528508.814978571] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528508.828433801] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528508.830489836] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528508.832943878] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528508.837621958] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528508.839405989] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528508.844383074] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528508.844945084] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528508.851722200] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528508.859283329] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528508.860355347] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528508.861735371] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528508.866428451] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528508.873188567] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698528508.873615574] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698528508.876135617] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528508.885629780] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528508.889041838] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.892848903] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.901852057] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528508.903480085] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528508.905742124] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528508.911150216] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528508.924140439] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698528508.924140439] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528508.924790450] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528508.929152524] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698528508.929577532] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528508.934763620] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698528508.939855708] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528508.938432683] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528508.943913777] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528508.944466786] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528508.955262971] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698528508.963689115] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528508.964802134] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528508.966690167] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528508.972887273] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528508.974679303] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528508.979768390] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528508.982522438] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698528509.001465762] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528509.007774869] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.008987890] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528509.018689055] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698528509.018689055] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528509.022829125] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528509.032441288] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528509.037641377] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698528509.042971467] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528509.044311490] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.047615546] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528509.054136657] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528509.057291711] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528509.058854737] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.059127742] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528509.069311915] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528509.076224033] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528509.076474037] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698528509.081631125] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528509.084928181] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528509.092094302] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528509.094661346] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698528509.095718364] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.100069438] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698528509.101221457] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528509.101336459] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528509.110822621] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528509.118172746] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528509.119616770] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698528509.127536905] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528509.132211984] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528509.130814961] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528509.136426056] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [environment-3] [INFO] [1698528509.137253070] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528509.142015151] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528509.149940286] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528509.160422464] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528509.163933523] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698528509.179230783] [arm]: not ready
