 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-44-37-149540-2487e2728a1d-1
trials-all-1  | [planner-5] [INFO] [1698536693.773222807] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536693.789850980] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698536693.794792032] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536693.799521081] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698536693.809375184] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698536693.815047243] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.832682427] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698536693.837538478] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.842416529] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536693.857631687] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.862246735] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.878553905] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.883160953] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698536693.897208100] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698536693.913290268] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.918012317] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.922165360] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536693.936527510] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698536693.945390602] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698536693.953333685] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698536693.954314695] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698536693.957522729] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698536693.965325810] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536693.969602855] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698536693.974429905] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536693.978563948] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536693.968096839] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698536693.973465895] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698536693.984888014] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536693.989110058] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536694.000918181] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536694.005057224] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698536693.989382061] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536693.997632147] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.005192226] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536693.993725106] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698536693.999072162] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536694.003460208] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536693.999613168] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698536694.010143277] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536694.014434322] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536694.018168361] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536694.012334300] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698536694.016281341] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698536694.015224330] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536694.018982369] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536694.031658501] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536694.040994598] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698536694.046184651] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698536694.048229673] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.061476810] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.070007899] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698536694.070654906] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698536694.074372944] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698536694.077664978] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536694.085531060] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536694.088283089] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698536694.089615102] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.095933168] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536694.096961179] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698536694.098037190] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698536694.099814208] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.112752343] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698536694.114808364] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536694.115886375] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536694.117891396] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.119171409] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536694.123657456] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.128468506] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536694.130971532] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536694.132238545] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698536694.134986573] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536694.140424630] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.149597725] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.153401765] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.161363847] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536694.170424941] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.175247991] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.189094135] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.195426201] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.196059208] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.203695287] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.207558327] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536694.214421398] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.214498399] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536694.219971456] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536694.227147530] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698536694.231180572] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.231543576] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698536694.234749609] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698536694.236222625] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.247982747] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536694.252485793] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536694.254744817] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.269758973] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536694.273059007] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.274356021] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.275397031] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.279270072] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698536694.289618179] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536694.290210185] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.294559230] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536694.297904265] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698536694.298644273] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.305842347] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536694.309651387] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.313917431] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.323953535] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.328113579] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536694.334309643] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.341423717] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.346339768] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.350599812] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698536694.356525874] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536694.361637927] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.365895971] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.375606072] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.381106129] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.389359215] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.393987263] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536694.397887303] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536694.400244328] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.402377350] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698536694.410243431] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536694.410343432] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.419150524] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.452304868] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698536694.456228909] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536694.477946134] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536694.487206230] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.494633308] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.499197355] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536694.505301418] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536694.512501493] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536694.513576504] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.521068582] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536694.522729599] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.524484618] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536694.528893663] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.540629785] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536694.545318834] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536694.547390855] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.551493898] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.557696962] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536694.559004976] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.564350031] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536694.573274124] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536694.575005142] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.581770212] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.591828317] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.594858348] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536694.597262373] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.600749409] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.611026516] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.613702544] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.617619585] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536694.619647606] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.621685627] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536694.625317664] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536694.632744742] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536694.636927785] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698536694.642358841] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.652481946] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.665209079] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.669241120] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536694.669802126] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.677802209] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.684889283] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536694.688858324] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.686397299] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.690266339] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.688338319] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536694.692463362] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698536694.706109503] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536694.710011544] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536694.713371579] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536694.720411652] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536694.723450683] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.730967761] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536694.736908823] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536694.741153867] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536694.741256868] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536694.741609872] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536694.745062908] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698536694.746357921] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.748317942] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536694.756568027] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.759366056] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698536694.761332077] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.767305139] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536694.768957156] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536694.771032177] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.772980198] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536694.783570308] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536694.784575318] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698536694.790803383] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.794882425] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.808034562] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536694.811411597] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.821699703] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.825550743] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536694.828641775] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.835657848] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536694.837597868] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.842135916] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698536694.851678015] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698536694.851825016] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698536694.853993039] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536694.857085071] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536694.863847141] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.868519190] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.880330312] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536694.884077351] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698536694.885274363] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536694.888187394] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536694.900683523] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536694.909452615] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698536694.909621616] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.921943744] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.925953786] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.936759898] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536694.938117912] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698536694.941668949] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536694.945654990] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536694.951281049] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536694.953784075] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.960182141] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536694.966538207] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536694.975033295] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536694.979017337] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536694.988120431] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536694.989096441] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698536694.992853480] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536695.005302610] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536695.009701655] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536695.013201691] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536695.030632872] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536695.035031917] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536695.037018938] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698536695.042662996] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536695.046850039] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536695.050390076] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536695.062655203] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536695.066830246] [robot]: Doing a_navto
