 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-59-53-703124-797dc3f7d15b-1
trials-all-1  | [nurse-4] [INFO] [1698530409.548220368] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698530409.563004411] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698530409.574978446] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698530409.579683460] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698530409.601793525] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698530409.615235564] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698530409.634717621] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698530409.639669635] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530409.657739688] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698530409.662893703] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530409.670188725] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698530409.675089739] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698530409.699243810] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530409.704264824] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698530409.708305836] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698530409.711960847] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698530409.736741919] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698530409.745108944] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.752994967] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698530409.774094029] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.781875051] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530409.801307108] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.809110131] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.816677153] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.837517214] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698530409.845330237] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698530409.860254281] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.864747294] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.880858341] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530409.885877356] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698530409.899216395] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698530409.907295418] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698530409.913448436] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698530409.916365445] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698530409.924226468] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530409.928666481] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530409.926334474] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530409.930281485] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530409.928414480] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698530409.942512521] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698530409.946761534] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530409.943910525] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530409.950500544] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698530409.952566551] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530409.957806566] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530409.962803580] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530409.966151590] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530409.967222593] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530409.975137617] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530409.978458626] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530409.986039648] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530409.981053634] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698530409.983227640] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530409.989825660] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530410.004534702] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530410.007039710] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530410.014423731] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530410.021461751] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698530410.022970755] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698530410.032162782] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698530410.033128784] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530410.038830801] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.045910821] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530410.053702843] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530410.054670846] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698530410.058062856] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698530410.066090879] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698530410.066344879] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.081093922] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.085031933] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.082804927] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530410.087197939] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530410.095253962] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530410.101138979] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530410.101259979] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530410.101698981] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698530410.108447000] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698530410.114588018] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530410.118641029] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698530410.118209028] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530410.122676041] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.119059030] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698530410.122903041] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530410.122010039] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698530410.134898076] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.139262088] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.140857093] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530410.150429120] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.152596126] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698530410.152658127] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530410.161188151] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530410.165002162] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530410.162514155] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.166131165] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.175672192] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.177020196] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530410.182489212] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.185869222] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530410.202146268] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698530410.205459278] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530410.206353280] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530410.214127302] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698530410.220703321] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530410.224542332] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530410.235947365] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530410.239660376] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530410.236387366] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.239993377] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.252121411] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.257639427] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530410.262532441] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.263134443] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530410.267874456] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.273534473] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.284607504] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.290142520] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530410.290675522] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530410.299497547] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530410.300249549] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.308831574] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530410.309703576] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530410.310589579] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530410.314996591] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530410.315164592] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.327319627] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530410.334704648] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530410.339088660] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.339186660] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530410.339381661] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530410.344771676] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530410.359734719] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698530410.360286721] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530410.368884746] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698530410.370091749] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530410.374641762] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530410.376933769] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530410.378720774] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530410.385781794] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530410.391534810] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530410.395117821] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698530410.392273812] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.395614822] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.405022849] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.409930863] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.415490879] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530410.420828894] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.424696905] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.425293907] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530410.442396956] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.443730960] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.446824969] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530410.455954995] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.456644997] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.465425022] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.465588022] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530410.469754034] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530410.471667040] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530410.474051047] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530410.474662048] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.474769049] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698530410.487671086] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530410.491393096] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530410.505152136] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.515219164] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.523349188] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.527386199] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.523727189] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.526264196] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530410.532332213] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530410.536661226] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530410.536643226] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530410.539371234] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698530410.547034256] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530410.550778266] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530410.550235265] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530410.556055281] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530410.559681292] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530410.562661300] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530410.566094310] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.570030321] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.567655315] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530410.574545334] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530410.569791321] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530410.574407334] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530410.577935344] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698530410.577860344] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.589301377] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530410.594050390] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530410.598366402] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.598402403] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698530410.606375425] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530410.612652443] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530410.608729432] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.626810484] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530410.631713498] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530410.628969490] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.635661509] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.636361511] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530410.641394526] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.645956539] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.649278548] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698530410.654378563] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.655339566] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530410.658742575] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530410.658417574] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530410.664658592] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530410.667450600] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530410.679410634] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530410.680657638] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.683941647] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530410.686519655] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530410.688307660] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530410.692433672] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698530410.692510672] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530410.705423709] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.707221714] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.712812730] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530410.714058734] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530410.721760756] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530410.722101757] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530410.726397769] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530410.727221771] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530410.739608807] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530410.740023808] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530410.744874822] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530410.752825845] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530410.755960854] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698530410.759264863] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530410.759356863] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698530410.765765882] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.772110900] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.779998922] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.784388935] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530410.789123949] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698530410.797804973] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.801751985] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530410.805127994] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530410.803185989] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698530410.809121006] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530410.815345024] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530410.822187043] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.841723099] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530410.846494113] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698530410.853310132] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530410.857238144] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530410.854123135] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530410.859422150] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698530410.862736159] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530410.866493170] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.882513216] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530410.887028229] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530410.884531222] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530410.888206232] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698530410.891794243] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530410.897722259] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530410.896656256] [robot]: success
