 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-11-25-602678-e320bde50d02-1
trials-all-1  | [planner-5] [INFO] [1698531101.576967517] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531101.593765899] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531101.599433027] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531101.605453164] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531101.620430503] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531101.629227703] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.642273999] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531101.662474457] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.670209633] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531101.678614823] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.696761235] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.705024423] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.725617890] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531101.733066059] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531101.752047489] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.760616684] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.768210856] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531101.784976236] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531101.794388450] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531101.804231673] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531101.804234673] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531101.805219696] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531101.810059806] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698531101.812296856] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698531101.814855914] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531101.820892051] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531101.825559157] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698531101.821915075] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698531101.825660159] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531101.822203081] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531101.826459178] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531101.831797299] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531101.836402403] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531101.840895505] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531101.844957597] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531101.850118714] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698531101.840943506] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531101.844511587] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531101.847566656] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531101.843774570] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698531101.849096691] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531101.854493814] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531101.859144919] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531101.859374924] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531101.864251035] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531101.869049144] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531101.877065326] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531101.881762432] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531101.893655702] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531101.900512858] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531101.913742158] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531101.914748181] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531101.918012255] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531101.919070279] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531101.931261555] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531101.933464605] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698531101.937728702] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531101.942298806] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531101.942945820] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531101.946642904] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698531101.948644950] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531101.949272964] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531101.961024230] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698531101.961840249] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698531101.973014502] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531101.975919568] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531101.981444694] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531101.986039798] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531101.992231938] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531101.993856975] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531101.999843111] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531102.003828201] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531102.005479239] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531102.011552376] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531102.012369394] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698531102.017191503] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531102.018214526] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531102.021351597] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531102.039071998] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.048715216] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.053805331] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531102.058422435] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.068132654] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.069389683] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531102.085059037] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.085635050] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531102.090406158] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.096182288] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531102.100304381] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.105176491] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531102.112128648] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531102.114211695] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.123402903] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531102.128832026] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531102.127336992] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531102.136488199] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531102.142299330] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531102.146730430] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698531102.149615495] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.164453831] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531102.171568991] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531102.179013160] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.191927451] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531102.192410462] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531102.197371574] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.202451689] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.209842856] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698531102.213984950] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531102.216056996] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531102.218523052] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531102.224267182] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.233736396] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.239933536] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531102.249284747] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.250413773] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531102.253905852] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.257388930] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698531102.258325952] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.269741209] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531102.269914213] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531102.274323313] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531102.275378337] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531102.286959598] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531102.287103602] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531102.291702706] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531102.292643727] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531102.301462926] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531102.301759933] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.304896004] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531102.306238034] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.310751136] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531102.317599291] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531102.327620517] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698531102.327925524] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531102.332370624] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531102.336781724] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531102.341424829] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531102.346454943] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531102.351036046] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531102.356131161] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.364265345] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.375355596] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698531102.375390596] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.379974700] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.381424733] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531102.394679032] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531102.398307114] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.399348138] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531102.402456208] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.409524368] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531102.413659461] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531102.423281679] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531102.425379726] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.425382726] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531102.428372794] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531102.429581821] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.432341883] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.441141082] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531102.443544136] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698531102.446293198] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531102.450764299] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.460470519] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531102.462356561] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531102.466522655] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531102.469724728] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698531102.469884731] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.478258921] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698531102.489422173] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.501139438] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698531102.511573673] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531102.515353759] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531102.513949727] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.517678811] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.522298916] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.526443009] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531102.531015113] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531102.534918201] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531102.526021000] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.530025090] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531102.534276186] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531102.548255502] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531102.549096521] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531102.552609601] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531102.556231682] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698531102.554716648] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.558571735] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.573141064] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.574751101] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531102.579247202] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531102.582975287] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531102.587031378] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531102.592246496] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531102.596713597] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531102.606277813] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531102.609962896] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531102.613339973] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531102.614750005] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698531102.619596114] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.623592204] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.635372470] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.639845572] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.646708727] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531102.650718817] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698531102.653830888] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531102.663248100] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698531102.673341328] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531102.679482467] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531102.684323576] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531102.688921680] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.709136137] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.717310322] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.721492416] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.729236591] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531102.737635781] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531102.738696805] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531102.743158906] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.754531163] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.758680256] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.767488455] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.771212540] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531102.772310564] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531102.777678686] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531102.784407838] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531102.787891916] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531102.794006055] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531102.798243150] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [robot-6] [INFO] [1698531102.801265219] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531102.815252535] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531102.819122622] [robot]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531102.828428832] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531102.832707929] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698531102.835442991] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531102.837275032] [environment]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531102.844232189] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531102.856196460] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531102.857544490] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531102.862202595] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531102.869759766] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.883582078] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531102.895842355] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531102.889777218] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531102.893229296] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531102.899755444] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531102.910935697] [coordinator]: Receiving sync message: action_complete,a_approach_arm
