 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-46-40-343714-88e2d9da7906-1
trials-all-1  | [coordinator-2] [INFO] [1698529616.459780081] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.477084393] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.481250468] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.498176773] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529616.502954859] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529616.506686926] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.520578177] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.524949255] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.542026563] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529616.551568735] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698529616.557762847] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529616.558986869] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529616.563702954] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698529616.563833956] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698529616.568141034] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698529616.570764081] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529616.576852191] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698529616.578120214] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529616.585572348] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529616.581295271] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529616.587563384] [robot]: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698529616.587504383] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529616.592167467] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529616.597028554] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529616.601535635] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529616.605099700] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529616.605946715] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529616.617452922] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529616.622456012] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529616.627219098] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529616.631551176] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529616.641742360] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529616.645822434] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529616.652468553] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529616.654707594] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529616.659708684] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529616.662624736] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698529616.663889759] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529616.666106799] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698529616.668335839] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529616.673866939] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529616.677083997] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529616.682922102] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529616.683316109] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529616.689179215] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529616.693568294] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529616.694627313] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529616.698833389] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529616.702791460] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529616.704009482] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529616.716575709] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529616.725516870] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529616.730035951] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529616.731884984] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529616.739184116] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698529616.740494140] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529616.744455211] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529616.749023293] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698529616.761324515] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529616.762365534] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529616.768615646] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529616.775764775] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698529616.776010780] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529616.781562880] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529616.786122962] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529616.791056051] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529616.795990140] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529616.800006212] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529616.806582330] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529616.808109358] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529616.816209504] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529616.830354759] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529616.837698891] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529616.842900985] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529616.847630070] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529616.851022131] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698529616.860402300] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529616.860722306] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529616.865486392] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529616.869448463] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529616.866192405] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529616.870065474] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529616.881016672] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529616.882082691] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529616.884717738] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529616.888639809] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529616.896017942] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529616.899633007] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529616.898280983] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529616.905305109] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529616.900073015] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529616.909255181] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529616.913507257] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529616.911023212] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529616.914671278] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529616.920490383] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529616.923976446] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529616.928134521] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529616.929156539] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529616.932743604] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529616.934162629] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529616.946237847] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529616.947239865] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529616.951916949] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529616.956455031] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529616.957795055] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529616.961913130] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529616.962290136] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529616.963891165] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698529616.968451247] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698529616.973433337] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529616.985096547] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529616.990726649] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529616.994027708] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529617.001581844] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529617.010525005] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529617.010666007] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.014996085] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.019657168] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.027217304] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529617.034112427] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529617.034423433] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529617.037670491] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.038650509] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.041326557] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.042145571] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.058336862] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529617.065194985] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529617.065935998] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.065862997] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529617.069618064] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529617.077814211] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529617.085105341] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529617.084920338] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.089016411] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529617.089208415] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529617.090066430] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.094424508] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.104415687] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529617.113467850] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529617.109655781] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.114108861] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529617.111172809] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.115233881] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529617.126455082] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529617.131099166] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529617.134453226] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.134879233] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.145315420] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529617.150185508] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698529617.154230580] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529617.158804662] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529617.157639641] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.161647713] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.168528836] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529617.168671839] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529617.173077918] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.174061936] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529617.178350012] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529617.178577017] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529617.193854290] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.199445391] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.204171475] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529617.205228494] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.209404569] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.208953561] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.214469660] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529617.222969812] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698529617.229781934] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529617.235628039] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.240500126] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.256073405] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698529617.261947511] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529617.265798580] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698529617.265975583] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529617.271565683] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529617.274423734] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529617.278326804] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529617.284456914] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529617.276660774] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.280224838] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.276984780] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.280939851] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.293453075] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.298497166] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529617.304040265] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529617.307732331] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529617.304977282] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.308401343] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529617.317983515] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529617.321691581] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.328188698] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529617.332677778] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529617.334928819] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698529617.338795888] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529617.347605046] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698529617.352278130] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529617.357460222] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529617.361710299] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529617.368553421] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.370164450] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698529617.373629512] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.374310524] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529617.390771819] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529617.394732890] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529617.407206114] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529617.413124220] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529617.418646319] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.423328403] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.413198221] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529617.419781339] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698529617.425902449] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.438832681] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529617.441130722] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.442947755] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.444096775] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.457011007] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529617.465948167] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529617.469619233] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529617.471105259] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529617.478682395] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698529617.483906489] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529617.500238781] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529617.500543787] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529617.509095940] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529617.514880044] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.515787060] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529617.532556360] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529617.535413412] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698529617.539642487] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529617.546313607] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.547481628] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529617.550310679] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529617.552060710] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529617.567566988] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698529617.569179017] [environment]: Action: monitor
