 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-54-24-081915-4788d038a40e-1
trials-all-1  | [coordinator-2] [INFO] [1698533680.364469493] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533680.369007364] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533680.379512066] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698533680.381079022] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698533680.388734805] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698533680.505284504] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698533680.519097112] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698533680.529194826] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698533680.545398367] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698533680.549999237] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698533680.568548711] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533680.572596597] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698533680.583924276] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533680.590950077] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698533680.595571946] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698533680.612675461] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533680.617320330] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698533680.621348216] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533680.640729667] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533680.650663385] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698533680.654865266] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.661670074] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698533680.665709959] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.680882529] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533680.701373949] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.708310752] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.727539208] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.733848029] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533680.750131568] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533680.756914376] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.775432851] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.781495679] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533680.787300515] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533680.812190810] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698533680.820424576] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533680.821928534] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533680.831114274] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698533680.835003163] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533680.833587204] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533680.837830083] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698533680.843950910] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698533680.849742746] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533680.853496640] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533680.849790745] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533680.854381615] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533680.850773717] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533680.855328588] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698533680.863973343] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533680.869783178] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533680.870091170] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533680.874678040] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533680.881860836] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533680.895073462] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533680.902160261] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533680.907485110] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533680.912863958] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533680.918861788] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533680.925008614] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533680.931265437] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533680.937747253] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533680.946958992] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533680.953461808] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533680.960735602] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698533680.963936511] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533680.972658264] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533680.978978085] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533680.985172910] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533680.992571700] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533680.997699555] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.008943236] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.015187060] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.021949868] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533681.029262661] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533681.036041469] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533681.041819306] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.051669027] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698533681.057149872] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698533681.061614745] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533681.069531521] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698533681.073483409] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533681.072055450] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.076028337] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533681.082614151] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698533681.087685007] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698533681.083525125] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533681.085375073] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533681.092204879] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533681.098150711] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533681.106899463] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.114107259] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533681.118219143] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.129274830] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698533681.129318829] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533681.140157522] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533681.142844446] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533681.143262434] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533681.148096297] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.158255010] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.166499776] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.173583576] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533681.177448466] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.173756571] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533681.178063449] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.182658319] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533681.182754316] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698533681.194175993] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.200596811] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533681.204013714] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533681.208194596] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.209027573] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533681.213502446] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533681.217887322] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.224947122] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.225222114] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533681.225621103] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698533681.230373968] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.231595934] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533681.241506653] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.242602622] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.257764193] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.265349978] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533681.269366864] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533681.273176757] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.281096532] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533681.285561406] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.286592377] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.290010280] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533681.299769004] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.305148852] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533681.310712694] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698533681.316061543] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533681.323196341] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.325174285] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533681.326897236] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533681.331009120] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533681.332837068] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698533681.351366543] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.361929244] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533681.362541227] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.368174068] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533681.370787994] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.373708911] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.379833738] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.381925678] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533681.385665572] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533681.387077532] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533681.392606376] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533681.398208217] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.400214161] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533681.406592980] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533681.418208651] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533681.423907490] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698533681.437553104] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.447928810] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.452209689] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.449652761] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.459724476] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.464289347] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.464922329] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.474132068] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.475676025] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533681.481766852] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698533681.487975676] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533681.491881566] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533681.489523633] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533681.493818511] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533681.493897509] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533681.497775399] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.519879773] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533681.523636667] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698533681.530740466] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533681.537801266] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533681.538635242] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698533681.546436021] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533681.547137002] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533681.550933894] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533681.555271771] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533681.557702703] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533681.564834501] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533681.574192236] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.580371061] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.584223952] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.582262007] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.591332751] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.598719542] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.600138501] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533681.605310355] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.610485208] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533681.614344099] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533681.605767342] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533681.611136190] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698533681.613421125] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.618059994] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.625033797] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.628559697] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.626087767] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.642021316] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.647088172] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.650924064] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533681.642409305] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533681.646444191] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533681.650161085] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.644195254] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533681.648046145] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533681.651910036] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698533681.670581507] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533681.675131379] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.683167151] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533681.692195895] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.700248668] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.704019561] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533681.700892649] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533681.704506547] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533681.702204612] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.707160472] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.715586233] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533681.720462095] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.724314986] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533681.728147878] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533681.717737172] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533681.721463067] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.727162906] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.731206791] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.739863546] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.743803435] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533681.751322222] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533681.740384531] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.743973430] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533681.740560526] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698533681.753131171] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533681.762582903] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533681.766618789] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698533681.770219687] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533681.759389993] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533681.760790954] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533681.776629505] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533681.780848386] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533681.783430313] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533681.790145123] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533681.794427002] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.799057871] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533681.798765879] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533681.808227611] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533681.812987476] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698533681.816405379] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.820160273] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698533681.827511065] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533681.816068389] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533681.819812283] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533681.827478066] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533681.827796057] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698533681.836468812] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533681.844582582] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533681.849868432] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533681.853754322] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533681.859195168] [robot]: Action result: True
