 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-45-04-976142-91a5fee56061-1
trials-all-1  | [planner-5] [INFO] [1698529521.085644019] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529521.094450156] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529521.102941288] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529521.111577423] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529521.121070571] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529521.130294714] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529521.144755940] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529521.153718079] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.158967161] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529521.176316431] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.181206508] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529521.198643779] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.203546856] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.220762124] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.226242209] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529521.230710279] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529521.247340538] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.252797623] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.269525884] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.275274973] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529521.295390287] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698529521.303570414] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698529521.306114454] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529521.308515491] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698529521.308516491] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529521.313135563] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698529521.319392661] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529521.323077718] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698529521.313650571] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529521.320129672] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529521.324649743] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529521.318247643] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698529521.322233705] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529521.329032811] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.334692899] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529521.339112968] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.344790057] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529521.349853136] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.354577209] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529521.360202297] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529521.365158374] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529521.365171374] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529521.369265438] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698529521.375380533] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698529521.379785602] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529521.380882619] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529521.381209624] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529521.389607755] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529521.398260890] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529521.403186967] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529521.411681099] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529521.417717193] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529521.428822366] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529521.433379437] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529521.430957399] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529521.435005462] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529521.444515611] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529521.451269716] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529521.455718785] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698529521.460179855] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698529521.461587877] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698529521.464085915] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529521.465161932] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698529521.469000992] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529521.477811129] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529521.488603298] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529521.489269308] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698529521.494232385] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529521.503190525] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529521.503267526] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529521.507450591] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529521.511222650] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529521.517594749] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529521.519399777] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529521.522407824] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.527723907] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.535804033] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.541606123] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529521.542058130] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698529521.550599264] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698529521.554624326] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529521.555183335] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529521.576484667] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529521.580509730] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.586407822] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529521.587959846] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529521.596770983] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529521.596770983] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529521.598094004] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529521.601593058] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529521.602520073] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529521.612041221] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.617409305] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529521.623145394] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529521.625160425] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.625354428] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529521.631665527] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529521.635414585] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529521.633913562] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529521.645943749] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529521.655835903] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529521.656552915] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529521.657454929] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.668325098] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529521.668621103] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698529521.674373192] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529521.677941248] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529521.679976279] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529521.685327363] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.688690415] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.693497490] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.698790573] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698529521.706201688] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529521.713314799] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529521.717051857] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698529521.720676914] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529521.724511973] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529521.727990028] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529521.714923824] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529521.722523942] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.726659007] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529521.730489067] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529521.725288986] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529521.729177046] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529521.731916089] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529521.736714164] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529521.751242390] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.744393283] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.750662381] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529521.750277375] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529521.756944479] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529521.758380501] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.765805617] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529521.776815788] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529521.782977884] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529521.791292014] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.795209075] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529521.799709145] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529521.784431907] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698529521.788537971] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529521.792403031] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529521.795902086] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.794233060] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529521.798047119] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529521.807967274] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.815445390] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529521.823554517] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529521.833105666] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529521.841875802] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529521.842723815] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529521.847970897] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529521.855879020] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698529521.863035132] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.868015210] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529521.868107211] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529521.881175415] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529521.882553436] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.892409590] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529521.893260603] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529521.893389605] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698529521.900055709] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529521.905739797] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.912181898] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529521.921223039] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.925163100] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529521.922136053] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529521.925908112] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529521.929823173] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.932923221] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.936459276] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698529521.933609232] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.942763374] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529521.947392446] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529521.959801640] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.963808702] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529521.967305757] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698529521.961079660] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529521.964892719] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.969879797] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529521.971676825] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529521.981755982] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698529521.989396101] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529521.989518103] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529521.991572135] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698529521.993167160] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529521.996937218] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529522.005288348] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529522.008094392] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.019479568] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529522.022818620] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.038028855] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.042451924] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529522.049661036] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698529522.050366047] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529522.054687113] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529522.057789161] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.065802286] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.071660376] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529522.071786378] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698529522.082178539] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529522.083025552] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529522.090956675] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529522.096424760] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529522.102541855] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698529522.106488916] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.112859014] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.117255082] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529522.125859216] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.131267299] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529522.131898309] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529522.137697399] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529522.145147514] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.153224640] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529522.159304734] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.165336827] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529522.169499892] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698529522.171399921] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.175569986] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.188997194] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529522.198876347] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529522.203372416] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529522.205041442] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698529522.212972565] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.217213631] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529522.234887904] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.239001968] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.251572163] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.258067263] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529522.272183482] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.277813569] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529522.285459687] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698529522.285470688] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529522.290541766] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529522.294652830] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698529522.301285933] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529522.301683939] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529522.313349119] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529522.319296212] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529522.322987269] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529522.325794312] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529522.329914376] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529522.341736559] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698529522.348316661] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529522.351971718] [coordinator]: plans_actions_current 7 of 11
