 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-33-53-856409-bf4736df811c-1
trials-all-1  | [coordinator-2] [INFO] [1698532449.856928045] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698532449.866337186] [coordinator]: Sending response
trials-all-1  | [planner-5] [INFO] [1698532449.871514264] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698532449.885480473] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [nurse-4] [INFO] [1698532449.887527504] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698532449.903464743] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698532449.912844883] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698532449.922250024] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698532449.931049156] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532449.940296295] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698532449.949223429] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532449.958521568] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698532449.967455702] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698532449.976594839] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532449.985339970] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698532449.994457107] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532450.003333240] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532450.017862457] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698532450.026756589] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.038069758] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698532450.047041892] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.056236029] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532450.065480167] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.074221298] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.083987443] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.092530571] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532450.101931711] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532450.110409838] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.119292970] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.127937099] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.136394225] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698532450.149628423] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698532450.157607542] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698532450.162138610] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532450.162982622] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698532450.167514690] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532450.173179774] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532450.177497839] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698532450.182356911] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532450.186697976] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532450.190994040] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698532450.174342792] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532450.178796858] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532450.178851859] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698532450.182674916] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532450.189778022] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532450.181425897] [arm]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698532450.189262014] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698532450.193633080] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532450.204069235] [nurse]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532450.204369240] [coordinator]: Updating planner state
trials-all-1  | [robot-6] [INFO] [1698532450.209904322] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698532450.209907322] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698532450.211977353] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698532450.216015414] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532450.223422524] [robot]: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698532450.225225551] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [arm-1] [INFO] [1698532450.225883561] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532450.230999637] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532450.231659647] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532450.233718678] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532450.242306806] [robot]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698532450.245226849] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698532450.248273895] [robot]: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532450.257548033] [coordinator]: Planner state updated
trials-all-1  | [robot-6] [INFO] [1698532450.257831038] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698532450.261918099] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532450.263495122] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532450.266658169] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698532450.277328329] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [environment-3] [INFO] [1698532450.267699185] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698532450.280508376] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698532450.284411434] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532450.278284343] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532450.282082399] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532450.279300358] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532450.283103415] [robot]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698532450.283274417] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532450.290657527] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698532450.292720558] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532450.298825649] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532450.299763663] [coordinator]: action_complete
trials-all-1  | [planner-5] [INFO] [1698532450.304714737] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [environment-3] [INFO] [1698532450.305742753] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532450.306764768] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532450.310085817] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698532450.323595019] [arm]: success
trials-all-1  | [planner-5] [INFO] [1698532450.327271074] [planner]: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698532450.330057115] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532450.332865157] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698532450.333798171] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698532450.340422270] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698532450.345629348] [planner]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698532450.345960353] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698532450.353017458] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532450.355151490] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698532450.359304552] [planner]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698532450.363933621] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532450.373070757] [robot]: Action: a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698532450.378506838] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698532450.383119907] [robot]: Doing a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698532450.384797932] [planner]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698532450.386182953] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698532450.389966009] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698532450.391344030] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698532450.395353090] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532450.400263163] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532450.402723200] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532450.403230207] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698532450.405476241] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698532450.406822261] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532450.409007294] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532450.410829321] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698532450.411248327] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532450.423110504] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [arm-1] [INFO] [1698532450.423553511] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532450.427545570] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698532450.428946591] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698532450.438048727] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698532450.442734797] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698532450.446706856] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532450.446999861] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532450.452451942] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698532450.452916949] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.457809022] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532450.458803037] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532450.463437106] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698532450.464400120] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532450.468432180] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532450.474957278] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698532450.478407329] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532450.480387359] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698532450.484534421] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532450.485239431] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698532450.490502510] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532450.490547510] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.495110578] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698532450.497573615] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698532450.501946680] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698532450.502945695] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532450.518120922] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532450.518942934] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532450.523500002] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.529117086] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532450.533811156] [arm]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698532450.536886202] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698532450.542177281] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698532450.543280297] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698532450.545245327] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532450.547922367] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532450.549901396] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [environment-3] [INFO] [1698532450.552633437] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698532450.553179445] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698532450.558006517] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698532450.558171520] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698532450.562741588] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532450.569443688] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532450.570385702] [robot]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698532450.574727767] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532450.579642840] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698532450.584122907] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698532450.589637989] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698532450.590114996] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698532450.592041025] [nurse]: a_open_door
trials-all-1  | [arm-1] [INFO] [1698532450.597871112] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532450.597914113] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532450.602118175] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698532450.607926262] [arm]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698532450.610161295] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532450.610697303] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698532450.613987352] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532450.618202415] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532450.623519495] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532450.629758588] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532450.634550659] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532450.640579749] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532450.646167833] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532450.652393926] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532450.657253998] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532450.662725080] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532450.672248222] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532450.677415299] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532450.690206490] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532450.693146534] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698532450.696693587] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532450.703160683] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698532450.703317686] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532450.711602809] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532450.722810976] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532450.729686079] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532450.741918262] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532450.748365358] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532450.755144459] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532450.761157549] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532450.766960635] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532450.772561719] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532450.776621779] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698532450.780983845] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532450.795213057] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698532450.795578062] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698532450.803366179] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532450.808659258] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532450.811283297] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532450.814730348] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532450.815312357] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698532450.828381552] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532450.831320596] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698532450.833383626] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698532450.845391806] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698532450.852853917] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532450.855155951] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532450.856994979] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532450.858219997] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698532450.869423164] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532450.870936187] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532450.873225221] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532450.873265222] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532450.896372566] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532450.897630585] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532450.902416657] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532450.912501807] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532450.913851827] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532450.914533837] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698532450.916053860] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698532450.924560987] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532450.927748035] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698532450.932938112] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698532450.937357178] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532450.939471210] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532450.939877216] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532450.942098249] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532450.943406268] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698532450.956500464] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698532450.959747512] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532450.965236594] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532450.966309610] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532450.961776542] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532450.972614704] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698532450.976502762] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532450.982218848] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532450.987802931] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698532450.999297102] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532451.018024381] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532451.021355430] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532451.038932692] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532451.040678718] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532451.050922870] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532451.055323935] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532451.059563998] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532451.063449056] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532451.051916884] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532451.059767001] [robot]: Doing a_approach_nurse
