 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-37-18-507263-5b29ef99895f-1
trials-all-1  | [coordinator-2] [INFO] [1698536254.730344230] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698536254.762465146] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698536254.768613321] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698536254.773465460] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698536254.780523661] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698536254.785131792] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536254.800185222] [coordinator]: Sending response
trials-all-1  | [planner-5] [INFO] [1698536254.804857355] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698536254.811127534] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698536254.816481686] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698536254.823860897] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536254.828966042] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536254.819153763] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698536254.833802180] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536254.838041301] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698536254.841985414] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698536254.845731521] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536254.849646632] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698536254.854041758] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536254.858846895] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698536254.868884181] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698536254.873040299] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.879620487] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698536254.885629658] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.889924781] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536254.894866922] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.911108385] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.916125528] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.920519653] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698536254.934028039] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698536254.944666342] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.954560624] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.964788916] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536254.975271215] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698536254.987399561] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698536254.996789828] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698536255.000950947] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698536255.006101094] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698536255.005106065] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698536255.005328072] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698536255.006693111] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536255.009171181] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698536255.014962346] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698536255.018957459] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.009326185] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536255.014948345] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698536255.018787454] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698536255.009879201] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.013946317] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536255.020392500] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.024774625] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.024870627] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.030438786] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.035782938] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536255.041904112] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.050076344] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698536255.057200547] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536255.060896652] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536255.063817735] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.074121028] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.082100255] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.092740557] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536255.098455720] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.108595008] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.113960161] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536255.114650180] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698536255.120775354] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.127291540] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.135148763] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536255.140822924] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.149782179] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.154820322] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.160363480] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.165564628] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.173053841] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536255.178682001] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.188962293] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.194519451] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.200104610] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.203667711] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.213138981] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536255.217894116] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.226324355] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.230980488] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.236170635] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.240895770] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.248779994] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536255.254825166] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.265583472] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.270156602] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.276254775] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.281046911] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536255.280692901] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698536255.285012024] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698536255.302265515] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536255.292654242] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536255.296414348] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.309337716] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698536255.311910789] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.313669839] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698536255.314992877] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536255.320535034] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698536255.324532148] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536255.329027276] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698536255.342933671] [arm]: Doing a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698536255.347104790] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698536255.347962814] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536255.352464942] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698536255.353458970] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698536255.356522058] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698536255.360608174] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698536255.361728206] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536255.383235817] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698536255.395670171] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536255.396629198] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.397563224] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536255.400165298] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.407173498] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536255.414294700] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.416485763] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.416673768] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698536255.422312928] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698536255.438338384] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.441360470] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698536255.443219523] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536255.447830654] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536255.448462672] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536255.457515929] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.460772022] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536255.462058058] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.465854166] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.473216376] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536255.473441382] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.478200517] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.478648530] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698536255.486460752] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698536255.490150857] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536255.490633871] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.509376404] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536255.513254514] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536255.516535607] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.518337659] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698536255.520646724] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.531208025] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536255.532958074] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.537288197] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536255.545921443] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.548122505] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536255.551767609] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536255.555520716] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536255.557143762] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.560906869] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536255.560906869] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536255.565341995] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536255.565904011] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698536255.575905295] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.584796548] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536255.590421708] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536255.585864579] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.602806060] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.603280074] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.608420220] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536255.613108353] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536255.613983378] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.618261500] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536255.619154525] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536255.636743025] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.643620221] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536255.648743367] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.653926514] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.664117804] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.666177862] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.671156004] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536255.671735020] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536255.678221205] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.680145259] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536255.683538356] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.686316435] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698536255.691033569] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536255.695546697] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.698251774] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.704571954] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536255.706271002] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.711806160] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536255.715479264] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536255.712737186] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536255.717888333] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698536255.725848559] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536255.735132823] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536255.736442860] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698536255.740504976] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698536255.742660037] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536255.749231224] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698536255.750151250] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536255.754345369] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.751255281] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698536255.754980387] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536255.762176592] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.766317710] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698536255.765088675] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.768220764] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698536255.771332852] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698536255.772318880] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536255.772875896] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536255.777213019] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536255.783305193] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536255.787387309] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.787506312] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536255.787533313] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536255.793951495] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536255.812281017] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536255.812897034] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698536255.814191071] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536255.818258187] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536255.819134211] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536255.822803316] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.820388247] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698536255.843695910] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698536255.845074949] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698536255.847507018] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536255.849808084] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.851933144] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698536255.854037204] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536255.856371270] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536255.858196322] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536255.859120348] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536255.863204465] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.863243466] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536255.870126661] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536255.869367640] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536255.877236864] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536255.882114002] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698536255.887829165] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698536255.892304292] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536255.893678331] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.896299406] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536255.900309520] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536255.901743560] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698536255.905676672] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536255.909260774] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536255.909694786] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.917487008] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536255.922928163] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698536255.934838501] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698536255.943979761] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [environment-3] [INFO] [1698536255.945153795] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698536255.951231967] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536255.952512004] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536255.957438144] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698536255.967146420] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536255.973714607] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536255.968828468] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.972772580] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536255.983023871] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536255.992201132] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536255.998057299] [robot]: success
