 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-12-02-529659-d18ed5c6bb5c-1
trials-all-1  | [coordinator-2] [INFO] [1698538338.648447739] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698538338.655335655] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538338.669852477] [coordinator]: Sending response
trials-all-1  | [planner-5] [INFO] [1698538338.678701369] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698538338.696525152] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538338.701777087] [planner]: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698538338.687014268] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698538338.717112900] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538338.724331812] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538338.728453762] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698538338.732362714] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538338.746657539] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698538338.754460444] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698538338.761895353] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538338.769172264] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538338.776159179] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538338.780159130] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698538338.791445992] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698538338.796679928] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.813788719] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538338.818664660] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.833836475] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538338.838556417] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.852866242] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.857586184] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.861375138] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538338.879792913] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538338.885044849] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.905863595] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.910166542] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538338.914167493] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698538338.931043287] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698538338.943089140] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698538338.943178139] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538338.948961068] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538338.953620012] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698538338.954073006] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698538338.960066933] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698538338.969259821] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698538338.969751815] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538338.973128773] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538338.979431696] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538338.985906617] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538338.990204565] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538338.981303673] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538338.990003567] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538338.993988519] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698538338.998159468] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538339.003997396] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538339.015755253] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698538339.018498219] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698538339.021763179] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538339.026878117] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698538339.031700058] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538339.032652047] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538339.036724997] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538339.040662949] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538339.047384867] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.053000798] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538339.063767667] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538339.069130601] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538339.087686375] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698538339.087704375] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698538339.088848361] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698538339.093190308] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538339.093340306] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538339.098100248] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538339.104226173] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538339.108164125] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698538339.109597108] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698538339.109778105] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538339.115946030] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538339.120550974] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698538339.120863970] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538339.125800910] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.126859897] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538339.136974773] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698538339.144989676] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.148127637] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.148450633] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.153683569] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698538339.155091552] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.158290513] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538339.169147381] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.172205343] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538339.179114259] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.185631180] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.202051979] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538339.203685959] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.211137868] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538339.218298781] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.218531778] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538339.220195758] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698538339.232345609] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.232629606] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538339.237661545] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538339.240585509] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.243745470] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538339.245915444] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538339.247842420] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.249968394] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.260253269] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.276797067] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698538339.277546058] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.282373999] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538339.283209989] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.297300817] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.301117770] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538339.303276744] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538339.307060698] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538339.308915675] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538339.310771652] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.325266475] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538339.326719458] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.330260414] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538339.331601398] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.342411266] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538339.345614227] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698538339.347158208] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538339.354271121] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538339.362036027] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538339.363710006] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.377330840] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538339.378876821] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.386598727] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538339.388506704] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.392494655] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538339.398750579] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698538339.406189488] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538339.409088452] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538339.416295364] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698538339.420613312] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538339.428581215] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538339.433036160] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538339.434479143] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.444527020] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538339.445818004] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538339.451620933] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538339.453966905] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698538339.458623848] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538339.471459691] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.472197682] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538339.479290596] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.497346375] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538339.507716249] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.510492215] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.511651201] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698538339.511773199] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538339.517253132] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538339.524329046] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.531677956] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538339.536002904] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538339.531926953] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538339.532847942] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.536735895] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.547503763] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538339.552788699] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538339.561444593] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538339.567490519] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538339.567909514] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.572253461] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538339.572556457] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698538339.581402349] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538339.582649334] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.586267290] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538339.594828186] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538339.611657980] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538339.615441934] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538339.619140889] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698538339.622909843] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.616107926] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.619982879] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.624486824] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538339.622022854] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538339.626526799] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538339.634419702] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.641068621] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698538339.652590481] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698538339.634670699] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538339.652075487] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698538339.657273424] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538339.658442409] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.663596346] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538339.672494238] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538339.684032097] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.688529042] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.695166961] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538339.699999902] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.692652992] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538339.705927830] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.709737783] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.721514639] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.726143583] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.731370519] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538339.735983463] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538339.747414323] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538339.752458262] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538339.756355214] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698538339.753648247] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.759622174] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.775376982] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.779512932] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.783041889] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.777244959] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538339.780909915] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698538339.787272837] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.800740673] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538339.804819623] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.808218581] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.824026388] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.828480334] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.832381286] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538339.835911243] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.830718307] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538339.847769099] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.856178996] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538339.849076083] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698538339.865214886] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538339.866786867] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538339.874461773] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.883328665] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538339.890888572] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698538339.891006571] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.913017302] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.919983217] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.934649038] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.938888987] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538339.943424931] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.951598831] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698538339.957611758] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538339.963963681] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538339.967719635] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538339.973680562] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698538339.982446455] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538339.986961400] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538339.990365358] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698538339.995706293] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698538339.999992241] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538339.993779317] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538339.997617270] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538340.006396163] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538340.015398053] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538340.023219958] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538340.034991814] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538340.039962753] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538340.045359688] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538340.041891730] [robot]: door closed
trials-all-1  | [robot-6] [INFO] [1698538340.051171617] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538340.057345541] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538340.064441455] [coordinator]: Receiving sync message: error,door_closed,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538340.068551405] [coordinator]: door_closed
trials-all-1  | [arm-1] [INFO] [1698538340.068319408] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538340.077939290] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538340.082359236] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538340.086203189] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538340.078543283] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538340.082180238] [robot]: Action: a_navto
