 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-28-19-025542-9c72754b3397-1
trials-all-1  | [coordinator-2] [INFO] [1698539314.783654159] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698539314.789657077] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698539314.807215835] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698539314.815585720] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698539314.829412530] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698539314.839233394] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698539314.848848262] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698539314.857621141] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539314.866304022] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698539314.875120900] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539314.883585784] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698539314.892512661] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698539314.902355526] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539314.911250403] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698539314.919595288] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698539314.927518179] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698539314.940606999] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698539314.944131951] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539314.947980898] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698539314.961943705] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539314.970531587] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698539314.978365479] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539314.986954361] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539314.996416231] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539315.004866115] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698539315.018422928] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698539315.027429804] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539315.036106685] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539315.044858565] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539315.053786442] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698539315.066010274] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698539315.094777878] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698539315.104658742] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698539315.116092585] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698539315.126458442] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698539315.134915326] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698539315.145579179] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.155780039] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698539315.157763012] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698539315.162423948] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698539315.166419893] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698539315.165600904] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698539315.168853859] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698539315.179089718] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698539315.184899638] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698539315.189499575] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539315.193079526] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.184611642] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698539315.188622587] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539315.191976541] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698539315.189064581] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698539315.192802530] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698539315.198533451] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539315.211966266] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539315.217356192] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698539315.216172208] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698539315.221198139] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698539315.222366123] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.226973060] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698539315.230373013] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539315.247344780] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698539315.254648679] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539315.258893621] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539315.271566446] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698539315.275308395] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.279414338] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.289818195] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539315.294264134] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698539315.296384105] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698539315.283986276] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539315.303000014] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539315.307004959] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698539315.316831824] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539315.310822906] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539315.318513801] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539315.318645799] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698539315.333946588] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539315.338049532] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698539315.338492526] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539315.339199516] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.343020464] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539315.348786384] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539315.351398348] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539315.353391321] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698539315.359700234] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539315.365854150] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.381847930] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.385890874] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539315.389477825] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.387849847] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.391462797] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.393002776] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539315.420897392] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.425142334] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.422159375] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.426203319] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.431924241] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539315.436571177] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.437563163] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.450635983] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698539315.452367960] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698539315.452620956] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.454796926] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539315.468003745] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.468272741] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.474723652] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.477589613] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539315.487028483] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698539315.489799445] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698539315.494712377] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698539315.506643213] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.510915154] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539315.521451009] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.523368983] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.536806798] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.537748785] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.543223710] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698539315.548008644] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.550446611] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698539315.555284544] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.561410460] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539315.565377405] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698539315.565771400] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.566419391] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539315.570612333] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539315.578056231] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.583376158] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539315.592230036] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698539315.597886958] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539315.600080928] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.609910793] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.611748767] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.623246609] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698539315.626460565] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698539315.628162542] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.633302471] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.637984407] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539315.647606274] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.652354209] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.654899174] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.663380057] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539315.669116978] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.677574862] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539315.683583779] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698539315.688097717] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539315.696141607] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.697533588] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698539315.703608504] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539315.710037416] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698539315.716883321] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.720589270] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539315.717641311] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539315.721677255] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539315.728541161] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.737136043] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.741745979] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.755099796] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.759614734] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.757059769] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.760600720] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539315.766907633] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698539315.768497611] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.771439571] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.773957536] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539315.778809470] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.780729443] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539315.784240395] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698539315.783194409] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539315.784986385] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.788669334] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539315.800857166] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698539315.804376118] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539315.806699086] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539315.811818016] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539315.815367967] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539315.818881919] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698539315.820649894] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.824821837] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.829084778] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539315.835128695] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698539315.838096654] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698539315.838293652] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.845992546] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698539315.848566510] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.854532428] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539315.858225377] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.863429306] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539315.882118049] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539315.885819998] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539315.889196951] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539315.897528837] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539315.898319826] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539315.895085870] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539315.915403591] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539315.916968569] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.921482507] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.930522383] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539315.931625368] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539315.938750270] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.942426219] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.939849255] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539315.943796200] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698539315.956879020] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539315.961065963] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698539315.962843938] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539315.968666858] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539315.979378711] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698539315.980422697] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698539315.980801691] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539315.984760637] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539315.985526626] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698539315.993434518] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539315.996205480] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698539315.997906456] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698539316.005337354] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698539316.006894333] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.007067330] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539316.023208108] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.030755005] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698539316.040724868] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698539316.042208847] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.045310805] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539316.046346790] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539316.054221682] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539316.061229586] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698539316.063680552] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539316.064991534] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539316.068631484] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698539316.082013300] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698539316.088604210] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539316.098293076] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698539316.104127996] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698539316.104557990] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.110597907] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.114141859] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539316.129006654] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539316.135818561] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539316.140594495] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698539316.144301444] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698539316.153351320] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.157284266] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.156648274] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698539316.171919064] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698539316.180901941] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698539316.183325908] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.197001720] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.201025664] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539316.199289688] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698539316.212237510] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539316.217411439] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698539316.226586313] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698539316.228848282] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539316.234215208] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539316.240080128] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539316.251711968] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539316.255371917] [robot]: not ready
