 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-32-48-705801-64b1d0ff3c1d-1
trials-all-1  | [nurse-4] [INFO] [1698528784.946899147] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698528784.963049357] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698528784.967318413] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698528784.994945771] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698528785.016946056] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698528785.041503372] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698528785.046519437] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698528785.050656490] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698528785.065740684] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528785.069791736] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698528785.081135883] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528785.085968945] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698528785.104002177] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698528785.109052242] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528785.134852575] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698528785.139279632] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528785.159717895] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528785.170683036] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698528785.175774102] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.188685268] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698528785.193512330] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.213130583] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528785.219965671] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.239464922] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.244247984] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.263926237] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528785.268075291] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528785.273430360] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.291396591] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.310066832] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.315842906] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698528785.337344183] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528785.339079206] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528785.342528250] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698528785.343972269] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698528785.349725343] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528785.354058399] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528785.358056450] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528785.369411596] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528785.358137451] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698528785.365647548] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528785.366087554] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698528785.370168606] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698528785.367925577] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528785.373346647] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528785.375996681] [robot]: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698528785.386649819] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528785.394295917] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528785.401476010] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528785.400868002] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528785.415781194] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528785.421059262] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528785.430899389] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528785.436042455] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698528785.444972570] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528785.451442653] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528785.455429705] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528785.462126791] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528785.467799864] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528785.481629042] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528785.489755147] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528785.498156255] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528785.502647313] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.515236475] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.522054563] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528785.528135641] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528785.531144680] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698528785.533965716] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528785.536642751] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528785.541496813] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528785.545997871] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528785.555951000] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528785.558440032] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.567189144] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528785.569119169] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698528785.571510200] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528785.576796268] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528785.577092272] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528785.584184363] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528785.587032400] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528785.589036426] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528785.594770500] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528785.604216621] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528785.609654692] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.624590884] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528785.626745912] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.629980953] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528785.636138033] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528785.637863055] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528785.643131123] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528785.644975147] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528785.655971288] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528785.656602296] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528785.663143381] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.676820557] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.684646658] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528785.688961713] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528785.685192665] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528785.689379719] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.700268859] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528785.707170948] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698528785.710051985] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528785.715532056] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698528785.718123089] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698528785.726197193] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528785.727706212] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528785.737494338] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528785.741720393] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528785.740016371] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698528785.740448377] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528785.752853536] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528785.754192554] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698528785.754224554] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528785.757903601] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528785.758545610] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528785.758645611] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528785.770358762] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528785.783869936] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528785.787246979] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698528785.795310083] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528785.797942117] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528785.807650242] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528785.808567254] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698528785.809148262] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528785.812977311] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.825959478] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528785.830146532] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528785.833702578] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528785.834645590] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528785.839820657] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528785.843036698] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528785.847412755] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528785.848761772] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528785.855123854] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528785.856731875] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698528785.859338908] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528785.861734939] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528785.869567040] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528785.870765055] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528785.876891134] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.890722313] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528785.893243345] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528785.897182396] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528785.899057420] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528785.904090485] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528785.904990496] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698528785.905482503] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528785.909685557] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528785.909779558] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528785.911742583] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528785.916625646] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528785.920637698] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528785.927626788] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528785.933693866] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528785.933892869] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528785.943969999] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528785.947973050] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528785.943836997] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528785.947986050] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528785.959322196] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528785.962134233] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528785.963796254] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698528785.968562315] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528785.974141387] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528785.975166400] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528785.978781447] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528785.980560470] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528785.980996476] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528785.986074541] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698528785.991523611] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528785.994204646] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528785.999877719] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528786.000451726] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.014926911] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528786.016312929] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.020478982] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528786.030521111] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.038710216] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528786.039572227] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.045556303] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528786.053351403] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698528786.058498468] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528786.053816409] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528786.054717420] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528786.061292504] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528786.068642598] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528786.069434608] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.071730638] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.075680688] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.082523776] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528786.089103860] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698528786.085139809] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528786.093957922] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.100916011] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528786.108921113] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.115572198] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.121120269] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.122797290] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698528786.109633122] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698528786.124179308] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528786.110461133] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.117511223] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528786.121717277] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528786.125603326] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528786.128331361] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.132157410] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698528786.139971510] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698528786.148736622] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698528786.154484695] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528786.159204756] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528786.163981817] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.163983817] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528786.167228858] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.171243910] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.180933034] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528786.187008111] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.190126151] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.196607234] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698528786.206602362] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528786.207444372] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.212164433] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528786.220482539] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528786.221586553] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528786.227080623] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528786.229111649] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [environment-3] [INFO] [1698528786.231356678] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528786.232127688] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.245047853] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.245045853] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528786.258585026] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.263275086] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528786.267610141] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528786.275723245] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528786.277607269] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528786.279396292] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.282817336] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528786.284147353] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698528786.293345470] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.294558486] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698528786.298088531] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528786.306060633] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.311074697] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698528786.312893720] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.324502869] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528786.328111915] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698528786.340431072] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528786.349384187] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.358360302] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528786.366550406] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698528786.370503457] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698528786.373332493] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528786.374680510] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528786.383226619] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698528786.383266620] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528786.388508687] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528786.393065745] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528786.396014783] [robot]: success
