 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-13-02-021527-f449453863fa-1
trials-all-1  | [nurse-4] [INFO] [1698531198.150584315] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698531198.150944322] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698531198.159254472] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531198.182341889] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531198.197844169] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531198.202617255] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531198.206531325] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531198.225795673] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531198.243055985] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531198.249367099] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531198.255415208] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531198.275175565] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531198.281152673] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531198.288088798] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531198.308642169] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531198.314151269] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531198.324325452] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531198.330942572] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.335990663] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531198.353903986] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.358543070] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531198.373727344] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.378493430] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.383097513] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.397968782] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531198.402817869] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531198.419736175] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.424698265] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.440739554] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.445707644] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698531198.460379909] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698531198.467472037] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531198.473593147] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698531198.477358215] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531198.474541164] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531198.479288250] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698531198.476081192] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531198.480781277] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698531198.485566364] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531198.486894387] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531198.491302467] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531198.493216502] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698531198.494389523] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531198.498113590] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698531198.502012660] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531198.509545796] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531198.511223827] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531198.513348865] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531198.516012913] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531198.522558031] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531198.524688070] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531198.530735179] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698531198.537347298] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531198.540795361] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531198.549545519] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698531198.551410552] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531198.562948761] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531198.571035907] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531198.576822011] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531198.582820119] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531198.588805228] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531198.597205379] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531198.602296471] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.611919645] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.618527764] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531198.624305868] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531198.629971971] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531198.636774094] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531198.641239174] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.650306338] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.654458413] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531198.655613434] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698531198.658635488] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531198.662453557] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531198.670690706] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531198.676478810] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.687136003] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.696461171] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531198.705227330] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531198.713124472] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531198.722510642] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531198.730275782] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.745369054] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.752889190] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531198.760600329] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531198.768340469] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531198.777838641] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531198.785948787] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.799459031] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531198.803229099] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531198.807777181] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531198.818276371] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531198.818345372] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698531198.826720523] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531198.827260533] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531198.832422626] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531198.839358751] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531198.843586828] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531198.841723794] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531198.845692866] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531198.851630973] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698531198.860990142] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531198.865114216] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531198.869034287] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.877934448] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531198.881233507] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531198.882027522] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531198.888434637] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531198.893805734] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531198.898301816] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531198.895847771] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531198.900104848] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531198.898402817] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698531198.903150903] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698531198.907381980] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531198.916845150] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531198.920529217] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531198.926800330] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531198.928868367] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531198.932858439] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531198.934307466] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531198.938129535] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531198.943667635] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531198.944741654] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531198.952766799] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698531198.952977803] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531198.967573066] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531198.968802088] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531198.972850162] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531198.977152239] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531198.977230241] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531198.977230241] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531198.986250403] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531198.994251548] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698531198.994464552] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.003883722] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531199.008035797] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531199.006243764] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698531199.015556932] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531199.019156996] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.021817044] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698531199.024980101] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531199.029577184] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531199.029950190] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531199.034838278] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.035721294] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.045490470] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.050576561] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531199.051607580] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.056953676] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.062874782] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531199.070957927] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531199.080053091] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531199.080597101] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.097529405] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531199.099849447] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531199.100138452] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531199.105900555] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531199.106913574] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531199.118718786] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531199.123509872] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531199.107646587] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531199.124591891] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698531199.119018791] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531199.119866806] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531199.123745876] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531199.130947006] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.132151027] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531199.133354049] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698531199.142654216] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.142758218] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.143636234] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531199.154331426] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531199.158716505] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.167625665] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531199.170139710] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531199.176076817] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.177268838] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531199.183211945] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531199.186606006] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531199.190339073] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531199.191790099] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.199369235] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531199.191937102] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.204985336] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531199.205668349] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.212521472] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.213318486] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698531199.214201502] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531199.216033535] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.222044643] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531199.227191735] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531199.228767764] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531199.231939821] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531199.233996858] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531199.238346936] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531199.240909982] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531199.244862053] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.245856071] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698531199.255819250] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [environment-3] [INFO] [1698531199.260770339] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.266029433] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531199.268585479] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.274259581] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.279022667] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.281574713] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531199.285482783] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531199.291265887] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698531199.292311906] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531199.297691002] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531199.300138046] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.303815113] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531199.314007296] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531199.300257049] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531199.303717111] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531199.304063117] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531199.307804184] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531199.315563324] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698531199.311033242] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531199.315450322] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531199.317846365] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531199.323512467] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531199.324330481] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.329203569] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.339907761] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.345898869] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698531199.347866904] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.348001907] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531199.351136963] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.358709099] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531199.361357147] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531199.363985194] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531199.371805334] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531199.377209432] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531199.377598439] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531199.381451508] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531199.389579654] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531199.393400723] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698531199.378946463] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531199.382817532] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531199.384664566] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531199.388784640] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531199.392843713] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698531199.388963643] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531199.392786712] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531199.401304865] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.406179952] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.417298152] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531199.423960272] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531199.430267385] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531199.434123454] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531199.444536642] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531199.435355477] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531199.438023525] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531199.436775502] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531199.448944721] [robot]: Doing a_deposit
