 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-58-12-969545-9a74ea23f73c-1
trials-all-1  | [nurse-4] [INFO] [1698533908.830434017] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698533908.849463670] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698533908.860080477] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698533908.875769191] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698533908.880586103] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698533908.906102639] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698533908.910374561] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698533908.914233490] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698533908.928411232] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533908.949441849] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698533908.953802770] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533908.958105691] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698533908.970300469] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698533908.974867386] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533908.989752115] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698533908.994407030] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533909.011019728] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533909.022904511] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698533909.029282395] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.038936219] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698533909.053324957] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.058568862] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533909.073425591] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.077840511] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.082122433] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.097890146] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533909.102329065] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533909.116845800] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.121475716] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.146243265] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.151165175] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533909.167990869] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698533909.171001814] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533909.175350735] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698533909.172668784] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533909.176754709] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698533909.174824745] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533909.178995669] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698533909.183346589] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533909.181245628] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533909.188704492] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533909.184795563] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533909.188912488] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533909.194381388] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533909.192798417] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533909.196989341] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533909.199881288] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533909.200976268] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698533909.207433151] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533909.212423060] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.216910978] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533909.223626856] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533909.228625765] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698533909.230466731] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533909.232340697] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533909.237861597] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533909.242861505] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533909.247058429] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533909.251610346] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533909.259424204] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533909.264192117] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.268878032] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533909.277435876] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698533909.285153735] [coordinator]: Updating planner state
trials-all-1  | [nurse-4] [INFO] [1698533909.285673726] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533909.290574637] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533909.294740561] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698533909.291677616] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [planner-5] [INFO] [1698533909.295995538] [planner]: door_closed
trials-all-1  | [nurse-4] [INFO] [1698533909.298614490] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.312150244] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533909.318553127] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.319146116] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533909.321884066] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698533909.330415911] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698533909.334115844] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.334945828] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698533909.338162770] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [environment-3] [INFO] [1698533909.339324749] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698533909.347796594] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [arm-1] [INFO] [1698533909.359682378] [arm]: success
trials-all-1  | [planner-5] [INFO] [1698533909.362394329] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [arm-1] [INFO] [1698533909.366038262] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533909.376566070] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533909.377966045] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698533909.381115988] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533909.382752958] [environment]: Action: a_navto
trials-all-1  | [planner-5] [INFO] [1698533909.385925900] [planner]: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698533909.386521889] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698533909.391632796] [planner]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698533909.394802738] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533909.397941681] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698533909.399308656] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533909.405271548] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698533909.407921499] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698533909.410872446] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698533909.413857391] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533909.420898263] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698533909.421228257] [planner]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698533909.425466180] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533909.425532179] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698533909.426969153] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698533909.430755084] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533909.434843009] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698533909.434979007] [planner]: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698533909.436207984] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533909.438953934] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698533909.441472888] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698533909.446276801] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698533909.448931753] [planner]: a_open_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698533909.450850718] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698533909.454830645] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698533909.460053550] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698533909.463780482] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533909.467608412] [planner]: Sending response
trials-all-1  | [robot-6] [INFO] [1698533909.463991478] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698533909.465415452] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.472531323] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.479448197] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698533909.479627193] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.487519050] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.491380979] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698533909.491846971] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533909.492848953] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533909.497693864] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533909.498110857] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533909.500986804] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698533909.502980768] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.507031694] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533909.509574648] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533909.513586575] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.514870552] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698533909.518941477] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533909.522292416] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698533909.526038348] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533909.531548248] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533909.531665246] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533909.533513212] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533909.538276125] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698533909.538701118] [robot]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533909.542205054] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533909.548100946] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533909.551214890] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.555366814] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698533909.555457812] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.563945658] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698533909.566940603] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.572034511] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698533909.573268488] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533909.574354468] [robot]: Doing a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533909.577858404] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.585090273] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533909.585918258] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.587897222] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533909.591871149] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533909.592764133] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698533909.597157053] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.599156017] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.600721988] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533909.612940766] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698533909.614297741] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533909.620655625] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533909.621535609] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698533909.623839567] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533909.629131471] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698533909.629448465] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533909.631504427] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.633823385] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533909.634867366] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533909.639039290] [robot]: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698533909.639463283] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698533909.644307194] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698533909.645680169] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533909.649764095] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533909.651701060] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533909.657287958] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533909.658039944] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533909.662477863] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533909.670692714] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533909.676613606] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533909.679713550] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698533909.682105506] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533909.684490463] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533909.687213413] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533909.691953327] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533909.693011307] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533909.693025307] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533909.702279139] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533909.707534043] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.708557024] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533909.713436935] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533909.722384772] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.726044706] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533909.727884672] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533909.731691603] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.731129613] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533909.731283610] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533909.737668494] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533909.741727420] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533909.745904344] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533909.744708366] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533909.750076268] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.745904344] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533909.752236229] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533909.757638130] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533909.766856962] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698533909.774243828] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533909.775302809] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533909.780258718] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.782358680] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698533909.783508659] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533909.790895525] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533909.793354480] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533909.798917379] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533909.801150338] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533909.805085266] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533909.805325262] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.806485241] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698533909.815378079] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533909.818284026] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698533909.818320025] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533909.820220991] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533909.825875888] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533909.831343788] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.839053648] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698533909.841204608] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.843724563] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533909.849292461] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533909.854239371] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533909.858872287] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698533909.859298279] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.869558092] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533909.874776997] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533909.881225880] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533909.887182771] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533909.888624745] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533909.898719561] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533909.902717488] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533909.907550400] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533909.899198552] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533909.903116481] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533909.899258551] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698533909.907525401] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533909.913429293] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698533909.913793286] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533909.915291259] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533909.920847158] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533909.921050154] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533909.931085971] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [environment-3] [INFO] [1698533909.933401929] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698533909.933997918] [nurse]: not ready
