 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-10-46-153452-c150328173d6-1
trials-all-1  | [nurse-4] [INFO] [1698531062.370675151] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698531062.382341435] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698531062.395659759] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531062.399718858] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531062.419778346] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531062.430509607] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531062.440711855] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531062.451642121] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531062.461998372] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531062.472704633] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531062.483393893] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531062.494049152] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531062.504365403] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531062.514825657] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531062.524435891] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531062.534506136] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531062.547937463] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531062.553649601] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.571269030] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531062.576795164] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.594526596] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531062.600587743] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.605934873] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.623276295] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.628484422] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531062.645990847] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531062.651106972] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.656161095] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.662540250] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531062.670540444] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531062.689721911] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698531062.692238972] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531062.694013015] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531062.706080309] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698531062.707129334] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531062.714832522] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531062.718229604] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531062.715942549] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531062.720823667] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531062.724234750] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698531062.729926889] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531062.730603905] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698531062.731388924] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698531062.742235188] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531062.743852227] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698531062.747535317] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531062.754146478] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698531062.758795591] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531062.761787664] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531062.765193747] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698531062.768650831] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531062.770064865] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531062.774943984] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531062.782368164] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531062.788568315] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531062.794813467] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531062.800323601] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531062.806126742] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531062.819339063] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531062.819355064] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698531062.826699242] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.839971565] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.847749754] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531062.853490894] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531062.858555017] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531062.865597188] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531062.872731362] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.882489599] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.888017734] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531062.893327863] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531062.898481988] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531062.906988195] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531062.911743311] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.922852581] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.928677723] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531062.934900874] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531062.940760017] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531062.949440228] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531062.955505375] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.966002630] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531062.972360785] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531062.978820942] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531062.985130096] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531062.993560301] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531062.999735451] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.010506712] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.017098872] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531063.023611030] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531063.030384194] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.038133381] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531063.043736517] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.054741784] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531063.058380872] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531063.063315991] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531063.069903151] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531063.075807294] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.082654460] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531063.087767584] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.098264838] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.106456037] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531063.112984195] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531063.120090367] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.127644550] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531063.133520692] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.142289905] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531063.142578912] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531063.150370100] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531063.154896210] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.155132216] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698531063.159177314] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.163077408] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531063.165181459] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.179572808] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531063.184515927] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531063.190204065] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.195673198] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.203265382] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531063.207802492] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.208357505] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.218584753] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.221273818] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531063.223793879] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531063.228831001] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.229376014] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531063.234791145] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531063.235590165] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.243539357] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531063.250420524] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.260607771] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.270072000] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531063.275498132] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531063.278464203] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.283850334] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531063.286780405] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698531063.295128607] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698531063.295682620] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531063.300436736] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.314162068] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531063.318030162] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698531063.318486173] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531063.322097260] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698531063.329540441] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.336396607] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.345193820] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.346702856] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531063.347354872] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.348813908] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698531063.356907104] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.359334162] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531063.372060471] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531063.372927492] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531063.373167498] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531063.380146667] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531063.381142691] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698531063.388165861] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.394267009] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531063.399661139] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531063.405605283] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531063.413524475] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698531063.415287518] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531063.419192613] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.415410521] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.419428618] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531063.427075803] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.431833919] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531063.431019899] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531063.431577913] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531063.434994995] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531063.435433006] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531063.436253026] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531063.444577227] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.451013383] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531063.458736570] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.460645617] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.469868840] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.474191945] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531063.476432999] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.489052305] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531063.493935423] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.495399459] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.503053644] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531063.498649537] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698531063.503008643] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.503578657] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698531063.506598730] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531063.506945738] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.514810929] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531063.522945126] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531063.535583432] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531063.543562625] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531063.547018709] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.546995709] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531063.551759824] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531063.556367936] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531063.557022951] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531063.560532036] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531063.561717065] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531063.562538085] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698531063.571904312] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.582991581] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.589372735] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531063.590906772] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.590997774] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531063.596653911] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531063.596888917] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.597354928] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.606820158] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.613938330] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531063.617957428] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.607425172] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.614317339] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.618469440] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698531063.621662517] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.622174530] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531063.626899644] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531063.632381777] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531063.644623074] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.653218282] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.655724342] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531063.664281550] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.672383746] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.686936099] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.687686117] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698531063.692929244] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531063.696518331] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531063.699121394] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531063.701423450] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531063.702761482] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531063.708734627] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.709412643] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698531063.719866896] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698531063.726125048] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531063.727230075] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531063.733905236] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531063.735061264] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531063.738827356] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531063.745572519] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531063.752201680] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531063.757417806] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531063.766031015] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531063.771261141] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531063.766283021] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531063.770452122] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531063.782470413] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531063.772316167] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531063.774654224] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531063.779172333] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531063.783071427] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698531063.780546366] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.784032451] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531063.786236504] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531063.794726710] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531063.796701758] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531063.801931884] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531063.801931884] [arm]: Doing a_pick_up_sample
