 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-37-23-578111-e1c80603563a-1
trials-all-1  | [nurse-4] [INFO] [1698529060.069177643] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698529060.078591005] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698529060.087448346] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529060.093239569] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529060.123999752] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529060.133586121] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529060.146190606] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529060.164674317] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529060.184050062] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529060.193846439] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529060.213554197] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529060.222457540] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529060.231046870] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529060.248711550] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529060.257021869] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529060.276991638] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529060.297358421] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529060.301499580] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.308174837] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529060.312409000] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.315874133] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529060.319599277] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.323413423] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.327894596] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.331324728] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529060.335883903] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529060.339983061] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.343729205] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.347697358] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.352068526] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529060.370433232] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698529060.373221340] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529060.374698396] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529060.379293573] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698529060.384421770] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698529060.388559930] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529060.388591931] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529060.392443079] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529060.393635125] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529060.394627163] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698529060.403006485] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.406335613] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698529060.408998716] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529060.409546737] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.411762822] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.414574930] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529060.412236840] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529060.420825171] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698529060.424829325] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529060.430264534] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698529060.432296612] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529060.436661780] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529060.442270996] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529060.447409193] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529060.454201455] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529060.459915675] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529060.464858865] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529060.470024063] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529060.479609432] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529060.486511698] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.499134183] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.504446388] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529060.509018564] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529060.510245611] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529060.513295728] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.524639164] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529060.532527468] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.541696821] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.546028987] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529060.550270150] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529060.555076335] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.565414733] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529060.566631780] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698529060.573172031] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.583725437] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.588478620] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529060.592624780] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529060.596680936] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529060.604750246] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529060.604750246] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529060.609243419] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.621151877] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529060.621709899] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529060.634713399] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529060.638966563] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529060.643235727] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.653219111] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529060.665934600] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698529060.674405926] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698529060.681082183] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529060.685248343] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529060.689961524] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529060.687466428] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698529060.703216034] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529060.711295345] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529060.716130531] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529060.716799557] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698529060.718203611] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698529060.724413850] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529060.724541855] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529060.729575048] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529060.743634589] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698529060.750129839] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529060.750129839] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529060.754807019] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.762616319] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529060.762798326] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529060.767844520] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529060.768509546] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529060.780593011] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529060.780689015] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529060.786693246] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.789614358] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529060.800283768] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.800392773] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529060.804904946] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529060.805538970] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529060.806317000] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529060.811912216] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529060.821099569] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529060.821413581] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529060.826677784] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698529060.834289076] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529060.837344194] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529060.845862522] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529060.849625666] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.850610704] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.853249806] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529060.854958872] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529060.861997142] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529060.868285384] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529060.881082877] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529060.885138033] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529060.885072030] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529060.889486200] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529060.892923332] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529060.897512509] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529060.904905793] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529060.907262884] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.912158072] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529060.919609359] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.920748403] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529060.924808559] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529060.929916755] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529060.935470969] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529060.940687170] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529060.942761249] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698529060.946131379] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529060.957952834] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529060.960607936] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529060.963747057] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529060.972905409] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529060.972907409] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529060.977355580] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529060.982392774] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529060.986031914] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529060.987783981] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529060.990630091] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.001994528] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529061.002279539] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529061.008726786] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.009637821] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.016474083] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698529061.029001563] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529061.035277804] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529061.039330959] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529061.041121028] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529061.048199299] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529061.050081371] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529061.053092486] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529061.056399613] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529061.063174873] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529061.070921170] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [environment-3] [INFO] [1698529061.064058907] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.069195104] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.073266260] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.083950669] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529061.082373609] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.086595770] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529061.088219833] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529061.090192908] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.098854240] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529061.100139289] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.106034515] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529061.108692617] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698529061.116484916] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529061.121444106] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529061.124099208] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529061.130821465] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698529061.128312369] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698529061.130965471] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529061.136229673] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.145907043] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698529061.153744344] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.157741497] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.161138627] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529061.166688840] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.181049390] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698529061.170026968] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529061.171843037] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529061.175382173] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529061.179130317] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698529061.175946195] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.180894384] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529061.184885537] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.185267552] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529061.198871073] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.199928114] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529061.205180315] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529061.220633907] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529061.223189005] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529061.233535402] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529061.235882492] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.255278235] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529061.258556360] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.271748866] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529061.282175266] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529061.285120378] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529061.293392695] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529061.296161802] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529061.300287960] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.299055913] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529061.308642280] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529061.309429310] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529061.312514428] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529061.315140529] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529061.320562737] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698529061.322512811] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529061.326804976] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698529061.328137027] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529061.348048790] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.348271799] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698529061.362576347] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529061.369980631] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529061.371622694] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529061.376756890] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529061.379549997] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529061.387043284] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529061.392281485] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529061.392340487] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.405145978] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529061.410660190] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529061.414379332] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529061.414689344] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.420817579] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529061.422446641] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529061.429862925] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698529061.433618069] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529061.439955312] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529061.441907387] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529061.445243515] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529061.450690724] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529061.458599027] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698529061.463708223] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529061.473749607] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529061.478660796] [robot]: Doing a_close_drawer
