 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-20-59-05-909941-89636c7e4409-1
trials-all-1  | [coordinator-2] [INFO] [1698526762.282458593] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698526762.294754452] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698526762.308329297] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698526762.322769131] [coordinator]: Sending response
trials-all-1  | [planner-5] [INFO] [1698526762.328400067] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698526762.347786845] [planner]: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698526762.350372815] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698526762.360456700] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698526762.370857581] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698526762.382207451] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526762.393152326] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698526762.403792204] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526762.414339083] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698526762.424982961] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698526762.436113834] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526762.446593714] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698526762.457834585] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698526762.467613473] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698526762.483209294] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698526762.487169249] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.502804070] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698526762.514583935] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.526322801] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698526762.538543661] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.551864508] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.567823326] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.585663121] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698526762.601272943] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698526762.618849741] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.631702594] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.646846421] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526762.664481219] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698526762.685485978] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698526762.695156868] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698526762.695703861] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698526762.708823711] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698526762.713482658] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698526762.719192592] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698526762.718721598] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526762.723220546] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526762.728529485] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526762.739711357] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698526762.745475291] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698526762.750786231] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526762.755274179] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526762.758691140] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698526762.761887104] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698526762.773491971] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698526762.772885978] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698526762.779090907] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698526762.785366835] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526762.788098803] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698526762.792768750] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526762.796883703] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698526762.813212516] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526762.826474364] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526762.835246264] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526762.844509157] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698526762.853273057] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698526762.862310954] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698526762.864615927] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526762.869682869] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526762.882564722] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698526762.881601733] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526762.891914615] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526762.893616595] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698526762.895561573] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698526762.906595447] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698526762.911004396] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526762.916287336] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698526762.912294381] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526762.918179314] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526762.932487150] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698526762.943065029] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698526762.943163028] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698526762.947871974] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526762.953191913] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698526762.961664816] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698526762.962490807] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526762.971506703] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526762.971542703] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698526762.977225638] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698526762.982741575] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698526762.986514532] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698526762.986828528] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526762.990511486] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526762.994874436] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698526763.012709230] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.029863030] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526763.033787985] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698526763.040251909] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698526763.043730869] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.048701811] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.059808682] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526763.066980598] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526763.071841542] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.073429523] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.087317362] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526763.091113318] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.089442337] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.093399291] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526763.101885192] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526763.115513034] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526763.117626009] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.126952901] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698526763.131780844] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.135061806] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526763.138577765] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.141569731] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.150598625] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526763.154535580] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.143825704] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526763.151605614] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.155382570] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526763.162030492] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.178746298] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526763.187272199] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526763.180001283] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.184425232] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526763.181366267] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.191479150] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.197001086] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698526763.201178037] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526763.199574056] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.205048992] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.206992969] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526763.211102921] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.211326919] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526763.214445883] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698526763.229708705] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698526763.240105584] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.240976574] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526763.243492545] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698526763.244184536] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526763.249849471] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.250138467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.254983411] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.255433406] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.269011248] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698526763.269581241] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.281552102] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.285780052] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.295964934] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526763.301968864] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.307899795] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.312959736] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698526763.315886702] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526763.316022701] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.327725564] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526763.333779494] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.334493486] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.339907423] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.349692309] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526763.350146303] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.360540183] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526763.360796180] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.365734122] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526763.371588054] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.379592961] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698526763.385937887] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.388310859] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698526763.396473764] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698526763.407163640] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698526763.411084594] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526763.412879574] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526763.415865539] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698526763.420566484] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526763.422964456] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526763.424445439] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.434827318] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.436900294] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698526763.445858190] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.452246115] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.458061048] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698526763.463120989] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526763.470204906] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.475347847] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.485048734] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.489044687] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698526763.488437694] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.492553646] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698526763.496185604] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698526763.501140547] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526763.504278510] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698526763.506371486] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698526763.509720447] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.519739330] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.523080291] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.518834341] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.522341300] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698526763.530637203] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526763.536648133] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698526763.531019199] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.537400125] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526763.534577157] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526763.545039036] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698526763.545848026] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.554386927] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698526763.561545844] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698526763.572158720] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526763.574061698] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.578019652] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698526763.588378531] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.595943443] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526763.598379415] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.601490379] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698526763.603420356] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.606874316] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698526763.610914269] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698526763.615747213] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.625016105] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526763.624902106] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698526763.616798201] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698526763.630706039] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698526763.635781980] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698526763.638068953] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698526763.643533890] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.650066814] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.650502809] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698526763.661651679] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698526763.671107569] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.678744480] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698526763.682800433] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526763.688484367] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.702350205] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.703065197] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698526763.708169138] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.708264136] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698526763.711042104] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526763.717370030] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698526763.717772026] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.724471948] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698526763.734961826] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.735071824] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698526763.737517796] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698526763.747887675] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698526763.752288624] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698526763.753490610] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.760505529] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698526763.769661422] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698526763.782860268] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.794062138] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698526763.794400134] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.800515063] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698526763.811444936] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698526763.817125870] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698526763.820843826] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698526763.818029859] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698526763.821912814] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698526763.832847687] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698526763.837673631] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698526763.845702537] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698526763.855047428] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698526763.861477354] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698526763.866439296] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698526763.875322193] [arm]: Action: a_pick_up_sample
