 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-47-05-742740-783fe770ee6d-1
trials-all-1  | [nurse-4] [INFO] [1698533241.777124083] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698533241.788334961] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698533241.804082790] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698533241.820554611] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698533241.849325299] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698533241.857813207] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698533241.865201127] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698533241.884141922] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533241.891755839] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698533241.899053760] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533241.917987554] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698533241.926646460] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698533241.944373268] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533241.953108173] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698533241.972530963] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533241.977329911] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533241.999283673] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698533242.007531583] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.028498355] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698533242.049461128] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.057972035] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533242.064989959] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.072154881] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.080650789] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.091489671] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533242.112290445] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533242.120980351] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.128534269] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.136499182] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.143641105] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533242.154244990] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698533242.161985905] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533242.163417890] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533242.166930852] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698533242.169238827] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.172581790] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533242.179571714] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698533242.179787712] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.183380673] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698533242.187178632] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.191302587] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533242.195197545] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533242.198939504] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698533242.191027590] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698533242.195006547] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.198881505] [nurse]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533242.197796517] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698533242.202030471] [coordinator]: Updating planner state
trials-all-1  | [arm-1] [INFO] [1698533242.202985460] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698533242.203392456] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533242.209309391] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533242.212869353] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533242.216451314] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533242.208190404] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698533242.211761365] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533242.222288251] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533242.210597378] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.222124252] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698533242.222450249] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [arm-1] [INFO] [1698533242.226305207] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533242.233718126] [arm]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698533242.239705061] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698533242.252293925] [robot]: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698533242.253721909] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698533242.258250860] [coordinator]: Planing
trials-all-1  | [environment-3] [INFO] [1698533242.266156774] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698533242.272790702] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533242.283263588] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698533242.285442565] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698533242.289661519] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698533242.294118470] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [nurse-4] [INFO] [1698533242.296070449] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533242.306479336] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698533242.307628324] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698533242.311293284] [planner]: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698533242.313447260] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533242.314071254] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698533242.317098221] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698533242.320898180] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533242.324886136] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698533242.328501097] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533242.332852050] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [planner-5] [INFO] [1698533242.338165992] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698533242.342258948] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698533242.333486043] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.340737964] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533242.345006918] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533242.345006918] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698533242.349575868] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533242.360439750] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698533242.363951712] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533242.367555673] [planner]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698533242.361186742] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533242.364644704] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533242.364296708] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533242.368742660] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533242.372625618] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.377937560] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533242.377068569] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698533242.385001483] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698533242.386915463] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533242.388201449] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533242.393274393] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698533242.394038385] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533242.404979266] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698533242.409864213] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533242.413668172] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698533242.415352154] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698533242.421586086] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698533242.435031940] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698533242.446535815] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698533242.446673813] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.451940756] [robot]: Doing a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533242.455326720] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698533242.470174558] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533242.470753552] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533242.475788497] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698533242.476767487] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533242.486318383] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698533242.490993332] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698533242.493072310] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533242.494052299] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.506532163] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533242.507027158] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533242.510650119] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533242.513910083] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533242.519261025] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533242.521093005] [coordinator]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698533242.521873997] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698533242.531707890] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533242.537654825] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698533242.541114788] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533242.545434741] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533242.541940779] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533242.543686760] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533242.548136712] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698533242.552177668] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698533242.553723651] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533242.557490610] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533242.557997604] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533242.546002735] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698533242.566633511] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533242.572852443] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533242.575464415] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533242.576530403] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533242.580066365] [coordinator]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698533242.582568338] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533242.586539294] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.590914247] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533242.591437241] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698533242.595387198] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533242.600271145] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533242.610119038] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698533242.614006996] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.624212885] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698533242.629990823] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533242.634902769] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533242.642629685] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698533242.643866672] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533242.648143625] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533242.649298613] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.649298613] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698533242.653508567] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533242.660814488] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533242.660979486] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533242.662375471] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.665793434] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698533242.667510415] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698533242.671152375] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698533242.673325352] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698533242.675759325] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.676688315] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533242.680968269] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533242.681295265] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533242.681456264] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698533242.684880226] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533242.690660164] [arm]: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533242.692818140] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533242.698050083] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533242.698320080] [nurse]: a_open_door
trials-all-1  | [environment-3] [INFO] [1698533242.702483035] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533242.706956987] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.705411003] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533242.712104931] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533242.715591893] [robot]: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698533242.715604893] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533242.731665718] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533242.736196669] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.741430612] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533242.748710533] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698533242.757684436] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.757811434] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533242.763496373] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533242.771856282] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533242.776817228] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533242.779598198] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698533242.786591122] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698533242.790136083] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533242.794188039] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.800461971] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.791580067] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533242.795374026] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533242.795172028] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533242.805079921] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533242.808575883] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533242.808335886] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533242.812483840] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533242.814921814] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533242.823893717] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698533242.823956716] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698533242.828696664] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698533242.835351592] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533242.836521579] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698533242.841684523] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533242.842948510] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533242.848854445] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.854659382] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533242.860000324] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533242.869972216] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533242.870888206] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533242.876997140] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533242.887855022] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533242.894870946] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698533242.896404929] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533242.899505895] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533242.912809751] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698533242.915781719] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.921481657] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698533242.931664546] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698533242.933654524] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698533242.936117498] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533242.938185475] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533242.945488396] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698533242.949945347] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533242.956952271] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533242.961702220] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533242.976684057] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533242.980792012] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533242.988261931] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533242.992464886] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533242.989368919] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.000821795] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.008920707] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533243.014606645] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.025778524] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533243.032885446] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533243.038441386] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533243.043429332] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533243.051232247] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533243.057681177] [robot]: not ready
