 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-52-48-931489-90b1993b550f-1
trials-all-1  | [coordinator-2] [INFO] [1698537185.607322432] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.624771207] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.629548419] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.634168624] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537185.649856321] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537185.654763539] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.672692335] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.677174534] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537185.692146198] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537185.700739580] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698537185.706318827] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537185.707714889] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537185.708836939] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537185.714512191] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698537185.715075216] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537185.720511458] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698537185.720603462] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537185.721010480] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698537185.723488590] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537185.726487723] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537185.728524813] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537185.735911141] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537185.736977189] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537185.737997234] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537185.743633484] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537185.747248645] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698537185.745659574] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537185.753119905] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537185.753189908] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537185.758531145] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698537185.758856160] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537185.787264421] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698537185.788254465] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537185.795141771] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537185.799232952] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537185.803508142] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537185.807676327] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537185.812439539] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537185.817053744] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537185.824634080] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537185.829305287] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537185.844319954] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537185.851831288] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537185.858386579] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537185.865594899] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537185.872978226] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537185.877499427] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537185.902317529] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537185.906145699] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537185.913341018] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537185.917821217] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537185.925858574] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537185.932175854] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537185.937360085] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698537185.942840328] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537185.947764547] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537185.952413753] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537185.956560937] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537185.965223322] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537185.971365594] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537185.983101115] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537185.987547313] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537185.991860504] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537185.992465531] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537186.001445930] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698537186.006259143] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537186.014247497] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.014255497] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698537186.017926660] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537186.019132713] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537186.022242851] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.032965326] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537186.041032683] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537186.041218691] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.047992991] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.050529104] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.057011391] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.057244401] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.063959699] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.068615905] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698537186.086694705] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537186.087969762] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537186.091106901] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.097247173] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537186.100420313] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537186.106300574] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537186.110966780] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.112924867] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.114230925] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537186.117197056] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537186.120063183] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537186.127659520] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537186.131827704] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698537186.121668254] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537186.129795614] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.129153586] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537186.132862750] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.144095248] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.148537444] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537186.147515399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.151487575] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.155564756] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537186.160562977] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.160741985] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.169203360] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537186.179681824] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537186.182583952] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537186.183972014] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537186.187368164] [robot]: Doing a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.190707312] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.194845495] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537186.201472789] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537186.203129862] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.214099348] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.199168687] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.221380670] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698537186.229549032] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537186.231572122] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537186.233521208] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537186.236845355] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.237540386] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.241672569] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537186.256663233] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.259374353] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537186.264973601] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698537186.268725767] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.271764902] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537186.274186009] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.277896173] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537186.285213497] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.299898148] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537186.305172381] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.305471395] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537186.304855367] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698537186.317220915] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.317364921] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537186.320887077] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537186.326542328] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.338102840] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.348506300] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537186.352973498] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698537186.360043811] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.364018988] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.362756932] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.375421492] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.378262618] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.380817731] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.380891735] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.382646812] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537186.387302019] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537186.393476292] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537186.400289594] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698537186.401019626] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.405222812] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537186.407230901] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.407787926] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537186.412905153] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.418437398] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537186.424194653] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698537186.433555067] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.436254187] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537186.437960262] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698537186.438966307] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537186.442056444] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.442130447] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.446094622] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537186.454285985] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537186.457040107] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537186.459049196] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537186.462439346] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537186.475176910] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537186.476717979] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537186.477277003] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.477855029] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537186.483352273] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698537186.491249622] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537186.494994788] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537186.492167663] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537186.493702731] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537186.498913962] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537186.499184974] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698537186.503725175] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.507041322] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698537186.511203506] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.512615569] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537186.516725751] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.516905759] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537186.522842021] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537186.530024340] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537186.533882510] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.528677280] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537186.532579453] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537186.530462359] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537186.534214525] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537186.543354930] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [environment-3] [INFO] [1698537186.544126964] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537186.553414375] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537186.557295547] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537186.560952709] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.554578427] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537186.558650607] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537186.564339859] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698537186.563904840] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537186.565215898] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698537186.569385083] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.569472087] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537186.574288300] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537186.581542621] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698537186.584752763] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537186.588169915] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.589069955] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537186.591687070] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698537186.593618156] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537186.605962703] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698537186.610481903] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537186.610729914] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537186.613588040] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698537186.621252380] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537186.615015104] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537186.624314515] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [environment-3] [INFO] [1698537186.634464965] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537186.636313047] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537186.637849115] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537186.647074523] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698537186.653053788] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537186.667708437] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537186.672384644] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698537186.672975671] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537186.684151165] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537186.688603363] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537186.689439400] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537186.689617408] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537186.694784636] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537186.698261790] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537186.707575203] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537186.707832214] [arm]: Doing a_pick_up_sample
