 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-04-38-190572-cbffe901c557-1
trials-all-1  | [coordinator-2] [INFO] [1698537893.895701775] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537893.905359895] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537893.919246068] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698537893.927910175] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698537893.942320355] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [nurse-4] [INFO] [1698537893.944846386] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698537893.951244465] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698537893.961609594] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698537893.966271652] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698537893.970680707] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537893.975564768] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537893.979734820] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698537893.983450866] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537893.987077911] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698537893.993422990] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698537893.999156061] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537894.005526140] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698537894.010636204] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537894.015463263] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537894.024367374] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698537894.027894417] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.031455462] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537894.037746540] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.044228620] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537894.048577674] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.053465734] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.057360783] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.060936827] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537894.064942877] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537894.069079928] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.073664985] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.078396043] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.082448094] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537894.092044213] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698537894.104691369] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537894.109935434] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698537894.113728481] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537894.116248513] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698537894.121313575] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537894.129227673] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537894.134981745] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537894.140482813] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537894.132271711] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698537894.139018795] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537894.143078845] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698537894.132560715] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537894.144493863] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698537894.149358923] [coordinator]: Updating planner state
trials-all-1  | [environment-3] [INFO] [1698537894.150987943] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537894.152888967] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537894.162663088] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698537894.175049241] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.182563334] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537894.184229355] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [environment-3] [INFO] [1698537894.185889376] [environment]: Action: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698537894.195426494] [planner]: door_closed
trials-all-1  | [environment-3] [INFO] [1698537894.199986550] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537894.202734584] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537894.210209677] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537894.210589682] [coordinator]: Planner state updated
trials-all-1  | [arm-1] [INFO] [1698537894.210914686] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698537894.214570731] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698537894.218379778] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.228469903] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698537894.228606905] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537894.240731055] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537894.246083122] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537894.246098122] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698537894.250302174] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698537894.252039195] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537894.254851230] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698537894.256656253] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [environment-3] [INFO] [1698537894.257139259] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537894.259117283] [robot]: a_navto
trials-all-1  | [planner-5] [INFO] [1698537894.264282347] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.269348410] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537894.278694526] [robot]: a_open_drawer
trials-all-1  | [planner-5] [INFO] [1698537894.281127556] [planner]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537894.285320608] [robot]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698537894.286870627] [planner]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.293678712] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698537894.294196718] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537894.299514784] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537894.306921876] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.309203904] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537894.312523945] [planner]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.314505970] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698537894.318298017] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698537894.325376104] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698537894.325430105] [planner]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698537894.327711133] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537894.330139163] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698537894.331170176] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537894.333964211] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698537894.339124275] [planner]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698537894.344373340] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537894.345101349] [arm]: not ready
trials-all-1  | [planner-5] [INFO] [1698537894.346227363] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698537894.352160436] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537894.352455440] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537894.352643442] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537894.359952533] [planner]: Sending response
trials-all-1  | [arm-1] [INFO] [1698537894.366125609] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537894.370344662] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [arm-1] [INFO] [1698537894.373193697] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537894.375813729] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.379580776] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698537894.381858804] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537894.387182870] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537894.392523937] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.396833990] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537894.397440998] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.401704050] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537894.409512147] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698537894.409599148] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537894.419568272] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537894.421915301] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537894.423478320] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.425799349] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.437654496] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537894.437680496] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698537894.439058513] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537894.443901573] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698537894.445187589] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537894.452946685] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.458146750] [robot]: Doing a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537894.453303690] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698537894.448653632] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537894.459390765] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698537894.459390765] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537894.464651830] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537894.464765832] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537894.465412840] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698537894.474000946] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537894.480845031] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.485679091] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537894.486409100] [environment]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537894.490848155] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537894.500034269] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698537894.503592313] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537894.504177320] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537894.508496374] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698537894.509319384] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698537894.514028442] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537894.514170444] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.524061567] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537894.527401608] [coordinator]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698537894.530157642] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537894.530834651] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698537894.535129704] [coordinator]: Sending plans
trials-all-1  | [arm-1] [INFO] [1698537894.538632747] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537894.547136853] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537894.548039864] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537894.556020963] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537894.556088964] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537894.561516031] [arm]: Arm's actions:
trials-all-1  | [coordinator-2] [INFO] [1698537894.580329264] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698537894.580683269] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537894.584470315] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698537894.586128336] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537894.587998359] [arm]: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698537894.594108435] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698537894.596329462] [arm]: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537894.599931507] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537894.600406513] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537894.602301536] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698537894.608669615] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.609286623] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.613764679] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.616251709] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.618954743] [robot]: a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537894.619680752] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698537894.622223783] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537894.622339785] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537894.625314822] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537894.630279883] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698537894.632696913] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698537894.637002967] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698537894.640264007] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537894.646155080] [robot]: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698537894.655066190] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537894.659986251] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537894.664901312] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537894.669770373] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537894.681791522] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537894.687000586] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537894.698119724] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537894.704445802] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537894.712637904] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537894.716161948] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537894.717773968] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537894.720332999] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537894.722079021] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.733669165] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.744603300] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.752320396] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537894.750612375] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698537894.760644499] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.767072579] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.779849737] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.789045851] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.802310015] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.810591118] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537894.818929221] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.826595316] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.838452463] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.844666540] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.854960668] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.861857753] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537894.868824840] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.873940903] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.882518009] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.888469083] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.898611209] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.904864286] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537894.910757359] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.916585432] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.923805521] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.929328590] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.939230712] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.947168811] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537894.950916857] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537894.954931907] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537894.962216997] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537894.967375061] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537894.971920117] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537894.982418247] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537894.989419334] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537894.994486397] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537895.000233468] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.005301531] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.012901625] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537895.018397693] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.028316815] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.032485867] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537895.036361915] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.039940959] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.047571053] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537895.051781105] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.061985231] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537895.067553300] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537895.073430373] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537895.079009442] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537895.087067541] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537895.094149629] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537895.097542671] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698537895.102146727] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698537895.102532732] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698537895.106502781] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537895.113738871] [nurse]: Action result: False
