 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-08-33-891807-12273f32b1a0-1
trials-all-1  | [coordinator-2] [INFO] [1698541729.907229182] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698541729.919118148] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541729.933508897] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698541729.934717792] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698541729.944642930] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698541729.956267919] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698541729.965608107] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698541729.980926776] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698541729.991424863] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698541730.001963947] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541730.010471208] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541730.019276444] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698541730.028490645] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541730.038248798] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698541730.048439914] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698541730.058133073] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541730.067509259] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541730.076762456] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541730.087079561] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541730.101689293] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698541730.113121301] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.123394410] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541730.134136478] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.145243514] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541730.154327726] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.163707912] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.174025017] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.183708176] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541730.194511239] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541730.203625448] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.214527502] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.224025678] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541730.233493856] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541730.244726882] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698541730.253387130] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541730.255620936] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541730.258038727] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698541730.260420520] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541730.262198366] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698541730.265036119] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698541730.268001862] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541730.272360484] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541730.278117984] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.282203630] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698541730.275026252] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698541730.279183892] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541730.282999561] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541730.281889657] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.285859312] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541730.286403265] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541730.296365401] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541730.300232065] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541730.305630597] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698541730.308003391] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541730.310888141] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541730.317196593] [robot]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541730.318691464] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.322851103] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698541730.323430052] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541730.328104647] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541730.328103647] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541730.333773155] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541730.354147387] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541730.357723077] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698541730.362554657] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541730.369528052] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541730.379004230] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541730.382932889] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541730.379431193] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.383566834] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541730.389748298] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541730.397605616] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698541730.398065576] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.406734824] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541730.409393593] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698541730.413913201] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541730.413977195] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698541730.417837860] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541730.424717264] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.431278694] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541730.437563149] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541730.441149838] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541730.431833646] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698541730.436961201] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541730.440402902] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541730.446017415] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698541730.447128319] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541730.456767482] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541730.464298829] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.466737617] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.475649844] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.479883477] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541730.487323831] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541730.496987992] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541730.502496515] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.503932390] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541730.513637548] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541730.516022341] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541730.519260060] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541730.519753017] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.529143202] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.533670809] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541730.534953698] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541730.540388227] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698541730.541275150] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698541730.544688853] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.551113296] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541730.551327277] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541730.556808802] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541730.559343582] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541730.566266981] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698541730.568893753] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541730.580265766] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541730.585333327] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.589737944] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541730.594001574] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.601566918] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541730.606129522] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541730.607539400] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698541730.611132088] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541730.611691040] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541730.618304466] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541730.623026056] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541730.629904459] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541730.631910285] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.636537884] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541730.637630789] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541730.642911331] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541730.648317861] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541730.649030800] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541730.654278344] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541730.654462328] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541730.659302908] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.668977069] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541730.669304040] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698541730.673663662] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541730.683922772] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541730.689371299] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541730.693894907] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.697077630] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541730.707637714] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.713282224] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541730.713398214] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541730.717583851] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698541730.718437777] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541730.726377088] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541730.730535727] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698541730.731156673] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541730.740056901] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698541730.744647503] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541730.746533339] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541730.748889135] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.759254235] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541730.761595032] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541730.765828665] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541730.772263106] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.775563820] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541730.781524303] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541730.786149901] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541730.797701899] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541730.800970615] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541730.805439228] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541730.808108996] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541730.815183382] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541730.816869236] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541730.819575001] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541730.826854369] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541730.828406235] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541730.831274986] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541730.840071223] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698541730.842079048] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541730.844929801] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541730.848826463] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698541730.853873025] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541730.857340724] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541730.858366635] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541730.866749908] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541730.871449500] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541730.876123094] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541730.883777430] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541730.890862815] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541730.895193440] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.900506979] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541730.905720526] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541730.914938726] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541730.917591496] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541730.922171099] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541730.925016852] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698541730.931529287] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541730.936354868] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541730.938250703] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541730.943404256] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541730.948114848] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541730.948448819] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698541730.955245229] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541730.959509859] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541730.963731492] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541730.969001035] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541730.969007035] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698541730.973387655] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541730.984127723] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541730.985651590] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541730.988595335] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541730.996855618] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541731.000048341] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698541731.004032995] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541731.007751673] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541731.010817408] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541731.017697812] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541731.028768853] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698541731.032120563] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541731.035942232] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698541731.040284855] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541731.044044530] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541731.049235080] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698541731.053243733] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541731.054464627] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541731.057324380] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698541731.066735564] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698541731.071493152] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541731.067343512] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541731.073756956] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541731.077568626] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541731.093100281] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541731.097002943] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541731.104084329] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541731.110286792] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541731.115071378] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541731.122767711] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541731.126641375] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541731.123721628] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541731.127810274] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541731.134540691] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541731.138503348] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541731.153166078] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541731.159853499] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698541731.160795417] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541731.164913060] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541731.168940712] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541731.172916367] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698541731.185568271] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541731.186426197] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541731.192012713] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541731.196397333] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541731.204415639] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541731.210664098] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541731.214924728] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541731.218945380] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541731.217888472] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698541731.221742138] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541731.232337220] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541731.233758097] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698541731.242514339] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541731.246561988] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698541731.256524125] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541731.261445699] [robot]: not ready
