 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-07-34-317163-b476fea30866-1
trials-all-1  | [coordinator-2] [INFO] [1698534470.327666905] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698534470.328098893] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698534470.335502682] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698534470.342468484] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698534470.353805161] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698534470.357616053] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698534470.361716936] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698534470.365368832] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534470.369137725] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698534470.373135611] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534470.377434489] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698534470.381626370] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698534470.386002245] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534470.389785137] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698534470.393626028] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534470.396950934] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534470.406591659] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698534470.410634544] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.414512434] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698534470.421480236] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.425990107] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698534470.430265986] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.434251872] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.438168761] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.442020651] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698534470.445642548] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698534470.449314444] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.453337329] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.457123221] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534470.461898085] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698534470.487600354] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698534470.491241250] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534470.495503129] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698534470.502272937] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534470.508394762] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698534470.517639499] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534470.531415107] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534470.569427026] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698534470.579077751] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698534470.591068410] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698534470.591869387] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698534470.596761248] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698534470.605509999] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698534470.606759963] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534470.613592769] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534470.619759594] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534470.614409746] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534470.618153639] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534470.621558542] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534470.630959275] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698534470.633250210] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698534470.636322122] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698534470.637719082] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534470.640604000] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698534470.641926963] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534470.645076873] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534470.649310753] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534470.653079645] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534470.662395380] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534470.666992250] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.675361011] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698534470.676445981] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698534470.679540892] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534470.686381698] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534470.693196504] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698534470.698056366] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534470.699412327] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698534470.702307245] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698534470.706144135] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534470.711228991] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698534470.712708949] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534470.717193821] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534470.721429700] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534470.723292647] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.739837177] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.743411075] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534470.747240966] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534470.750722867] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534470.741799121] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534470.748957917] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534470.752196825] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534470.761105572] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534470.774764183] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534470.778577074] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534470.781593989] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534470.785695872] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534470.791879696] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534470.802818385] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698534470.807923239] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534470.811406140] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.808372227] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.811991124] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534470.812466110] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534470.816441997] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534470.816838986] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698534470.826971697] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534470.831732562] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534470.836084438] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534470.833270518] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534470.836925414] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534470.842888244] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534470.851240007] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534470.859232779] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534470.865029614] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534470.865604598] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.883935076] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534470.887671970] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534470.903405522] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534470.905339467] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534470.911930280] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534470.912200272] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534470.916627146] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534470.918760085] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698534470.920938024] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534470.923705945] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534470.931195732] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534470.932774687] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534470.937874542] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534470.939731489] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.952374129] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534470.956649007] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534470.957164993] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534470.961161879] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534470.965907744] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534470.976114453] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534470.981632296] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698534470.987059142] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534470.996187882] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534471.001720725] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534471.002045716] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534471.012811409] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534471.013600387] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.014442363] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534471.020950178] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534471.029996921] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534471.034132803] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534471.038262686] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.038998665] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534471.043051550] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534471.047144433] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698534471.051629306] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.055605193] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.067833845] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534471.068161836] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534471.071928728] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534471.074283661] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534471.075599624] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698534471.078207550] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.082293434] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.108066701] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.115244497] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534471.126049190] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534471.127448150] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698534471.138699830] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698534471.140031792] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534471.143678688] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534471.144949652] [nurse]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698534471.156878313] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534471.157464296] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534471.160712204] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534471.162313158] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534471.165173077] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698534471.168856972] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534471.172841859] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.180298647] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534471.182211593] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534471.186458472] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.188913402] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.190159367] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.197679153] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534471.201169054] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534471.202232023] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534471.206986888] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534471.213551701] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534471.214309680] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534471.218252568] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534471.219341537] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534471.225360366] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.233682129] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.241248914] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534471.252762586] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534471.261802329] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534471.262745303] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.274320973] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534471.279487827] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534471.281808761] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534471.285278662] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534471.286122638] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534471.290496513] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534471.294011414] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534471.294503400] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534471.298450287] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698534471.300755222] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.308615998] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.312771880] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534471.312970874] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534471.319499689] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534471.320004674] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.323323580] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534471.327434463] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698534471.331579345] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.335241241] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534471.341585061] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534471.342073047] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.345894938] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534471.352384754] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534471.353388725] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.357202617] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.361443496] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.368885285] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534471.372895170] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.379115994] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.381175935] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698534471.385261819] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534471.390888659] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698534471.399762407] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534471.402433331] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698534471.403695295] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534471.410925089] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534471.411141083] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.415451960] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.419112856] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.423648727] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534471.427400621] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534471.430994518] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534471.437311339] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.444917123] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534471.446818069] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [robot-6] [INFO] [1698534471.450012978] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534471.453860868] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534471.459543707] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.467733474] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.472639334] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.477448198] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.485010983] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.489988841] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.502260492] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.506917360] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.511592227] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534471.516681082] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534471.520264980] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698534471.524774852] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.529886706] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534471.539195442] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698534471.547581203] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534471.553846025] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534471.557675916] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698534471.561322813] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.564997708] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.569328585] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534471.572921483] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534471.579080308] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534471.582920198] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.590533982] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534471.594433871] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534471.598397758] [arm]: Action: a_pick_up_sample
