 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-24-57-743216-863159eb9f07-1
trials-all-1  | [coordinator-2] [INFO] [1698531913.704988613] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698531913.706390658] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698531913.713950900] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531913.723358201] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531913.756602265] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531913.761454420] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531913.778722973] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531913.797323568] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531913.803401763] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531913.809850969] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531913.815303144] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531913.832625698] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531913.850760279] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531913.857261487] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531913.863827697] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531913.868932861] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531913.887969470] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531913.896111731] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531913.906090050] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531913.915821361] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531913.925874683] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531913.935420989] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531913.944490279] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531913.960737799] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531913.969708086] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531913.978695374] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531913.988202678] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531913.997392973] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531914.007213287] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531914.017744623] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531914.030456028] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698531914.047566574] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698531914.047961587] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698531914.058214914] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531914.062473050] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.067284203] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531914.077033514] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698531914.083347716] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531914.087033834] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698531914.070982321] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698531914.078662566] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531914.087080835] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531914.086327811] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698531914.091519977] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531914.091717983] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531914.094122060] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531914.098577202] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531914.102292320] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698531914.106330449] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.109508551] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531914.117753814] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531914.119271862] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698531914.121752941] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531914.123552999] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531914.123918010] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531914.126071079] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531914.134202339] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698531914.141996587] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531914.142478603] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698531914.146746739] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531914.150808868] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698531914.158980129] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.161113197] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531914.163378270] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.167126389] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531914.175471655] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531914.188930085] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531914.194690269] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.204867593] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698531914.209252733] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531914.209281734] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531914.213918882] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531914.219591063] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531914.224033205] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531914.228169337] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531914.222603159] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531914.226778292] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531914.226144272] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531914.232589478] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698531914.234110526] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531914.237332629] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531914.240897743] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531914.245164879] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698531914.246210913] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531914.250007034] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531914.255132197] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531914.263683470] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531914.268088611] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531914.269919669] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531914.277596914] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531914.288809272] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531914.293304415] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531914.293538423] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531914.298274574] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531914.305424802] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531914.300308639] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531914.313188050] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531914.318760227] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531914.328221529] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531914.332766674] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531914.328514539] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531914.332566668] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531914.334406727] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531914.338437855] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.342431983] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531914.351233264] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.349967223] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698531914.350681246] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531914.363261647] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531914.363402652] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531914.374959021] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531914.379836176] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698531914.384333320] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698531914.380383194] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531914.386142377] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531914.389479484] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531914.401778876] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531914.401909881] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531914.416398343] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531914.419472441] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531914.423216560] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531914.424963616] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.434455919] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531914.441563146] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531914.443935221] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531914.443274200] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531914.450838442] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698531914.451790472] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531914.453203517] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531914.456737630] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.457713661] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531914.458016671] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698531914.468797015] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531914.478786333] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531914.483915497] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531914.484045501] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.493235795] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531914.497710937] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.505137174] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531914.519799642] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.519907646] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531914.522029713] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.524581795] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.528007904] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698531914.533995095] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531914.546723501] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531914.549184580] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531914.550519622] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531914.555807791] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531914.556538814] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.559250901] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698531914.560829951] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531914.562658010] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531914.579010531] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.582668648] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531914.587523803] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531914.597258114] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531914.600536218] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531914.606102396] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698531914.614493664] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531914.619664829] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531914.627653083] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698531914.630705181] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531914.633812280] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531914.639689467] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531914.641765534] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531914.643933603] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531914.645555655] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531914.649985796] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.649051766] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531914.652475875] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531914.654087927] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531914.656647009] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531914.662429193] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531914.666608326] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531914.673174536] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531914.680424767] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531914.695556250] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531914.697257304] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698531914.702110459] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531914.702430469] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531914.709583698] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531914.716944933] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531914.718917995] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.728687307] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531914.733577463] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531914.739786661] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531914.743739787] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531914.746002860] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531914.749762980] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.750280996] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531914.761872366] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531914.763858429] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531914.769256602] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.772050691] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698531914.774077756] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531914.785731127] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531914.786775161] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531914.785303114] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531914.793542377] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531914.796544472] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698531914.798949549] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531914.799528568] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531914.804518727] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.804534727] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698531914.812122969] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531914.813061999] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531914.817248133] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698531914.824845375] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531914.826363424] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531914.832239611] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531914.835894728] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698531914.845297028] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531914.848617134] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698531914.849238154] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531914.854932335] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698531914.859116469] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531914.863547610] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698531914.865679678] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531914.865956687] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698531914.869815810] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698531914.870184822] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.883918260] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698531914.884126267] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531914.884391275] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.889413436] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531914.890141459] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531914.901881833] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698531914.907421010] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531914.910973124] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698531914.918454362] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531914.924756563] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698531914.927757659] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531914.934163863] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531914.940811076] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531914.942508130] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531914.946708264] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531914.951561419] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531914.952032434] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698531914.961318730] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698531914.961461734] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531914.968087946] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531914.972023071] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698531914.975823193] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531914.978986294] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698531914.979695316] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698531914.985057487] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531915.004789117] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531915.011654336] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531915.020676623] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531915.027014824] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531915.031803976] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698531915.029410900] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531915.033283024] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531915.040429251] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698531915.047230467] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698531915.052813645] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531915.054748706] [coordinator]: Receiving sync message: action_complete,a_close_drawer
