 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-51-06-472512-b30a049c2ef3-1
trials-all-1  | [coordinator-2] [INFO] [1698529882.721458668] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698529882.725699724] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698529882.739785909] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529882.743747962] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529882.762590209] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529882.770584314] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529882.778597420] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529882.787150532] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529882.795614644] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529882.805342772] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529882.814902897] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529882.824463023] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529882.833818146] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529882.843020267] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529882.851407377] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529882.860112492] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529882.874826685] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529882.878764737] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.892477917] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529882.901200032] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.909726144] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529882.918647261] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.927104373] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.936070491] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.944969608] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529882.953666722] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529882.963239848] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.971831961] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.981391087] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529882.990472206] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529883.003946383] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698529883.018521573] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529883.025487664] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529883.032175752] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698529883.045211922] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698529883.049409977] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.054798047] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.051413003] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529883.056511070] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.068103221] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.070285250] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529883.076943337] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529883.083303420] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529883.090190510] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.097265602] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529883.101129653] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529883.104417696] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698529883.106755726] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698529883.110741778] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529883.112083796] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529883.117752870] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529883.123586946] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529883.124744961] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529883.129694026] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529883.133216072] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529883.138916146] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529883.142944199] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529883.145057227] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.157474389] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.166641508] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.173067592] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.178738667] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.186266765] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.191317831] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.201589965] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529883.204674005] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529883.210519082] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.218341184] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.225274274] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.232648371] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.237982440] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.247717568] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.254704659] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.261596749] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.268590840] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529883.279692985] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698529883.289330111] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698529883.292254149] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529883.293949172] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529883.297442217] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.313747430] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529883.315773457] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698529883.325315581] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698529883.328198619] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529883.336464727] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529883.340553780] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529883.348181880] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.352082931] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529883.352347935] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698529883.363033074] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529883.368355144] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529883.369741162] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698529883.376611251] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529883.384251351] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.389666422] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529883.392294456] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.394989492] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.403120598] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.408240665] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.417414785] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.423797868] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.434222004] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.440484086] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.446256161] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.452606244] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.461265357] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.468186448] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.479921601] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.486321685] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.492316763] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.498370842] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.506815952] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.513328038] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.525770200] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.531899280] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.538113361] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.544168440] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.552265546] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.558437627] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.571498797] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.577523876] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.584128962] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.590182042] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.598666152] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.604929234] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.619068419] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.625228499] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.630425567] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.636193643] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.643586739] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.649272813] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529883.658783938] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529883.661593974] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.668058059] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.673375128] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.678780199] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.686284297] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.691539366] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.703826526] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.709275597] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.714813670] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.720113739] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.727069830] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.733326912] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.746331081] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.752133157] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.757540228] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.761645281] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.768498371] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.773110431] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.787441618] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.792657687] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.796587738] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.800645791] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.809747910] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.813911964] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.821806067] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.826903134] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.832323205] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.837241269] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.844624365] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.849640431] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.859420559] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.863617614] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.869603692] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.877285792] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.885381898] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.890984971] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.900116090] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.906762177] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.913010259] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.918504331] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.926565436] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.933028520] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.943160653] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529883.949880741] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529883.956099822] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529883.962491905] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529883.969708000] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529883.975544076] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529883.978417113] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529883.990199267] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529883.994457323] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529883.999364387] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529884.001536415] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.003747444] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529884.014381582] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.014499584] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.017911628] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529884.020609663] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529884.024310711] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529884.031580805] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529884.031635806] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.037109877] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529884.039354906] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529884.040992928] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.044726976] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.044874978] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529884.055178112] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.063447219] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529884.068496284] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529884.073844354] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.074179358] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.085001499] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698529884.087387530] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529884.091512583] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529884.094532622] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529884.098752677] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529884.102095721] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529884.106069772] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.107444790] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529884.112934861] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.119824951] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529884.122148981] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.124421010] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529884.131452102] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529884.138843197] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698529884.146143292] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698529884.146584298] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529884.150038343] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.164671533] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529884.166702559] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529884.168386581] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.173323645] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.181792755] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529884.187960835] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529884.193722910] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529884.193806911] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529884.193938912] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.197842963] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698529884.202954029] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698529884.208488101] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529884.216420204] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529884.217964224] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.220226254] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529884.225844327] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698529884.230701390] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529884.244332566] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529884.249183629] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529884.258460750] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529884.259499763] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529884.264617830] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529884.265179837] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698529884.271512919] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698529884.272897937] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529884.276708987] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529884.281702051] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529884.284208084] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529884.264956834] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529884.296412242] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698529884.297806260] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529884.301004302] [robot]: wating for nurse1 to authenticate to robot1
