 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-15-57-484825-47b81f4a8266-1
trials-all-1  | [coordinator-2] [INFO] [1698531373.683965962] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698531373.684527969] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698531373.691908067] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531373.706916266] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531373.728033546] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531373.732536605] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531373.748222813] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531373.753072877] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531373.761475988] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531373.769786098] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531373.778077208] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531373.786557321] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531373.795589440] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531373.803919550] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531373.812661666] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531373.821663785] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531373.835499969] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531373.844216084] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.851193176] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531373.857959266] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.864982359] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531373.872061453] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.878647540] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.885581632] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.892496723] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531373.899000810] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531373.905382894] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.911622977] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.918550068] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531373.925137156] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531373.934522280] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531373.942852390] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531373.943111394] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698531373.948459464] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698531373.958274594] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698531373.958995604] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698531373.965852695] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531373.966318701] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698531373.971724773] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531373.980170884] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698531373.974418808] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698531373.975077817] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531373.978216859] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531373.982555916] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698531373.975342820] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531373.980260886] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698531373.989870013] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531373.993847065] [arm]: Doing a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698531373.990411020] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698531373.994614076] [coordinator]: Updating planner state
trials-all-1  | [nurse-4] [INFO] [1698531373.991363033] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531373.995362086] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531373.997134109] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698531373.997817118] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531374.001706170] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698531374.001177163] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [robot-6] [INFO] [1698531374.006523233] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531374.010697288] [robot]: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698531374.007860251] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698531374.015019345] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531374.019313402] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531374.023186453] [robot]: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698531374.024601471] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698531374.029019529] [coordinator]: Planing
trials-all-1  | [arm-1] [INFO] [1698531374.028756526] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531374.030875554] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531374.034896607] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.032642577] [environment]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531374.044258730] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [environment-3] [INFO] [1698531374.051537826] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531374.069028056] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531374.070756079] [robot]: success
trials-all-1  | [planner-5] [INFO] [1698531374.071357087] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [robot-6] [INFO] [1698531374.079753198] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531374.082416233] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698531374.084427259] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531374.084655262] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531374.091870357] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698531374.092188361] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698531374.097898437] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698531374.101275481] [planner]: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698531374.102112492] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.104082518] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531374.108190572] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [planner-5] [INFO] [1698531374.109092584] [planner]: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698531374.111113611] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698531374.116129677] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531374.122524761] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.117492695] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.121536748] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698531374.124918792] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698531374.133137901] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531374.133916911] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531374.134308916] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.138010965] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698531374.141596012] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.157224218] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698531374.164611315] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531374.168123362] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698531374.173505432] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698531374.175972465] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698531374.177797489] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531374.188053624] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531374.189275640] [planner]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698531374.196264732] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.197068743] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.198664764] [environment]: Action: a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698531374.202595816] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698531374.212569947] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698531374.214379971] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698531374.217829016] [arm]: not ready
trials-all-1  | [planner-5] [INFO] [1698531374.225367115] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.233549223] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531374.234559237] [arm]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698531374.234699238] [planner]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698531374.241647330] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698531374.242739344] [planner]: Sending response
trials-all-1  | [arm-1] [INFO] [1698531374.247941413] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531374.254724502] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531374.248400419] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531374.271830727] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698531374.272062730] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.274159758] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698531374.282789872] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531374.282785872] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.290227970] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531374.295407038] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698531374.299601093] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531374.304938163] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531374.307562198] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531374.321039375] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531374.330350498] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531374.309929229] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.330081495] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531374.315785306] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.318415341] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531374.329059481] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.316487316] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531374.320301366] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531374.333403538] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698531374.334146548] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531374.339579620] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531374.345548698] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698531374.340841636] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.344896690] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531374.345078692] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531374.351227773] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.352093784] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698531374.356592844] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.357461855] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698531374.366199970] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.367258984] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.371929046] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531374.372115048] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698531374.379090140] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698531374.379694148] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.383776202] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.384567212] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698531374.391044297] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.392458316] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.399715412] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.400013416] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.403737465] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698531374.407908520] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698531374.409365539] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698531374.413428592] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.414244603] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.415307617] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531374.423164721] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.422673714] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698531374.431249827] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698531374.437867914] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698531374.442171971] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698531374.443061983] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.446384026] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.452329105] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698531374.430805821] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531374.452535107] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698531374.450990087] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531374.455378145] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531374.452610108] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531374.456287157] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698531374.475075404] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698531374.485670544] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698531374.458451185] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698531374.462474238] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698531374.466194287] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698531374.470059338] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531374.476076417] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531374.458908191] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698531374.468150313] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531374.478350447] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.482091497] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.485872546] [robot]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698531374.465349276] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698531374.468330315] [nurse]: a_open_door
trials-all-1  | [nurse-4] [INFO] [1698531374.477464436] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698531374.481305486] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698531374.484703531] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.491192616] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698531374.495376672] [robot]: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698531374.495625675] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698531374.502580766] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.506578819] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531374.511859889] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.515640938] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.519144985] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531374.523289039] [robot]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698531374.513350908] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.517190959] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698531374.520634004] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698531374.527536095] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531374.531560148] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698531374.535283197] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531374.539157248] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698531374.544046313] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531374.548123366] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698531374.555641465] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531374.560289527] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531374.573540701] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531374.577138748] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531374.574353712] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698531374.578772770] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698531374.579685782] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698531374.588117893] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531374.589329909] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698531374.594144972] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698531374.594294974] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.602980089] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531374.603664098] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698531374.611033195] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531374.615242250] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.619010300] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531374.622490346] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698531374.629529438] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531374.634052498] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.642763613] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.646896667] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531374.653614756] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698531374.645890654] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698531374.652926747] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698531374.657621808] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.664644901] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531374.669057959] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.677882075] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531374.682296133] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531374.689195224] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531374.693492281] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531374.700001367] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
