 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-16-44-262055-dadaf566a0d8-1
trials-all-1  | [coordinator-2] [INFO] [1698535020.328909728] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698535020.330599703] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698535020.344713490] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698535020.349306421] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698535020.375747021] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698535020.384344892] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698535020.393687751] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698535020.403416604] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535020.438033081] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698535020.448274927] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535020.457523787] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698535020.466287655] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698535020.475848511] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535020.484309383] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698535020.493048251] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698535020.502775104] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698535020.519024859] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698535020.529808696] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.538953558] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698535020.548989407] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.558439264] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698535020.567426128] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.575912000] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.584639868] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.593271738] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698535020.601782610] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698535020.610614476] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.620126333] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.629307194] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535020.638534055] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698535020.657575768] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698535020.658653751] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698535020.662802689] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698535020.668195607] [arm]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698535020.677217471] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535020.689654283] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698535020.695204200] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535020.697369167] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698535020.700320122] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698535020.710596967] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535020.714202913] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698535020.719300836] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698535020.721381805] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535020.725230746] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698535020.720707815] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535020.724726754] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535020.723349775] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698535020.727122718] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535020.731960645] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535020.736092583] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535020.751684347] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698535020.751859345] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698535020.759432230] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535020.763114175] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698535020.767477109] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698535020.771545047] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698535020.773087024] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698535020.775818983] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698535020.776036980] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535020.776254976] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535020.791816741] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535020.797106662] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535020.797185660] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698535020.801102601] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698535020.819049330] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535020.820442309] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535020.829280176] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535020.829374175] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698535020.839391023] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535020.846011923] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535020.846763912] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535020.853768806] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535020.855089786] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535020.856871760] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698535020.861268693] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698535020.862839669] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698535020.867831594] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535020.876243467] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698535020.876241467] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535020.882263376] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535020.885519327] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535020.890805247] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698535020.891739233] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535020.894758188] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535020.900272104] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698535020.908032987] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698535020.910237954] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535020.910296953] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698535020.915554874] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535020.919761810] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535020.925019731] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698535020.924977732] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535020.933946596] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535020.937378544] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535020.944376439] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535020.957299244] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535020.959070217] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535020.961659178] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535020.971748026] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535020.973170004] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535020.977369941] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535020.980510893] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535020.982032870] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535020.987621786] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535020.990300746] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535020.996567651] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535020.999206611] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.011341428] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.012346413] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535021.016455351] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535021.020634288] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535021.020787285] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.033968086] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.038056025] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535021.038620016] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535021.043072949] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.048542866] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535021.048788863] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.056982739] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.069650548] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.073123495] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535021.074645472] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535021.080008391] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535021.080422385] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.089542247] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.094367174] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535021.104058028] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535021.108510961] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535021.113575884] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.115074862] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535021.123067741] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.133816579] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698535021.138326511] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698535021.139777489] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.139797488] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535021.145512402] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535021.152564296] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535021.146267391] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.156803232] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.161815156] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.164088122] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535021.167247074] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.171568009] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.173315982] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535021.185231802] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.189655736] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535021.190625721] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.194754659] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.201473557] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535021.203036533] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.207266470] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535021.208278454] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.217038322] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535021.218636298] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535021.224281213] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.224428210] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.236258032] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.241637951] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.242861932] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535021.247944855] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535021.249002839] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.257867706] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535021.258873690] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698535021.263139626] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698535021.274470455] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698535021.275277443] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535021.284664301] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.285487288] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698535021.290545212] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698535021.295818132] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698535021.290630211] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.290645211] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.307550955] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.308116947] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535021.313234869] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.322931723] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535021.326924663] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535021.330533608] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535021.325527684] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.329247628] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535021.333064570] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.325991677] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535021.329561623] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535021.338151493] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.339883467] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698535021.338987481] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535021.347512352] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535021.350547306] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535021.354988239] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698535021.356546215] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.360498156] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.357790197] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535021.361670138] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535021.366065072] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698535021.373280963] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535021.373536959] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.380840849] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.384820789] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535021.390636701] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535021.393021665] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698535021.402118527] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535021.403126512] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535021.415512325] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.416895304] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535021.416386312] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.421299238] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [environment-3] [INFO] [1698535021.423207209] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.439493963] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.445857867] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535021.448636825] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698535021.450799792] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.462051622] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535021.462684613] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698535021.469717507] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535021.480025351] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535021.483133304] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535021.487935232] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.498904066] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.506731948] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698535021.508938914] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698535021.509574905] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535021.524792675] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535021.528760615] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535021.517709782] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535021.529803599] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535021.534126534] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535021.528910613] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535021.538333471] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.543175397] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535021.546469348] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535021.557408183] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535021.559823146] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535021.560873130] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698535021.568251019] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.579994841] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535021.587134734] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535021.587232732] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.593677635] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698535021.602383503] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.604684469] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535021.608430412] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698535021.608641409] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698535021.614674318] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535021.616637288] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535021.621733211] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535021.631096070] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698535021.622607198] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535021.623846179] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698535021.627961117] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535021.631366066] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [environment-3] [INFO] [1698535021.626934133] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698535021.630130084] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.638829953] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535021.641198917] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535021.647661820] [nurse]: Action: a_deposit
