 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-50-39-806488-9f7d31ec3450-1
trials-all-1  | [nurse-4] [INFO] [1698537053.457933667] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698537053.462008707] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698537053.472504809] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698537053.479738880] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698537053.492536004] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698537053.500142078] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.507222147] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537053.513798211] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.520996282] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.528258352] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.535327421] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698537053.542761494] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698537053.549169556] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.554673610] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.561823679] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.568652746] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537053.579752854] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698537053.583297889] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.586941924] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537053.602106072] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.605865108] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537053.619406240] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.629032334] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.637295415] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.654546583] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537053.677729809] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537053.685480884] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.693617963] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.701840044] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537053.710650129] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537053.721061231] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698537053.729830316] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537053.731480332] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537053.732819345] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537053.739347409] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698537053.740122417] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537053.748923502] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698537053.753022542] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537053.750531518] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698537053.754346555] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537053.753101543] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537053.758058591] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537053.761760627] [arm]: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698537053.769050698] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698537053.770903717] [arm]: Doing a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698537053.773689744] [coordinator]: Updating planner state
trials-all-1  | [nurse-4] [INFO] [1698537053.776034766] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537053.780134806] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [nurse-4] [INFO] [1698537053.785822862] [nurse]: a_deposit
trials-all-1  | [planner-5] [INFO] [1698537053.786443868] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698537053.787846882] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537053.794248944] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537053.794355945] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537053.805581054] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537053.805712056] [coordinator]: Planner state updated
trials-all-1  | [environment-3] [INFO] [1698537053.810440102] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537053.811121108] [robot]: Doing a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537053.812607123] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698537053.816055156] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537053.821316208] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537053.826488258] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698537053.826603259] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537053.837257363] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698537053.837257363] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [arm-1] [INFO] [1698537053.845291441] [arm]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698537053.849533483] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [environment-3] [INFO] [1698537053.849718484] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537053.851119498] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537053.855812544] [robot]: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698537053.857780563] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [arm-1] [INFO] [1698537053.863506619] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537053.865568639] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537053.869904681] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537053.869967682] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698537053.874745728] [planner]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537053.875869739] [robot]: a_open_drawer
trials-all-1  | [planner-5] [INFO] [1698537053.886727845] [planner]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698537053.890066878] [robot]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698537053.896747943] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537053.897004945] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698537053.905287026] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537053.909961071] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537053.913291104] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.919448164] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.923511203] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [planner-5] [INFO] [1698537053.927295240] [planner]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698537053.914221113] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537053.923598204] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537053.927329241] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537053.923095199] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537053.926995237] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698537053.931794284] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698537053.938010345] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537053.941582379] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698537053.936406329] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537053.939978364] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537053.937079336] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537053.940824372] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537053.948041442] [planner]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537053.948823450] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537053.953526496] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537053.958467544] [arm]: Action: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698537053.958839548] [planner]: Sending response
trials-all-1  | [robot-6] [INFO] [1698537053.969285649] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537053.973339689] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537053.970566662] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537053.974525700] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537053.971393670] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698537053.976642721] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698537054.020104144] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537054.023858180] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537054.027668217] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537054.025214193] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537054.029914239] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.026684208] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.031438254] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.040769344] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537054.044478380] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.038951327] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537054.043383370] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537054.047760412] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698537054.042493361] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537054.054373476] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.054956482] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537054.062666557] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537054.063344563] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.065852588] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537054.067357602] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537054.070552633] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.072331651] [robot]: Doing a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537054.077803704] [coordinator]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698537054.078689712] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537054.076370690] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.086847791] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537054.088077803] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537054.090142823] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537054.094392865] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698537054.099951919] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537054.100567925] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698537054.104783965] [environment]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537054.105086968] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537054.109482011] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.112651042] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537054.116750081] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537054.120839121] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537054.124487157] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537054.133343242] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698537054.119385107] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537054.123000142] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537054.138073288] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537054.121827131] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537054.125708168] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.132759237] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537054.133298242] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537054.137378282] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698537054.141337320] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.141841325] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698537054.148127386] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537054.154340446] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.154501448] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537054.159381495] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537054.160082502] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537054.164975549] [nurse]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537054.170252601] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698537054.173024627] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537054.173024627] [nurse]: a_open_door
trials-all-1  | [arm-1] [INFO] [1698537054.179057686] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537054.183557730] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537054.189073783] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.193106822] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698537054.197854868] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537054.202025909] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.208250969] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.209504981] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537054.212883014] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537054.213767023] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537054.217948063] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698537054.221333096] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537054.222649109] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537054.227567157] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698537054.227567157] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537054.229553176] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.232139201] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537054.236008238] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537054.240366281] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698537054.244643322] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.245318329] [robot]: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537054.256801440] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.258469456] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698537054.270511573] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698537054.274662613] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537054.283982704] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.291859780] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537054.292863790] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.297092831] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.302782886] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537054.306091918] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.308119938] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537054.309654953] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537054.317762032] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698537054.329461145] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537054.330291153] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537054.332537175] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537054.336927218] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698537054.342249269] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.347216317] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537054.348472330] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537054.354018383] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698537054.357855421] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537054.362569466] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.370479543] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698537054.374513582] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537054.379096627] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537054.372668564] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537054.376489601] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537054.375187589] [robot]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698537054.375390591] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537054.386589699] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.389757730] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698537054.392465756] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537054.395087782] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537054.396676797] [robot]: Doing a_navto
trials-all-1  | [environment-3] [INFO] [1698537054.397403804] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537054.401145841] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537054.405502883] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537054.405838886] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537054.413395959] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.413597961] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698537054.422019043] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698537054.424004062] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537054.426148083] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537054.429113112] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537054.438451202] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537054.441880236] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698537054.446787283] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698537054.454075354] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537054.453160345] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537054.454490358] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537054.465420464] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.475512562] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537054.484878653] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698537054.484878653] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537054.489947702] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537054.490071703] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537054.494258744] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537054.500539805] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537054.506448862] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537054.500563805] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698537054.509176889] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537054.509829895] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537054.525055043] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537054.530155092] [nurse]: Action: a_authenticate_nurse
