 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-15-52-379743-132a60d39ac7-1
trials-all-1  | [planner-5] [INFO] [1698542166.116472533] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698542166.119976386] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698542166.134804765] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698542166.142923425] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698542166.151094083] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698542166.160218701] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542166.169556310] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698542166.178544934] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542166.187235570] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698542166.196637176] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698542166.204075864] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542166.212690504] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698542166.221104151] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698542166.231782704] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698542166.253970775] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698542166.262579415] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.270490083] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698542166.290464247] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.298467912] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698542166.321219959] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.329790600] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.348842802] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.363426192] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698542166.379472520] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698542166.384844295] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.389144115] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.415612006] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.421318767] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698542166.434500215] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698542166.438923030] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698542166.437853075] [arm]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698542166.439152021] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698542166.447080689] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698542166.455258346] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542166.460749116] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698542166.464210971] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698542166.469255760] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.473532581] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698542166.478168387] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698542166.478324380] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542166.481891231] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698542166.486834024] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.482452207] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.494852688] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698542166.491281838] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.503504326] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542166.507758148] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542166.512426952] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698542166.514524864] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542166.519102673] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698542166.523410492] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542166.527205333] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698542166.530339202] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698542166.534992007] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542166.531232165] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.535432989] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698542166.538854846] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542166.543521650] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542166.548304450] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.548607437] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698542166.552937256] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542166.557168079] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.563918796] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.568738594] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542166.572868421] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542166.577173241] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542166.581860045] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.584045953] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542166.588365772] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542166.588327774] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698542166.593645551] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698542166.597584386] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.604833083] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.609302896] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.617623547] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542166.622330350] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542166.623726292] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698542166.634321848] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542166.638349679] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542166.642716496] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698542166.642818492] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542166.647909279] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542166.655144976] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.658095852] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542166.659040813] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.663083644] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.672710240] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.677826026] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.688097596] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542166.691636448] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.689467539] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542166.694847314] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.704892893] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542166.706356832] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542166.712238585] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542166.713708524] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.723841099] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.725845015] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542166.729683855] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.735086629] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542166.740059420] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542166.740558399] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.749593021] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542166.756301740] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.767192284] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542166.767320279] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698542166.770957126] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698542166.771342110] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542166.778358816] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542166.781838671] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542166.782503643] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.786542474] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.786698467] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542166.791817253] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542166.795667092] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698542166.797593011] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542166.802078823] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.816120235] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542166.819799081] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542166.826699792] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542166.830761622] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.827460760] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542166.837329347] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.842405135] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.858356467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698542166.838912281] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.843298097] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542166.847256931] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542166.850916778] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542166.847469922] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.853240681] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542166.857404506] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.863150266] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542166.874343797] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698542166.876419710] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542166.881229509] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.883750403] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.887901229] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542166.892351043] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542166.896457871] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542166.898868770] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698542166.903158591] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698542166.904369540] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.911269251] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.914932098] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542166.919080924] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.906849436] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542166.910542281] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.922481781] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.926866598] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542166.936169208] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542166.939883053] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542166.946812763] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542166.951538565] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542166.955766388] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542166.960107206] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542166.963496064] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698542166.970897754] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542166.974970583] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.973816632] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542166.977836463] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542166.981291319] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542166.983012247] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542166.987617054] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542166.991336898] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542166.989525974] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542166.991133907] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542166.993647801] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698542167.001919455] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542167.006443266] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542167.010345102] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698542167.014536927] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.022098611] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542167.026773416] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698542167.036026029] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542167.040173855] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542167.049512465] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.053492298] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542167.038186938] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698542167.041894783] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542167.048738497] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542167.052592336] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698542167.062933903] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.066624749] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.071990525] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.073612457] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542167.077553292] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542167.085527959] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.089602788] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.094231595] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542167.098405420] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542167.105576120] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.109867941] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542167.112221843] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.118347586] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.122164427] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.126331253] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542167.119349545] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542167.120852482] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542167.130058097] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698542167.138560741] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698542167.139556700] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542167.142738567] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542167.145877435] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542167.148915308] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542167.151191213] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542167.160229835] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.164116673] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.173126296] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542167.180693979] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542167.183657856] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542167.194358408] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698542167.196825305] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.201489110] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542167.204135999] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698542167.205090959] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542167.216663475] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542167.217072458] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698542167.220962296] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.223748179] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698542167.222393236] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.231633849] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542167.233081789] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698542167.236723637] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542167.239141535] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698542167.251023039] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542167.251508018] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698542167.257343774] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698542167.262401563] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.267222361] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698542167.271281192] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542167.274835043] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542167.281967745] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.286677548] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698542167.296953118] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542167.300904953] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698542167.302854871] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542167.309005614] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542167.312646462] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542167.317666252] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542167.321371097] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.329850743] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542167.333798577] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542167.333916573] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698542167.340654291] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542167.344672123] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542167.349770910] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698542167.351561835] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542167.355811657] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542167.356432631] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698542167.367694160] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542167.375008854] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542167.378778697] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698542167.382565538] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542167.388279299] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542167.391398169] [arm]: Action result: False
