 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-52-28-299266-6d4810dc8dda-1
trials-all-1  | [nurse-4] [INFO] [1698540764.444630687] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698540764.452373494] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698540764.463157226] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698540764.477948858] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698540764.494483447] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698540764.505190181] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698540764.522307755] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698540764.527741620] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698540764.531655523] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540764.545485179] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698540764.550363057] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540764.566326660] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698540764.571578530] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698540764.586262165] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540764.591807027] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698540764.605774679] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540764.610099572] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698540764.633298995] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698540764.642596764] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.661772287] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698540764.670378073] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.679056857] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540764.697054409] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.704843216] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.724204734] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.732473528] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698540764.740914319] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698540764.766295687] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.774616480] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.793450012] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540764.801702807] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698540764.823034276] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698540764.832012053] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698540764.832296046] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540764.833405018] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698540764.838337896] [nurse]: Nurse's actions:
trials-all-1  | [environment-3] [INFO] [1698540764.847015680] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540764.852367547] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698540764.856413446] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698540764.853397521] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540764.857528419] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540764.862933284] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540764.867139180] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540764.867733165] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698540764.874992984] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540764.884217755] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540764.886555697] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540764.892489549] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540764.897822416] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540764.902438302] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540764.906080211] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698540764.912993039] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540764.916544951] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540764.922705798] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540764.928448655] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698540764.933755523] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540764.934214511] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698540764.939014392] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540764.946621203] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540764.951752075] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698540764.960845849] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540764.966327713] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540764.978848401] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540764.985587234] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540764.991337091] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540764.997175946] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.004839755] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.010754608] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.022011329] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.028308172] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.034817011] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.041198852] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.049729640] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.055588495] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.066215231] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.072473076] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.078217933] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.084832769] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.092636575] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.098272435] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.108966169] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.114799025] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.120757877] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.126858725] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540765.131383613] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698540765.136604483] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.142015349] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.153594061] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.159779908] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.166439742] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.173574565] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.181121378] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.186706239] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.197042982] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.202524846] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.209107683] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.214614546] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.222362353] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.228683197] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.238422955] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.245419781] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.251768623] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.257804473] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.265516282] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.272054119] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.282477861] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.289151695] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.295270543] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.301322393] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.308963203] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.315042052] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.326682763] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.332962607] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.339495445] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.345602293] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.354078083] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.359293953] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.370319679] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.377029513] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.382758370] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540765.388592226] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540765.399737949] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698540765.401787898] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540765.406901771] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540765.407252762] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.411660653] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540765.417620505] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540765.422660380] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540765.424370337] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540765.427280265] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.431178168] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540765.431576158] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.433439112] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540765.434888076] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540765.438820978] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.439012973] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540765.449549712] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540765.454970577] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540765.459123474] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.466649287] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540765.470863182] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.473341121] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698540765.476092053] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540765.486673790] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698540765.486822786] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540765.490566693] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.493966609] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540765.498655492] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.504168355] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540765.505851314] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540765.507803265] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.519701970] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.522304905] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698540765.526982789] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698540765.527439778] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.528715746] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540765.531530676] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540765.533641624] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540765.541893419] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698540765.547064290] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.547780272] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540765.553156139] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540765.553145139] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540765.564592855] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540765.566094818] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698540765.567582781] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540765.569738727] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.575515584] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540765.580049471] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.587767279] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540765.588862252] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.594064123] [robot]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698540765.594306117] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698540765.595142096] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.599717983] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698540765.587720281] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540765.615932580] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540765.618472517] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698540765.618605514] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540765.627988281] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.628392271] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.637462045] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.642826912] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540765.648151780] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.649662742] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.650790714] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540765.658534522] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.662897414] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540765.666500324] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.674081136] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540765.679978990] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.682454928] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698540765.687741797] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.687720797] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540765.691872694] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540765.696429581] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540765.701663451] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.705565354] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540765.706636328] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540765.708432283] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.713697152] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.720620980] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.726715829] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540765.730467736] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698540765.730984723] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.734225642] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.735639607] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540765.741678457] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.748688283] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540765.750660234] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540765.757158073] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698540765.764676886] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.766320845] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.770978730] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.772874683] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540765.774203650] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698540765.779996506] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.796201103] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698540765.797909061] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540765.799651018] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.803919912] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698540765.805507872] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.811547722] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540765.816638596] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540765.822416452] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698540765.837089088] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540765.839950017] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698540765.842744948] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540765.845414881] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540765.848193812] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.857673577] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540765.858259562] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698540765.860945496] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698540765.863351436] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540765.865124392] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540765.866186365] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698540765.875505134] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540765.880886000] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.883250942] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698540765.884914900] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698540765.891804729] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540765.896039624] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540765.897072598] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540765.904328418] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698540765.908725309] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540765.910388268] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540765.913759184] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.919455043] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540765.923257948] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540765.928413820] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698540765.930460769] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540765.932562717] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698540765.942896461] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540765.944302426] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698540765.946462372] [environment]: Action: monitor
