 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-17-21-777837-54641447e130-1
trials-all-1  | [planner-5] [INFO] [1698527858.413356971] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698527858.413401971] [coordinator]: Sending response
trials-all-1  | [planner-5] [INFO] [1698527858.433362810] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [nurse-4] [INFO] [1698527858.435487792] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698527858.468864523] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698527858.472780491] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698527858.500678266] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698527858.511863176] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527858.532593008] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698527858.545548904] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527858.575479662] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698527858.588877554] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698527858.609093391] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527858.631515210] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698527858.641701128] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698527858.663010956] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698527858.686588765] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698527858.705137616] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.710074576] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698527858.731008407] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.735833368] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698527858.757635192] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.762830150] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.767225114] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.785460967] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698527858.803586821] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698527858.809774771] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.829302613] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.834080575] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527858.838890536] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698527858.867494305] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698527858.869288291] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698527858.874959245] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698527858.879586207] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698527858.877166227] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698527858.882818181] [arm]: Arm's actions:
trials-all-1  | [coordinator-2] [INFO] [1698527858.880456200] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698527858.886444152] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698527858.892743101] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698527858.897571062] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698527858.905041002] [robot]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527858.899587046] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527858.904957003] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527858.902753020] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698527858.914455926] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527858.914869923] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698527858.917766899] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698527858.921031873] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698527858.921716867] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527858.925264839] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527858.932328782] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527858.932594779] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527858.942757697] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527858.949095646] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698527858.954503603] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698527858.949123646] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527858.959099565] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527858.963968526] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527858.968910486] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698527858.977709415] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698527858.982144379] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698527858.989897317] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527858.979423401] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527858.983450369] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.021120062] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698527859.032294970] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.039788909] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698527859.044636869] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527859.041448895] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527859.048339838] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527859.054706786] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698527859.056354772] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698527859.059447747] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698527859.061206732] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527859.068185675] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527859.073846628] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527859.082172559] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698527859.085043536] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.096909438] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.100915405] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698527859.101851397] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527859.109607333] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.106575358] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.120591243] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527859.128936174] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.133626135] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.139007091] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527859.147196024] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698527859.152590979] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.154970960] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527859.164510881] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.164889878] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.176906779] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.182627732] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527859.186659698] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698527859.189054679] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527859.192630649] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698527859.183367726] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527859.195634625] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.208522518] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527859.215811458] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.215662460] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527859.236710286] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.241432247] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527859.245162216] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.255468132] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527859.264761055] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.269552015] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.282563908] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.287594867] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698527859.296185796] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.300397761] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527859.304769725] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527859.308608694] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.310516678] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527859.319146607] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698527859.321425588] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.327338539] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698527859.323052575] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527859.325919551] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527859.331537505] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698527859.342148417] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527859.346770379] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.340249433] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527859.358088286] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.370258186] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.373066163] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527859.376343136] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.378609117] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.389922024] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527859.392747000] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.394395987] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527859.398752951] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.408040874] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.418114791] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527859.422730753] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.432928669] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527859.439587614] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527859.455123486] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698527859.460481442] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.463279419] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.475866316] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.479881282] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527859.480890274] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.489074207] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527859.496768143] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527859.497743135] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.501237106] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698527859.513844003] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698527859.514151000] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.521534939] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527859.523789921] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527859.538460800] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527859.539934788] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527859.541697773] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527859.550871698] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527859.553205678] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527859.560731616] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527859.566448569] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527859.569747542] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.573190514] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.581869442] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698527859.584481421] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698527859.584528420] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.591297364] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527859.600934285] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527859.612669188] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698527859.620436124] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.624753089] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698527859.636453992] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.645416918] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527859.651120871] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.651978864] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527859.664956757] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.671590703] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527859.678883643] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527859.689652554] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698527859.693480522] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698527859.698015485] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527859.697432490] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527859.702247450] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.708944395] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.713303359] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527859.722493283] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698527859.727779240] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.732148204] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527859.733982189] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.737935156] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.739057147] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527859.751287046] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527859.760006974] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527859.762605953] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.776079842] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527859.781014801] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527859.778302824] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527859.782224791] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.785311766] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698527859.798159660] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698527859.811876547] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698527859.823315453] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698527859.827881415] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527859.826479427] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527859.830946390] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527859.843972282] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.849133240] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527859.846105265] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.850521229] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527859.854532195] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.860615145] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527859.864873110] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527859.875042026] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.887048928] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698527859.890851896] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527859.896501850] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698527859.903301794] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.916465685] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.923621626] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527859.927904591] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527859.937286514] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527859.945530446] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527859.949603412] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527859.957505347] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698527859.961645313] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527859.975626198] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527859.967409265] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527859.971374233] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527859.985597116] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527859.998188012] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527860.000531992] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527860.005199954] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527860.017130854] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527860.027116770] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527860.044958620] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527860.049394582] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527860.060973485] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527860.069354414] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527860.081623311] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527860.091212231] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527860.105757108] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527860.112495052] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698527860.116794016] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527860.115154029] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527860.119681991] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527860.133006879] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698527860.137601841] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698527860.139367826] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527860.147617757] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527860.172957544] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698527860.177322507] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698527860.186726428] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527860.190838393] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527860.194885359] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527860.192688378] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698527860.212579210] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527860.213036207] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698527860.217443170] [environment]: Responding
