 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-53-44-862308-6009a5b08e9f-1
trials-all-1  | [planner-5] [INFO] [1698533641.266923285] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533641.274001065] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698533641.291573519] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698533641.296951352] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533641.306841045] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698533641.311728893] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.316148756] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698533641.332479248] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.337309098] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533641.341582965] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.357655466] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.361769338] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.365884210] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698533641.379777778] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698533641.384190641] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.401090116] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.405871968] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533641.409890843] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698533641.430544201] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698533641.438999938] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698533641.441457862] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533641.450083594] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698533641.454245464] [nurse]: Nurse's actions:
trials-all-1  | [environment-3] [INFO] [1698533641.455756417] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533641.458208341] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533641.461848228] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533641.467928039] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533641.472340902] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533641.478335716] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533641.468868010] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698533641.473411869] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698533641.477813732] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533641.471572926] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698533641.476693767] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698533641.490543336] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533641.493775236] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698533641.499300064] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533641.500341032] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533641.507228818] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698533641.513513623] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533641.516394533] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698533641.520562404] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533641.523607309] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698533641.530470096] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533641.539443817] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533641.555899306] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698533641.560346167] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533641.564451040] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533641.565423010] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698533641.568510914] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533641.575737689] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533641.580562539] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533641.583435450] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698533641.593076150] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533641.598808972] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533641.603835816] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533641.608489671] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533641.612310553] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533641.617109403] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533641.621774259] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.632112937] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698533641.632799916] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.637658765] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533641.642516614] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533641.648500428] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533641.653566271] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533641.653900260] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533641.662986978] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533641.668519806] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533641.674263627] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533641.681164413] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533641.681774394] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533641.687639212] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.688883173] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533641.697907893] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533641.700617808] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.704089701] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533641.708790555] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698533641.709137544] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533641.713571406] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533641.713987393] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698533641.715586343] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533641.719841211] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533641.723713091] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533641.734874744] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533641.738326637] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533641.738389635] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533641.752249204] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.757628037] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533641.768232707] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.769357672] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533641.774966498] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533641.780730319] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533641.785064184] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533641.782705258] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533641.794920878] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698533641.795955846] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698533641.801941660] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533641.806037533] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.815052253] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.820085096] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533641.816734200] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533641.821728045] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533641.823951976] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698533641.828895822] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533641.832497710] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698533641.824046973] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533641.828056848] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533641.831591739] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533641.832753702] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533641.840266469] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533641.863133758] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533641.863286754] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533641.872161478] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533641.872570465] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698533641.873286443] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698533641.885784055] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698533641.882847146] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.886817022] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533641.883638121] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533641.887895989] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533641.884553093] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533641.888287977] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533641.889614936] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533641.895685747] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533641.897353695] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533641.903840493] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533641.904198482] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533641.921837934] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533641.944498230] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533641.950463045] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533641.956277864] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533641.957197835] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.966170557] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533641.974052312] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533641.975225275] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533641.980760103] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533641.982355054] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533641.988481863] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698533641.988557861] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533641.994286683] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533641.999213530] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [arm-1] [INFO] [1698533641.993784699] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533641.998023567] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533642.001997443] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533642.003057410] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533642.010378183] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533642.016638989] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533642.019041914] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.025511713] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533642.031108539] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533642.032561494] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533642.036969357] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533642.044113136] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.048282006] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533642.052552874] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533642.057933707] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.072140265] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.075190171] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533642.078093081] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533642.084539880] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533642.084780873] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533642.086592817] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533642.091090677] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533642.095818530] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698533642.091753656] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533642.092200643] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.098444449] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533642.098509447] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533642.109302112] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.114050964] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533642.117966843] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533642.114315956] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.123547669] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.129593482] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533642.130652449] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.142914068] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533642.143140061] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533642.151383805] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.159689547] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533642.163634425] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698533642.156961632] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533642.161123503] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.165270374] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533642.174007103] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533642.176680020] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533642.189430624] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698533642.176486026] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533642.183354812] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533642.181524869] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533642.190403594] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.195928422] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533642.205203134] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533642.214544844] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698533642.222468598] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698533642.219821680] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533642.223797557] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.223436568] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698533642.230525348] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.238874089] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533642.247505821] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.251835686] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533642.252061679] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533642.256138553] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533642.256944528] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698533642.263691318] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698533642.263916311] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533642.264775284] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533642.265633258] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533642.273697007] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533642.279200836] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698533642.281573763] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.285418643] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.298176247] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.302012128] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533642.281807756] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533642.293066406] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.297310274] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.300908163] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533642.298824227] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698533642.316251686] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.316922665] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533642.326066381] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698533642.327231345] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.333487151] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533642.337006042] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698533642.344506809] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.345376782] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533642.346147758] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698533642.349851643] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698533642.359473344] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533642.363603216] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.370049016] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698533642.377418787] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698533642.379105735] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533642.388427445] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533642.389102424] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533642.403668972] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [environment-3] [INFO] [1698533642.394482257] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698533642.397402167] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698533642.401428042] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.397562162] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533642.403182987] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533642.411299735] [arm]: Action: a_pick_up_sample
