 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-11-23-312915-3ffd609af231-1
trials-all-1  | [nurse-4] [INFO] [1698538299.558125640] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698538299.572245570] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698538299.578217540] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698538299.585426504] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698538299.589685483] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698538299.613898362] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538299.625377305] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698538299.629780283] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538299.646592200] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538299.650406181] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698538299.667580095] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538299.675526056] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698538299.682563021] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698538299.705876905] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538299.721848826] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538299.726214804] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538299.744244714] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698538299.755417659] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698538299.759653638] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.780393534] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538299.788519494] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.797727448] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538299.816959353] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.825208312] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.843941218] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.852065178] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538299.861485131] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538299.885304013] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.889957990] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.905997910] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538299.910659887] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698538299.923985820] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698538299.929599792] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698538299.937865751] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698538299.942418729] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538299.940463738] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538299.940519738] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538299.942431729] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698538299.944651718] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538299.947211705] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538299.956835657] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538299.951114685] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698538299.956457659] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698538299.952032681] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698538299.957129656] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538299.966637608] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538299.970637588] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698538299.976754558] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538299.981465535] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698538299.966912607] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538299.966940607] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538299.974048571] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538299.967081606] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538299.971906582] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538299.986108511] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538299.990939487] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538299.998399450] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538300.006337411] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538300.009342396] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698538300.014408371] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538300.015344366] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538300.021687334] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.027930303] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538300.037933254] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538300.045291217] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.055453166] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698538300.060125143] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538300.069576096] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698538300.070753090] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538300.075423067] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538300.074710070] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538300.086540012] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538300.090151994] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538300.094459972] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.093530977] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538300.098012954] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.106051914] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538300.110456892] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.117348858] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698538300.118809851] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698538300.120556842] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538300.123179829] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698538300.125915816] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538300.127177809] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538300.133461778] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.135694767] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698538300.141026740] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538300.141231739] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538300.146325714] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538300.149125700] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538300.155928666] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538300.157299659] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698538300.160705642] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538300.165584618] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538300.167611608] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698538300.173191580] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538300.175750567] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698538300.187479509] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.191556489] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538300.189793498] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.198014457] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538300.203632429] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.199460449] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538300.209277401] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538300.213993377] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538300.218294356] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538300.226847313] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.237970258] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538300.244376226] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538300.245494220] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538300.257450161] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.265679120] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698538300.268657105] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538300.272881084] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538300.274309077] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.280737045] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.295092973] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538300.297616961] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.300045949] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698538300.300696945] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.305840920] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.317589861] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538300.321453842] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538300.319825850] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.324045829] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538300.321216843] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698538300.325083824] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538300.329818800] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538300.338889755] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538300.339581752] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538300.348870706] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.358251659] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538300.362870636] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.364806626] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.375686572] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538300.381082545] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538300.381542543] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.386799517] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538300.387160515] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538300.392423489] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538300.397903461] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538300.406682418] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.416616368] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538300.420468349] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538300.426548319] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538300.427206316] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538300.438296260] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538300.442435240] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.439363255] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538300.446570219] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538300.453209186] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538300.454167181] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.463739134] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538300.468023112] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538300.472281091] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538300.466262121] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538300.470497100] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.475838073] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538300.490128002] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538300.498581960] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.500674950] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.514566881] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.519895854] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538300.520228852] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538300.526746820] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538300.530893799] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.528491811] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538300.529751805] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538300.535008779] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538300.534384782] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538300.545035729] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698538300.546594721] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538300.550563701] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.548051714] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.557991664] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538300.564955630] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538300.568054614] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.573400588] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538300.577018570] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538300.579984555] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538300.587584517] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538300.593352488] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538300.597078470] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538300.593614487] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538300.597334469] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.594128485] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538300.598886461] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698538300.605842426] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698538300.609769407] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538300.613452388] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538300.609199410] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698538300.613022391] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538300.618924361] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538300.626102325] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538300.630541303] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538300.633787287] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538300.640722253] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538300.652425194] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.661851147] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538300.665492129] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538300.668536114] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538300.670126106] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538300.676733073] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538300.677177071] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538300.680887053] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698538300.681400050] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.689407010] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538300.695157982] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698538300.698774964] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.704208937] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.715714879] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.718207867] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538300.721295852] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538300.722321846] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.732954793] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538300.737327772] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.742328747] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538300.746750725] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538300.746792725] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538300.754118688] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.758910664] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698538300.760547656] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538300.760779655] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538300.777322573] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698538300.784262538] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538300.788233518] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538300.792238498] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538300.794187489] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538300.798027470] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698538300.805901430] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698538300.815461383] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538300.816981375] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538300.821042355] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538300.821209354] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538300.824535338] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538300.830223309] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538300.840836256] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538300.842657247] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538300.852183200] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538300.852321199] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538300.856313179] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698538300.857052176] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538300.861666153] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.865321135] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698538300.867211125] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538300.869892112] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538300.874422089] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538300.886315030] [robot]: Deposit
trials-all-1  | [coordinator-2] [INFO] [1698538300.889726013] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538300.894078991] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538300.895088986] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698538300.898723968] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [nurse-4] [INFO] [1698538300.898900967] [nurse]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538300.908931917] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.910450910] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538300.914205891] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538300.928444820] [robot]: Action: a_close_drawer
