 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-38-57-112199-cde39b1f0fca-1
trials-all-1  | [coordinator-2] [INFO] [1698532753.780163023] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.788294915] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.791903868] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.795488820] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698532753.807678659] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698532753.816936537] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.826484411] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.835847287] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.845413161] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698532753.857050008] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698532753.867189874] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532753.868143861] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532753.876967745] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698532753.878544724] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698532753.887884601] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532753.892068545] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532753.895524500] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698532753.889589578] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698532753.895936494] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532753.898792457] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698532753.906864350] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532753.915210240] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532753.918499196] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698532753.919430184] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532753.925226108] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532753.925996097] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698532753.931333027] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532753.931345027] [nurse]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532753.939882914] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698532753.940085911] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532753.944780849] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698532753.945725837] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532753.949056793] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532753.953579733] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532753.958013675] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532753.962642614] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698532753.963756599] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532753.973542470] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698532753.978975398] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532753.984597324] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532753.990078252] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698532753.993496206] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698532753.995111185] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532753.998169145] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.000637112] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532754.013653940] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698532754.022035829] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698532754.026028777] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.030322720] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.035961646] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.046341508] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532754.049568466] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.054059406] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532754.054320403] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.064893263] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532754.070836185] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532754.079983064] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532754.083763014] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.081456045] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.085084997] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532754.085258994] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698532754.091072918] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532754.095340861] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532754.097452833] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.102902761] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.107612699] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532754.116165586] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698532754.120992522] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532754.121971509] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.133065363] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.138095296] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698532754.142608237] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.148958153] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532754.152787102] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.149314148] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.153460093] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532754.164378949] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.165378936] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.172972836] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532754.176932783] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.181734720] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.189826613] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698532754.190303607] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698532754.192549577] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.199500485] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532754.202748442] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698532754.205216410] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.210520340] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532754.211414328] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.217844243] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698532754.224181159] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698532754.233587035] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.243749901] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.247574850] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532754.251275801] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532754.246448865] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532754.250868807] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.263906634] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.269303563] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532754.264513626] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532754.265607612] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698532754.275523481] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532754.281958396] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.278100447] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532754.290957277] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532754.292869252] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532754.298499177] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532754.299762161] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.311370007] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.315872948] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.312253996] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532754.316988933] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.330254758] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.334253705] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532754.331402743] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.335196693] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532754.340965616] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532754.346584542] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698532754.349667502] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.349909498] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.357293401] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.366081285] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.370104232] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.375649158] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532754.379959101] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.386632013] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532754.388175993] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532754.391634947] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.392847931] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532754.394728906] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532754.402416805] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532754.412670669] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.412986665] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698532754.417889600] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532754.422657537] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.430480434] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.437160346] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.440985295] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532754.444921243] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.450332172] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.453731127] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532754.454632115] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.458661062] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532754.459524050] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698532754.461828020] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532754.467326947] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698532754.473940860] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.478054806] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532754.476324828] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698532754.480073779] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532754.486440695] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.491119633] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532754.497232552] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532754.492452615] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532754.496485562] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.502828478] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.512151355] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532754.513104343] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.517535284] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.518488271] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532754.525567178] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532754.530490113] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532754.534772056] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698532754.539779990] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.540931975] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.545340917] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532754.551217839] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532754.555553782] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532754.559382731] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.555221786] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532754.558983737] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698532754.571196575] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.578943473] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532754.584856395] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.592889289] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532754.593704278] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.596867236] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532754.598946209] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.602709159] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.603255152] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532754.610545055] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532754.615261993] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532754.620091929] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698532754.629976799] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532754.633939746] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532754.638227690] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.634677737] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.638688684] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698532754.636754709] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532754.642102639] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.646667578] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698532754.659337411] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.668851285] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.674396212] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.678096163] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.690363001] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698532754.701442855] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.704372816] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532754.709835744] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.713752692] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532754.711789718] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698532754.718431630] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.722642575] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532754.723523563] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532754.731493458] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698532754.743160304] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698532754.744682283] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698532754.751743190] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532754.753439168] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532754.757327116] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.766727992] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532754.769897950] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698532754.774302892] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532754.791857660] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.806383468] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532754.811951395] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698532754.820144287] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532754.829773159] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532754.834135102] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698532754.838855039] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.842979985] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532754.856353808] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.860853749] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698532754.863606713] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532754.873613580] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532754.877514529] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698532754.875159560] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698532754.878914510] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698532754.888156388] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532754.891895339] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532754.897983258] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532754.901918206] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532754.904881167] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698532754.915807023] [arm]: not ready
