 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-15-50-229820-f5f65865cf80-1
trials-all-1  | [nurse-4] [INFO] [1698538566.158573885] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698538566.176814780] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698538566.184952734] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698538566.202399634] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698538566.216598552] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538566.231940464] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.238967424] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538566.257300319] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.264248279] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.283670168] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.295235101] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698538566.309137022] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698538566.324436934] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.328866908] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.346271809] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.351107781] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698538566.373564652] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698538566.379870616] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.393162540] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538566.409753445] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.416236408] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538566.430601325] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.436851289] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.443097254] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.455537182] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538566.475775066] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538566.481828031] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.486893002] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.501688918] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538566.508000881] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698538566.531408747] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698538566.538539706] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698538566.541001692] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538566.541529689] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698538566.545113669] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698538566.555727608] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698538566.566902544] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698538566.558468592] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538566.562232570] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538566.566345547] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538566.559692585] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698538566.564045560] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538566.569898527] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538566.574336501] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538566.578718476] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538566.582985451] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538566.584608442] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538566.589942412] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698538566.597336369] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698538566.599206358] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538566.601765344] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698538566.603652333] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538566.607545311] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538566.612611282] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538566.616572259] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538566.620858234] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538566.631560173] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538566.636332146] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.647350082] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.652352054] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538566.656719029] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538566.660907005] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538566.666976970] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538566.670961947] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.679353899] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.683448875] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538566.687774851] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538566.688806845] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538566.696257802] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538566.704994752] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698538566.707425738] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538566.714062700] [coordinator]: Updating planner state
trials-all-1  | [robot-6] [INFO] [1698538566.714549697] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698538566.725440635] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [environment-3] [INFO] [1698538566.726034631] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698538566.729745610] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698538566.729434612] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698538566.732582594] [planner]: door_closed
trials-all-1  | [nurse-4] [INFO] [1698538566.733413589] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538566.750510491] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538566.751301486] [coordinator]: Planner state updated
trials-all-1  | [environment-3] [INFO] [1698538566.758380446] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538566.759968437] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538566.765700404] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698538566.767284395] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698538566.769361383] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538566.771927368] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [environment-3] [INFO] [1698538566.773328360] [environment]: Action: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698538566.787222280] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [environment-3] [INFO] [1698538566.790646261] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538566.793344245] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538566.802027196] [robot]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698538566.800047207] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698538566.808891156] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538566.818616101] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698538566.827923047] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538566.822096081] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.825760060] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538566.822777077] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [planner-5] [INFO] [1698538566.830557032] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538566.835580003] [planner]: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698538566.834234011] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538566.838193988] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538566.834849007] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538566.838527986] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698538566.843990955] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538566.846270942] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538566.852877904] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698538566.854189897] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538566.856850881] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698538566.862158851] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.866432826] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538566.872736790] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.883421729] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538566.884262724] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538566.890989686] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538566.893639670] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698538566.895070662] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698538566.902280621] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698538566.914271552] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698538566.916565539] [arm]: not ready
trials-all-1  | [planner-5] [INFO] [1698538566.918258529] [planner]: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698538566.922478505] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538566.923868497] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538566.929344466] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538566.938075416] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538566.939887405] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538566.953241329] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538566.959102295] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698538566.961681280] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698538566.965990256] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698538566.972868216] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.976664194] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.980074175] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698538566.975830199] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.980513172] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538566.975952198] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698538566.980011175] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538566.979950175] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538566.991614109] [planner]: Sending response
trials-all-1  | [robot-6] [INFO] [1698538566.991958107] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538566.993793096] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.001021055] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698538567.002851044] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538567.008923009] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.011665994] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698538567.014364978] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.017682959] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538567.025439915] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538567.027088905] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.028445897] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698538567.035069859] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538567.038275841] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538567.040606828] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538567.040724827] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538567.048438783] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698538567.053247755] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.058627724] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538567.058666724] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538567.061874706] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [coordinator-2] [INFO] [1698538567.070734655] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538567.074910631] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538567.076691621] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.076943619] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538567.082057590] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538567.085980567] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.088195555] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698538567.088439553] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538567.095621512] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698538567.107133446] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.107142446] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.112723414] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.116688391] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698538567.118993378] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.121830362] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538567.127161331] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [coordinator-2] [INFO] [1698538567.127938327] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698538567.132309301] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538567.134502289] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.136818276] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698538567.138924263] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538567.145043228] [nurse]: success
trials-all-1  | [coordinator-2] [INFO] [1698538567.145426226] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538567.150631196] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698538567.154898172] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538567.156478163] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698538567.165568111] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698538567.167163101] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698538567.177220044] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698538567.182264015] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538567.188180981] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698538567.187744983] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538567.190067970] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538567.195378940] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698538567.200166912] [robot]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.201824903] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698538567.210805851] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538567.211510847] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538567.222086786] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538567.223440779] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538567.228281751] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.231294734] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698538567.233314722] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538567.234897713] [robot]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538567.240305682] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538567.240504681] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698538567.240949678] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538567.242410670] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538567.257068586] [nurse]: a_open_door
trials-all-1  | [coordinator-2] [INFO] [1698538567.257352584] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698538567.272259498] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538567.275055482] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538567.283272435] [robot]: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.285717421] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.293189378] [robot]: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538567.298279349] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538567.307332297] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698538567.308603290] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538567.318646232] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538567.324192201] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538567.329807168] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538567.333906145] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538567.338774117] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538567.344277085] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538567.349459056] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538567.360820990] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538567.365865961] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.378149891] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538567.392439809] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538567.395370792] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698538567.401938754] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538567.405973731] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538567.409413712] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.416768669] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698538567.421289643] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538567.427426608] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698538567.430786589] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538567.436952554] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538567.442124524] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698538567.454886451] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538567.455999444] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698538567.459696423] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.465303391] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538567.469308368] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.480275305] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538567.486276271] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538567.492511235] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538567.498281202] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538567.506003157] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
