 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-03-32-952942-c97576f4b4fa-1
trials-all-1  | [planner-5] [INFO] [1698541428.877684668] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541428.886094595] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541428.910660384] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541428.929576221] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541428.941315120] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698541428.946727073] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541428.963560928] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541428.969531876] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541428.986094734] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541428.991172690] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.006024562] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.011719513] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.029474360] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541429.035158311] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541429.040542265] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.058064114] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.063208070] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.069260017] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541429.093126812] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698541429.098781763] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698541429.108335681] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698541429.114221630] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541429.123061554] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698541429.127682514] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698541429.131304483] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698541429.123037554] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541429.128225510] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698541429.131960477] [arm]: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541429.126753522] [coordinator]: Found a problem
trials-all-1  | [coordinator-2] [INFO] [1698541429.130642489] [coordinator]: Updating planner state
trials-all-1  | [nurse-4] [INFO] [1698541429.126848522] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698541429.131480482] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541429.143970374] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541429.148883332] [arm]: Doing a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698541429.145580360] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [nurse-4] [INFO] [1698541429.148214338] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541429.152658299] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541429.155879271] [nurse]: a_deposit
trials-all-1  | [planner-5] [INFO] [1698541429.161918219] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698541429.166152183] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698541429.170847143] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541429.173546119] [coordinator]: Planner state updated
trials-all-1  | [robot-6] [INFO] [1698541429.189121985] [robot]: Doing a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541429.193294949] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698541429.203543861] [robot]: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541429.205282846] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698541429.208865815] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541429.213113779] [robot]: a_deposit
trials-all-1  | [planner-5] [INFO] [1698541429.214172769] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [robot-6] [INFO] [1698541429.217411742] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541429.218143735] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698541429.219204726] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698541429.221791704] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698541429.225238674] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541429.225955668] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541429.230078632] [robot]: a_open_drawer
trials-all-1  | [planner-5] [INFO] [1698541429.232537611] [planner]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541429.234046598] [robot]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541429.237404569] [planner]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541429.237942565] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541429.245662498] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541429.246676489] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698541429.247265484] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541429.257333398] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698541429.258408388] [arm]: success
trials-all-1  | [planner-5] [INFO] [1698541429.262371354] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698541429.262770351] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541429.267526310] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698541429.268307303] [planner]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698541429.270451285] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698541429.272149270] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541429.276790230] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541429.278681214] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [planner-5] [INFO] [1698541429.283152175] [planner]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698541429.286027151] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698541429.288664128] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698541429.290505112] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698541429.292036099] [environment]: Action: a_navto
trials-all-1  | [planner-5] [INFO] [1698541429.295046073] [planner]: a_open_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698541429.300333027] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698541429.300333027] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541429.300407027] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698541429.310540939] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698541429.315154900] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698541429.315546896] [planner]: Sending response
trials-all-1  | [robot-6] [INFO] [1698541429.323259830] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698541429.330278769] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698541429.342240666] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698541429.343850653] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.350435596] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541429.357979531] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698541429.358927523] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541429.362319494] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541429.365206469] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541429.371013419] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698541429.375061384] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [coordinator-2] [INFO] [1698541429.381480329] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541429.370810420] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541429.374735387] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541429.374522388] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541429.379064349] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.383957307] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541429.387024281] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.394078220] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.397885187] [coordinator]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698541429.393200228] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541429.393327226] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.397550190] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541429.402618146] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698541429.402913144] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541429.406611112] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698541429.410280080] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.420026997] [robot]: Doing a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541429.422816972] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541429.428783921] [coordinator]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698541429.431850895] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.436066858] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.440055824] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541429.442526803] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541429.446268771] [coordinator]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698541429.446560768] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541429.451553725] [coordinator]: Sending plans
trials-all-1  | [arm-1] [INFO] [1698541429.461803637] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.462116634] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698541429.469816568] [environment]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541429.478621492] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698541429.480485476] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698541429.480485476] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541429.487107419] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541429.489011402] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.493496364] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698541429.493502364] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698541429.494853352] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541429.499226314] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541429.505245263] [nurse]: a_open_door
trials-all-1  | [arm-1] [INFO] [1698541429.509365227] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698541429.515339176] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541429.518947145] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698541429.523190108] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541429.526272081] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698541429.528707061] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541429.538404977] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541429.544682923] [robot]: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541429.551306866] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541429.551399865] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.567070730] [robot]: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698541429.569842706] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541429.581582605] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698541429.592536511] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698541429.594163497] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541429.602007429] [robot]: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698541429.609263367] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541429.610877353] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541429.617732294] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541429.625681225] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541429.631448176] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541429.637047127] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541429.643282074] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541429.648159032] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.659447935] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.663832897] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541429.659613933] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541429.663868896] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541429.675393797] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541429.679702760] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698541429.681146748] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.686295703] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.689619675] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541429.694753630] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541429.698744596] [arm]: Doing a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541429.697202609] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541429.702246566] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541429.701497572] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.712477478] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541429.720190411] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698541429.722092395] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541429.732501305] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541429.736548270] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698541429.733786294] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.738029258] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.744640201] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541429.750723148] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.759293075] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541429.765357022] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.777453918] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.784117861] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.790619805] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541429.797265748] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.805440677] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541429.810612633] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541429.817190576] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698541429.818755562] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698541429.822557530] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698541429.822798528] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.833111439] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541429.837300403] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541429.842046362] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698541429.843281351] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698541429.843345351] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541429.847727313] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541429.848094310] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698541429.855977242] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.860949199] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541429.865468160] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698541429.869651124] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541429.869746123] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541429.878534048] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698541429.879398040] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541429.887670969] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698541429.893040923] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541429.897398885] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541429.898850873] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541429.907323800] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541429.912351756] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541429.908150793] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541429.915472730] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698541429.910778770] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541429.924241654] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.925437644] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698541429.929709607] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698541429.934234568] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541429.937284542] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698541429.937433540] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541429.946591461] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541429.950522428] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541429.956225379] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541429.952593410] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541429.956633375] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541429.954363395] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698541429.961759331] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541429.967071285] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698541429.969938260] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541429.971401248] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698541429.973381231] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698541429.984016139] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698541429.989431093] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541429.996990027] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541429.999176009] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541430.009042924] [nurse]: Action: a_authenticate_nurse
