 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-06-20-130142-603a8ef8b169-1
trials-all-1  | [nurse-4] [INFO] [1698541596.300474828] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698541596.314709807] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698541596.319066801] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698541596.338660772] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698541596.347457759] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698541596.371716722] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698541596.394006689] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698541596.402793676] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541596.410749665] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541596.429132637] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698541596.437613625] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541596.450084606] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698541596.472046573] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698541596.480157561] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541596.489118548] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541596.508906519] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541596.518339505] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541596.533101483] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698541596.540653472] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.550168457] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698541596.558859445] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.581151411] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541596.589263399] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.596717388] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.618055357] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.626437344] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541596.644366318] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698541596.652348306] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.660173294] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.681538262] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541596.689547250] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698541596.711979217] [coordinator]: Plans sent
trials-all-1  | [robot-6] [INFO] [1698541596.722099202] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541596.722564201] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698541596.731602188] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698541596.733902185] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698541596.741306174] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698541596.741843173] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541596.745201168] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698541596.746230166] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541596.750207160] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541596.751536158] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541596.757329150] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698541596.757527149] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541596.761442144] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541596.761759143] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541596.770947130] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541596.775530123] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698541596.775586123] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541596.782803112] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541596.791400099] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698541596.794616094] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541596.799445087] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698541596.807163076] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541596.814454065] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698541596.818067060] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541596.822727053] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541596.825239049] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541596.830468041] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541596.844820020] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541596.852711008] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541596.856264003] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698541596.862019994] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541596.862841993] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541596.865400989] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541596.870290982] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541596.870310982] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698541596.881274966] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541596.882242964] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541596.885692959] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698541596.895280945] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698541596.907590927] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541596.908587925] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541596.914515916] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698541596.918400911] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698541596.916070914] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541596.920156908] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541596.917839911] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541596.921579906] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541596.938637880] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541596.941358876] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541596.950782862] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541596.954483857] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541596.957678852] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541596.963426844] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541596.969373835] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541596.978806821] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541596.982800815] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698541596.979733819] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541596.984192813] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541596.991207802] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541596.994245798] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541597.001027788] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541597.006092780] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.014694767] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541597.017487763] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.021735757] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541597.022582756] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698541597.028919746] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541597.033964739] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.039109731] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.047642718] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541597.051469712] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541597.048913716] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541597.052486711] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541597.065179692] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.069235686] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.066014691] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541597.070176684] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.066632690] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541597.070639684] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541597.078908671] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541597.079403671] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.090055655] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541597.094381648] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.097276644] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.108769627] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698541597.110689624] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.116113616] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.120557609] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541597.123964604] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.118533612] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541597.122388606] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541597.131622592] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541597.125603601] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541597.130822594] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541597.137601583] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698541597.144065574] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.152022562] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.153944559] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.157559554] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541597.161988547] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.165468542] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541597.180884519] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698541597.184709513] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541597.188933507] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541597.181112518] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541597.188268508] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541597.189249506] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698541597.206203481] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.212205472] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.221228458] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541597.225753452] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541597.221986457] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541597.226401451] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541597.222287457] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.226187451] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.229956445] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541597.235407437] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541597.230915444] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541597.238644432] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.244668423] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.253683410] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698541597.257780404] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.265288392] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541597.270278385] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.274950378] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.286588360] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541597.290506355] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698541597.285204363] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.289441356] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.293033351] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541597.296785345] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541597.295359347] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541597.299175342] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541597.301147339] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541597.310689324] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.320795309] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541597.328374298] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541597.340566280] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.344621274] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698541597.348788267] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.352379262] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541597.359293252] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541597.364422244] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698541597.368119238] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698541597.364695244] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541597.367924239] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698541597.376710226] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.380755220] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.384770214] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.379607221] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.383978215] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.402632187] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.404342184] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541597.404954183] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.410431175] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698541597.409710176] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.420118161] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698541597.423364156] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698541597.423697155] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.431983143] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.440014131] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.442102128] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541597.443126126] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541597.444847124] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698541597.449089117] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.455371108] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.452648112] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.456359106] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698541597.466035092] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698541597.467659090] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.471813083] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698541597.476859076] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541597.475948077] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541597.486580061] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.490625055] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.490933055] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541597.497765044] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698541597.501218039] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.504980034] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.508452028] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541597.516515016] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541597.525741003] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698541597.525834002] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.530681995] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.539336982] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698541597.543166977] [robot]: Doing a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698541597.538748983] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.542781977] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.547220970] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.552225963] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698541597.558713953] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541597.562462948] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.578499924] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.582570918] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.579179923] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698541597.598272894] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541597.599647892] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698541597.604469885] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698541597.612529873] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.613838871] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541597.619328863] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698541597.626056853] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541597.634170840] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541597.644278825] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698541597.644978824] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.649217818] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541597.661126800] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698541597.671558784] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698541597.681128770] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698541597.686162763] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.691746754] [robot]: door closed
trials-all-1  | [coordinator-2] [INFO] [1698541597.702114739] [coordinator]: Receiving sync message: error,door_closed,Room3
trials-all-1  | [arm-1] [INFO] [1698541597.704153736] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541597.714674720] [coordinator]: door_closed
trials-all-1  | [arm-1] [INFO] [1698541597.716831717] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541597.726832702] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541597.731011695] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698541597.742870678] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541597.747322671] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541597.758564654] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698541597.759851652] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698541597.768297640] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541597.772892633] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541597.776741627] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541597.777558626] [environment]: Receiving message: a_navto,robot1,Room3
