 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-13-37-258600-ea34c33decf9-1
trials-all-1  | [planner-5] [INFO] [1698538430.538881908] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698538430.549319848] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698538430.584374644] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698538430.593690589] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698538430.616494457] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698538430.625061407] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538430.634466352] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698538430.643644299] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538430.663824181] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698538430.672405131] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698538430.692801013] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538430.700577967] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698538430.708845919] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698538430.728619804] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698538430.743473718] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698538430.749264684] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.766140586] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698538430.771195556] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.776163527] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538430.780188504] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.798238399] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.803004371] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.820951267] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698538430.825110242] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698538430.829388218] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.852384084] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.857288055] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538430.861737029] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698538430.875066952] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698538430.879608925] [nurse]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538430.882055911] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698538430.885913889] [robot]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698538430.898863813] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698538430.903825784] [arm]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538430.908399758] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538430.909120753] [arm]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538430.915486716] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538430.919800691] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538430.911276741] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698538430.915323717] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538430.919215695] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698538430.914462722] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698538430.919043696] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538430.923348671] [nurse]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698538430.932219619] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538430.937761587] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538430.937890586] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698538430.938893580] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538430.948357525] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538430.950769511] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538430.952353502] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698538430.958511466] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538430.962272444] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538430.965971423] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538430.970137398] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538430.974230374] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538430.975007370] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698538430.978155352] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698538430.982355327] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698538430.986020306] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538430.989932283] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538430.998899231] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.004326199] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538431.008556175] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.012958149] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.022048096] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538431.028284060] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.043174973] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.048899940] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538431.054441907] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.060739871] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538431.066947835] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538431.069546819] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538431.081185752] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.085029729] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698538431.090426698] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.091716690] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538431.096451663] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538431.101109636] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538431.101551633] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.105798608] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538431.109352588] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.113370564] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698538431.121071519] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.125719492] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.135456436] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.139303413] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.136706428] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.140560406] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538431.152190338] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538431.152870334] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698538431.154694324] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538431.163606272] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538431.164809265] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538431.166086257] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698538431.175111205] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.176290198] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538431.182524161] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.183483156] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538431.186182140] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698538431.195904083] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538431.201296052] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.209815002] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538431.211165995] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.213070984] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538431.216405964] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.220634939] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.230216884] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538431.233443865] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538431.236071850] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.237350842] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538431.242613811] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538431.245454795] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538431.247239784] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.251117762] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538431.259012716] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538431.254439743] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538431.258177721] [environment]: Action: monitor
trials-all-1  | [environment-3] [INFO] [1698538431.275683619] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538431.260568707] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.266426673] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538431.271802641] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.276982611] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.272776636] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538431.279286598] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538431.280879589] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698538431.285867560] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538431.287345551] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538431.292362522] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538431.299087483] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698538431.304711450] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.316873379] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538431.327522317] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.328514311] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538431.330964297] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538431.332735287] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.345291213] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.347232202] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538431.356024151] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.360234126] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538431.370846065] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.374583043] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538431.358072139] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538431.361835117] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.363712106] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.367959081] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.375932035] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.381585002] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538431.382546996] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698538431.387523967] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698538431.392698937] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.398207905] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538431.402938878] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538431.410810832] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.404104871] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538431.408229847] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698538431.411743826] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.412906820] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.414893808] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538431.416180801] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538431.422493764] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538431.425477746] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538431.431365712] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.434206696] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.444349636] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538431.444749634] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538431.444855634] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.445701629] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538431.452317590] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538431.452928586] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538431.460456543] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538431.460772541] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538431.461444537] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538431.468467496] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538431.468729494] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.476064452] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538431.480919423] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538431.482912412] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698538431.489258375] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.490337369] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698538431.502455298] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538431.506428275] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538431.517546210] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.521313188] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.529204142] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.532891121] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538431.531728128] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.532820121] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.541789069] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538431.542353066] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698538431.546323043] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.547963033] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698538431.548946027] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538431.552051009] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.556608983] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538431.571025899] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538431.574163880] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.575607872] [robot]: Authenticate nurse
trials-all-1  | [environment-3] [INFO] [1698538431.585717813] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.585909812] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538431.590541785] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698538431.590611785] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.594509762] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.600483727] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538431.606722691] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.613516651] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538431.613762650] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538431.624558587] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538431.622357600] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538431.629129560] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698538431.637363512] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538431.638550505] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.642733481] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538431.645575464] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698538431.653083421] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538431.660945375] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538431.665581348] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698538431.667502337] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698538431.667798335] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538431.669502325] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698538431.670915317] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538431.672417308] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.682276251] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.686981223] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538431.687121222] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.694380180] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698538431.700945142] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.701567138] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.705630115] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538431.705134118] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698538431.711307082] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.715536057] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538431.718603039] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538431.720406029] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698538431.721362023] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538431.721568022] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538431.731877962] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538431.730308971] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698538431.734540946] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538431.738720922] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.743241896] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538431.754455830] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698538431.755594824] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698538431.759447801] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.761635788] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538431.765343767] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538431.765447766] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698538431.772095728] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.775007711] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698538431.782211669] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538431.786598643] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698538431.789659625] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698538431.791127617] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538431.797020582] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538431.801297557] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538431.806468527] [robot]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698538431.807828519] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698538431.813227488] [nurse]: Doing a_deposit
