 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-21-17-089230-78d050c2f786-1
trials-all-1  | [nurse-4] [INFO] [1698528093.348710879] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698528093.355068104] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698528093.363934813] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698528093.367745548] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698528093.394418689] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698528093.406829081] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.416771997] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698528093.428390237] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.438745233] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.455713503] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.468571982] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698528093.478647924] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698528093.490185147] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.500896212] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.512605469] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.524732806] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528093.543121350] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698528093.548876460] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.553857420] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698528093.558510317] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.562468079] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528093.566141787] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.569868506] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.574634424] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.580381532] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528093.584813386] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698528093.589164225] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.593950147] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.600168346] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528093.608718994] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698528093.631135315] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698528093.652902510] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698528093.658383566] [robot]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698528093.661434154] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528093.666679165] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698528093.668250468] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698528093.672654317] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698528093.679230585] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528093.687433166] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698528093.688963461] [nurse]: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528093.691478945] [coordinator]: Updating planner state
trials-all-1  | [planner-5] [INFO] [1698528093.708910305] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [nurse-4] [INFO] [1698528093.716766820] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528093.720317504] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698528093.721206675] [arm]: Arm's actions:
trials-all-1  | [robot-6] [INFO] [1698528093.724371285] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698528093.736158557] [arm]: a_approach_arm
trials-all-1  | [planner-5] [INFO] [1698528093.741637613] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698528093.734067154] [robot]: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698528093.751923596] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528093.757765722] [robot]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528093.764049933] [coordinator]: Planner state updated
trials-all-1  | [robot-6] [INFO] [1698528093.768362764] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528093.772937646] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528093.776190273] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698528093.780741150] [robot]: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528093.780752152] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698528093.785211012] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528093.789343808] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528093.790546040] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528093.794062718] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528093.794325769] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698528093.794950889] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698528093.802087264] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698528093.807008213] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698528093.810713927] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528093.813774517] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528093.815487847] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698528093.827216108] [planner]: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698528093.831472928] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528093.835587721] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698528093.836810957] [planner]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698528093.840463661] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698528093.843386225] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698528093.848671243] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528093.853707214] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698528093.856585769] [planner]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698528093.858449128] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698528093.867316837] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698528093.867827936] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698528093.871579659] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528093.875913494] [robot]: Action result: True
trials-all-1  | [planner-5] [INFO] [1698528093.877909879] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698528093.881928653] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698528093.882116690] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528093.882455755] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698528093.888774973] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528093.893283842] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528093.889598132] [coordinator]: action_complete
trials-all-1  | [planner-5] [INFO] [1698528093.893815945] [planner]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698528093.895809329] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [planner-5] [INFO] [1698528093.897753704] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698528093.907698620] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528093.911956441] [robot]: Doing a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698528093.916429303] [planner]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698528093.917054424] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698528093.920523092] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698528093.921427267] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698528093.924263813] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528093.925432038] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698528093.932660432] [planner]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698528093.936531178] [arm]: success
trials-all-1  | [planner-5] [INFO] [1698528093.938102481] [planner]: Sending response
trials-all-1  | [arm-1] [INFO] [1698528093.941715177] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528093.946862169] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528093.948971576] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698528093.950880944] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528093.953913528] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698528093.955475829] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528093.958667444] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698528093.960554808] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528093.969177470] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528093.969457524] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698528093.974156430] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528093.976074799] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698528093.976722924] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698528093.985295577] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528093.993374134] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528093.993652187] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698528093.996726780] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528093.998556133] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528094.005417453] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528094.010183366] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.010261381] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528094.024078029] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528094.029631093] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528094.034571040] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698528094.034640053] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528094.039382962] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.041774421] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528094.041774421] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528094.047429505] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528094.054301822] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528094.055676085] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698528094.059512820] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528094.061219147] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528094.066468153] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528094.071547127] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.075824947] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698528094.082526231] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698528094.086904070] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528094.089468561] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698528094.090939843] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528094.097421085] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698528094.097663132] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.102555069] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.114751407] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.119080236] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528094.119518320] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698528094.130625449] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528094.132527814] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698528094.136658605] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528094.142548734] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [coordinator-2] [INFO] [1698528094.144295069] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.151366424] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528094.151861519] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528094.154156959] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698528094.157985693] [coordinator]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.158612813] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698528094.178136554] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528094.179616838] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698528094.184328741] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.188831604] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.190951010] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528094.200747888] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528094.201969122] [coordinator]: Sending plans
trials-all-1  | [nurse-4] [INFO] [1698528094.211789004] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698528094.217453089] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698528094.218157224] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528094.227376991] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.234655386] [nurse]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698528094.236206684] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528094.237372907] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528094.241886772] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.249976323] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698528094.255379358] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528094.259426134] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698528094.263667947] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698528094.265132227] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.268498872] [robot]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698528094.270787311] [coordinator]: Plans sent
trials-all-1  | [coordinator-2] [INFO] [1698528094.275056129] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698528094.275597233] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528094.280867243] [arm]: Doing a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528094.283576762] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698528094.285669163] [nurse]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698528094.287879587] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698528094.288058621] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.288722748] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698528094.293107589] [nurse]: a_open_door
trials-all-1  | [robot-6] [INFO] [1698528094.293374640] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698528094.295133977] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.304794829] [robot]: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.308924620] [robot]: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528094.311925195] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528094.313061413] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528094.317323230] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698528094.319400628] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.321561042] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528094.325605817] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528094.330302717] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528094.334852589] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698528094.337898173] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.339560491] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528094.348020113] [robot]: a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528094.353650192] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528094.354022263] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.358962210] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.367162781] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.375968469] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698528094.376770623] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.381763580] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.386641514] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528094.395973303] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698528094.397059511] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528094.402177492] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528094.406818381] [coordinator]: Found a problem
trials-all-1  | [robot-6] [INFO] [1698528094.417551438] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528094.421855263] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698528094.424491768] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528094.430060836] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528094.420515006] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528094.424167706] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528094.421058110] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698528094.424381747] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698528094.438124381] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698528094.441462021] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698528094.445725838] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698528094.443578426] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.447653207] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.451553955] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528094.456702942] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528094.446993081] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698528094.450781807] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528094.480518506] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528094.490598438] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528094.492179741] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528094.502563731] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.507834741] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528094.516402383] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528094.520113094] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528094.524720977] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698528094.535967133] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698528094.528488699] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698528094.532307431] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528094.538782672] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698528094.543358549] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698528094.540078921] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.551026019] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528094.555947962] [nurse]: Action result: False
