 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-51-46-627779-e16e877ddb68-1
trials-all-1  | [coordinator-2] [INFO] [1698529922.811115017] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529922.827257152] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698529922.839690255] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698529923.111817511] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529923.115737544] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529923.137932727] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529923.154533863] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529923.159171902] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529923.173287018] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529923.178099058] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529923.182876097] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529923.202630260] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529923.206694293] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529923.221333414] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529923.225861452] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529923.230601491] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529923.245061610] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529923.258124718] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529923.268555804] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.272240834] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529923.282973922] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.292379000] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529923.300775069] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.310078146] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.318648217] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.327705291] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529923.336468363] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529923.345634439] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.354909516] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.363745588] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.374094674] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529923.387623785] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698529923.393597834] [nurse]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529923.397182864] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698529923.396230856] [arm]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529923.396956862] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529923.402380907] [robot]: Robot's actions:
trials-all-1  | [robot-6] [INFO] [1698529923.408943961] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698529923.405702934] [arm]: Arm's actions:
trials-all-1  | [nurse-4] [INFO] [1698529923.406269939] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529923.409881969] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.416397022] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698529923.416996027] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.420659058] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.423433080] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698529923.428230120] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529923.429382130] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529923.433592164] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529923.437601197] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529923.437572197] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529923.440164218] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698529923.442311236] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529923.446533271] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529923.450839306] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529923.456305352] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529923.458179367] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529923.461216392] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698529923.463927414] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698529923.468612453] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529923.473172491] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529923.487056605] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529923.491171639] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529923.494478666] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698529923.501721726] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529923.504769751] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529923.505830760] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529923.509736792] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529923.514257829] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529923.510525799] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529923.520965885] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529923.525709924] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698529923.529169952] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698529923.533582989] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529923.531405971] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529923.537759023] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698529923.537932025] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529923.549063116] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529923.552752147] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529923.556959181] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529923.554839164] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698529923.563655237] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529923.563914239] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529923.567970272] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529923.574118323] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.577346349] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529923.580734377] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529923.578898362] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.594384490] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529923.601714550] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529923.605846584] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529923.606203587] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529923.613264646] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529923.618544689] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698529923.622710724] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529923.629831782] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529923.636362836] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529923.640802873] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529923.645064908] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529923.649556945] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698529923.652647970] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529923.662673053] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529923.664371067] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529923.669458109] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529923.675797161] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529923.680572201] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529923.689162271] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529923.697211338] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.693238305] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529923.697475340] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529923.707861426] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529923.713221470] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529923.728536596] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529923.731978624] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529923.738848681] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529923.739222684] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529923.743796722] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529923.747654754] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529923.749717771] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529923.753769804] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698529923.764279891] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529923.771375949] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529923.775943987] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529923.777338998] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529923.782335040] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529923.785618067] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.786834077] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698529923.793916135] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.800448189] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529923.815385312] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529923.820132351] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.828517420] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529923.839840514] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529923.840322518] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529923.848525585] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698529923.848696587] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529923.852930622] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698529923.854764637] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529923.867390741] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529923.870480766] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698529923.871735777] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529923.875491808] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529923.878010828] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529923.881864860] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529923.884414881] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.889100920] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529923.891542940] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529923.896987985] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529923.905326054] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529923.913508121] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529923.919031167] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698529923.914246127] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529923.918408162] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529923.923140201] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529923.926826231] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529923.929796255] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529923.930624262] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529923.942225358] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529923.945628386] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529923.945668386] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529923.950206424] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698529923.952642444] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529923.957804486] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529923.962525525] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529923.966182555] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529923.973776618] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529923.981661683] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529923.985708716] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529923.994618790] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529923.996242803] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.009780914] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.021101007] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529924.026310049] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529924.034689118] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529924.044043194] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529924.048187228] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529924.051818258] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529924.047324221] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.050751249] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529924.054056276] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.069163399] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.077826470] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529924.084735527] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529924.085116530] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.094862609] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529924.098795642] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529924.104948692] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.104948692] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.105038693] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529924.116081783] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529924.120231817] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529924.122413834] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529924.129096889] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529924.129318891] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529924.137354957] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698529924.143106004] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529924.147891043] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529924.150938067] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529924.151708074] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529924.156255111] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698529924.159464137] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529924.160663147] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529924.167006199] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.168256209] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.171990239] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698529924.181966321] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529924.186743360] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529924.190661392] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529924.193766417] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529924.198056452] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529924.203367496] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.207281528] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529924.219919631] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529924.228095698] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529924.233434741] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529924.239285789] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529924.242823818] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529924.256166927] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.259969958] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698529924.270491044] [robot]: Action: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529924.273993073] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.274350076] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529924.281127131] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.298760275] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529924.308762357] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529924.312451387] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529924.311910382] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.318911440] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529924.325763496] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529924.329820529] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529924.328722520] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529924.332227548] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529924.335729577] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698529924.335557576] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.340959620] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529924.356732749] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529924.360181777] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698529924.357717757] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698529924.372868880] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698529924.377106915] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698529924.380425942] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529924.377255916] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529924.386229990] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.391088029] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529924.394872060] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529924.397222079] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.420618270] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529924.424394301] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698529924.428932338] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529924.430923355] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.438757419] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529924.442677451] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529924.455166553] [coordinator]: plans_actions_current 7 of 11
trials-all-1  | [arm-1] [INFO] [1698529924.455571556] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529924.463401620] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529924.465501637] [robot]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529924.475221717] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529924.481887771] [robot]: Doing a_approach_arm
