 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-55-02-790368-eca8c988cdff-1
trials-all-1  | [nurse-4] [INFO] [1698537318.525713823] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698537318.530638009] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698537318.538524307] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698537318.546942625] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698537318.587128141] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698537318.591806317] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698537318.595622461] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537318.617727295] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537318.622007457] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698537318.641876207] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537318.657832809] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698537318.661935964] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698537318.666116121] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537318.679781637] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698537318.693094139] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698537318.697936322] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537318.709218748] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698537318.715079969] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.731274580] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537318.737860828] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.752616385] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698537318.758066591] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.773311166] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.778379357] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.790671821] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537318.812498645] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537318.817622838] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.833103422] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.837963606] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537318.842088761] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698537318.863439567] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698537318.872836921] [arm]: Receiving message.
trials-all-1  | [arm-1] [INFO] [1698537318.877491097] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698537318.880374206] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698537318.883186312] [nurse]: Receiving message.
trials-all-1  | [environment-3] [INFO] [1698537318.884989380] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537318.885060383] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537318.890851601] [robot]: Receiving message.
trials-all-1  | [coordinator-2] [INFO] [1698537318.894490738] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537318.894898754] [nurse]: Nurse's actions:
trials-all-1  | [coordinator-2] [INFO] [1698537318.898244880] [coordinator]: Updating planner state
trials-all-1  | [arm-1] [INFO] [1698537318.902559043] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537318.906789203] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537318.907062213] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698537318.909935321] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537318.910515343] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [robot-6] [INFO] [1698537318.913454454] [robot]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698537318.915298524] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537318.930564100] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537318.936537325] [planner]: door_closed
trials-all-1  | [robot-6] [INFO] [1698537318.936851337] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698537318.938517400] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698537318.942068534] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537318.946110686] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698537318.950553854] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537318.955232030] [robot]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698537318.951543891] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698537318.956172066] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698537318.960407226] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698537318.961600271] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698537318.964245371] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698537318.965182406] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537318.969481568] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537318.967617498] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537318.974556760] [robot]: a_open_drawer
trials-all-1  | [planner-5] [INFO] [1698537318.975021777] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [robot-6] [INFO] [1698537318.978946925] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537318.984265126] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698537318.988293278] [arm]: success
trials-all-1  | [planner-5] [INFO] [1698537318.991391395] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698537318.992755446] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537319.001042759] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537319.009771088] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698537319.012416187] [planner]: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698537319.014588269] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537319.014653272] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698537319.018118402] [planner]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698537319.020135478] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537319.023937621] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698537319.025280672] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698537319.028486792] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537319.028635798] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698537319.032724952] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.034961036] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537319.038088154] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.039045190] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698537319.046113456] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698537319.049222573] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698537319.053157721] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698537319.053617738] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698537319.053720742] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537319.057537886] [environment]: Action: a_navto
trials-all-1  | [planner-5] [INFO] [1698537319.059128946] [planner]: a_navto,robot1,Room3
trials-all-1  | [robot-6] [INFO] [1698537319.060578000] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.064944164] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698537319.072392445] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698537319.074554526] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537319.078101660] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537319.079812724] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537319.082388821] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698537319.083412860] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698537319.089692096] [arm]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698537319.090932143] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.092789213] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537319.097440388] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537319.097835403] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537319.106944745] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537319.109139828] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537319.111819929] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537319.113379988] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [planner-5] [INFO] [1698537319.115694075] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698537319.126489481] [nurse]: not ready
trials-all-1  | [planner-5] [INFO] [1698537319.128752566] [planner]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698537319.131018652] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537319.132616712] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537319.138246924] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.142751093] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537319.145197185] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698537319.147789283] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537319.153330491] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537319.158522687] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537319.164877926] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537319.166054970] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [arm-1] [INFO] [1698537319.172818225] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537319.175138312] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.180701522] [robot]: Action: a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537319.182806601] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537319.185932718] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537319.193671010] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537319.195153066] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537319.196061100] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.198905207] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537319.207811542] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [nurse-4] [INFO] [1698537319.210823655] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537319.213451754] [coordinator]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698537319.215160819] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537319.219948999] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.223008114] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537319.226350240] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698537319.231958451] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537319.234560549] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [nurse-4] [INFO] [1698537319.237333653] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537319.238886712] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537319.243191874] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698537319.249216100] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537319.249405108] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [arm-1] [INFO] [1698537319.253731270] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537319.256729383] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537319.263594642] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.265065697] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537319.271051922] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537319.273164002] [coordinator]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698537319.275713098] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537319.278334196] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537319.278500203] [coordinator]: Sending plans
trials-all-1  | [robot-6] [INFO] [1698537319.290693662] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537319.291031674] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698537319.294924821] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537319.304538183] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698537319.309764379] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698537319.313477519] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537319.315884610] [nurse]: Nurse's actions:
trials-all-1  | [arm-1] [INFO] [1698537319.317106656] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537319.318220698] [coordinator]: Plans sent
trials-all-1  | [arm-1] [INFO] [1698537319.325953989] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537319.330742169] [nurse]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537319.331252188] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537319.336196374] [robot]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698537319.337076408] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698537319.341268565] [robot]: Robot's actions:
trials-all-1  | [nurse-4] [INFO] [1698537319.344938703] [nurse]: a_open_door
trials-all-1  | [arm-1] [INFO] [1698537319.347428797] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698537319.352328982] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698537319.357366171] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537319.361001308] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537319.368739599] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537319.370432663] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537319.374122802] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537319.378732975] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537319.383136141] [robot]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698537319.384078177] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537319.388048326] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698537319.392313487] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537319.392334487] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698537319.396899659] [robot]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698537319.399525758] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537319.401226822] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537319.405549985] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537319.406443018] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537319.410063155] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698537319.417774445] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698537319.418247463] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537319.426106759] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537319.435190100] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537319.440799312] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537319.445974506] [arm]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698537319.446019508] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537319.459282007] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698537319.460735062] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537319.465583244] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698537319.465883256] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537319.480818818] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537319.485169982] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698537319.481061827] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698537319.482091866] [coordinator]: Found a problem
trials-all-1  | [environment-3] [INFO] [1698537319.486942048] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698537319.490782193] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537319.495231360] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537319.495231360] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698537319.498567486] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537319.503010653] [coordinator]: action_complete
trials-all-1  | [environment-3] [INFO] [1698537319.503472671] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537319.504171697] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698537319.508931876] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698537319.510482935] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698537319.523011406] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698537319.523618429] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537319.527228565] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537319.527585578] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537319.540019046] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537319.540221054] [robot]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537319.546325284] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537319.547323321] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698537319.549861417] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698537319.555383625] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537319.563251921] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537319.582024627] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537319.583093668] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537319.589703916] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537319.595630139] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698537319.596898187] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537319.604511474] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537319.609194650] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537319.609631666] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698537319.610327693] [coordinator]: Found a problem
trials-all-1  | [arm-1] [INFO] [1698537319.614180838] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698537319.621094098] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537319.626454300] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537319.621253104] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698537319.626105287] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537319.621670120] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537319.629098399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537319.637170703] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537319.637778726] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698537319.649123153] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537319.651221232] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537319.656707438] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537319.656998449] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537319.665627774] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698537319.667407841] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537319.678358253] [arm]: Doing a_pick_up_sample
