 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-49-32-753643-e9f12074c531-1
trials-all-1  | [planner-5] [INFO] [1698529786.832498828] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529786.837048889] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529786.859174188] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529786.870887347] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529786.881756493] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529786.892560639] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529786.902856779] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529786.913326920] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529786.923234054] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529786.933874198] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529786.943597329] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529786.954819481] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529786.966401637] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529786.977374785] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529786.993303001] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529786.997620059] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.002344123] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529787.006971185] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.011308243] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529787.015816304] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.019671356] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.025097428] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.028842479] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698529787.033373539] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [coordinator-2] [INFO] [1698529787.038125603] [coordinator]: a_open_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.043022669] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.048230739] [coordinator]: a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.052748800] [coordinator]: Sending plans
trials-all-1  | [coordinator-2] [INFO] [1698529787.063865949] [coordinator]: Plans sent
trials-all-1  | [nurse-4] [INFO] [1698529787.066996991] [nurse]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529787.086213249] [robot]: Receiving message.
trials-all-1  | [robot-6] [INFO] [1698529787.091147315] [robot]: Robot's actions:
trials-all-1  | [arm-1] [INFO] [1698529787.093240343] [arm]: Receiving message.
trials-all-1  | [nurse-4] [INFO] [1698529787.099167423] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698529787.103534481] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.099626429] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529787.104203490] [robot]: Doing a_navto
trials-all-1  | [nurse-4] [INFO] [1698529787.107154530] [nurse]: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529787.125224773] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.107287532] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529787.112996608] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.116922661] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529787.122129731] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.126034783] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698529787.117006662] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698529787.131886862] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529787.133300881] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698529787.138585952] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529787.142336002] [arm]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698529787.138062945] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698529787.142056999] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529787.139733967] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698529787.143642020] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529787.150187108] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529787.154035159] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.158161215] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529787.150451111] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698529787.154493165] [arm]: Doing a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698529787.187746612] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698529787.188842627] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529787.204816841] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529787.206620865] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529787.215396983] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529787.219248035] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529787.218874030] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.226382131] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529787.233239223] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529787.238801297] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529787.244264371] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698529787.246982407] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529787.254106503] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529787.261544603] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529787.265259652] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529787.272100744] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529787.274422775] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529787.276084798] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698529787.282411883] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698529787.285075918] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529787.287172947] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529787.299945118] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.305774196] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529787.311911279] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529787.313738303] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529787.325620463] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.327452487] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529787.329214511] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698529787.335128590] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.336741612] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.347096751] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529787.348046764] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529787.358015898] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529787.359045912] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529787.359320915] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529787.373747109] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529787.377772163] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529787.374736122] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.378743176] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529787.383779244] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529787.379111181] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529787.384645255] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529787.391413346] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.394090382] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698529787.400811472] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.401926487] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.414259653] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529787.417173692] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529787.418463709] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529787.422329761] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698529787.422588765] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698529787.427396829] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.431254881] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.435775942] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.443929051] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.447972105] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529787.451513153] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.458680249] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529787.462665303] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.472944441] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.477403500] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529787.481733559] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529787.486234619] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529787.490262673] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.492875708] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.497218766] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.501470824] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698529787.510562946] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529787.514254995] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529787.518728055] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.522682108] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529787.526535160] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698529787.534498267] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529787.538474320] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529787.544706404] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529787.551371493] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529787.555781553] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.558840594] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529787.561938635] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529787.571799768] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.575948823] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529787.581489898] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529787.584203934] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.585059946] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.589328003] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529787.593896064] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698529787.599173135] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529787.600636155] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698529787.604192203] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529787.606845238] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.611980307] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.620143417] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529787.621035429] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698529787.622550449] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529787.629593544] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529787.633763600] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529787.637312647] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529787.633637598] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.633763600] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529787.637679652] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698529787.649102805] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.660091953] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529787.670411092] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698529787.673093128] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.678050194] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529787.682934260] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.686141303] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529787.691317372] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.693987408] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.705345560] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529787.706764580] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529787.709322614] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698529787.716964716] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529787.720142759] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529787.722789795] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698529787.727240854] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.736529979] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529787.740775036] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529787.737123987] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529787.741072040] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529787.742462059] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698529787.746330111] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.749474153] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529787.750701169] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.757257257] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.767762398] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529787.769817426] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.775499502] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.785434636] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529787.786995657] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698529787.788271674] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698529787.794719760] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529787.795147766] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698529787.794627759] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529787.804645894] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.806442918] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698529787.808518946] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529787.813483012] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.820999113] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.829000221] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529787.837609336] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529787.839668364] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529787.843342413] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.848889488] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.852547537] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698529787.845943448] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529787.850508509] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529787.863217680] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698529787.868137746] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529787.866634726] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698529787.870518778] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529787.869073758] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.878445884] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.882699941] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.898184149] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529787.900711183] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [arm-1] [INFO] [1698529787.904452233] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529787.908878293] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529787.908919293] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529787.915651384] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529787.929128565] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698529787.929996576] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.936392662] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.948904830] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529787.952816883] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529787.956156928] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529787.959756976] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529787.950887857] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529787.955318916] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529787.959033966] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529787.963782030] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698529787.980410253] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529787.984210304] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529787.993151424] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698529787.997027476] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529787.996529470] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529788.000073517] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529788.000579524] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698529788.009010637] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.018643765] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.021828808] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529788.025922862] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698529788.034701979] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.048560164] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529788.049191173] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [arm-1] [INFO] [1698529788.066284401] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529788.071815474] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698529788.068851435] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698529788.072243480] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698529788.084054638] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529788.087693686] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529788.084846648] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529788.088289694] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529788.107158946] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529788.113365028] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529788.117311081] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698529788.125768194] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529788.131390269] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529788.132413282] [arm]: Action result: False
